,Season,Age,Squad,Country,Comp,LgRank,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,2011-2012,18,União de Leiria,pt  POR,1.  Primeira Liga,16th,16.0,,,,,,,,,,,,,,,0,,,,,,,
1,2012-2013,19,Rio Ave,pt  POR,1.  Primeira Liga,6th,27.8,,,,,,,,,,,,,,,0,,,,,,,
2,2013-2014,20,Benfica,pt  POR,1.  Primeira Liga,1st,15.0,,,,,,,,,,,,,,,0,,,,,,,
3,2014-2015,21,Atlético Madrid,es  ESP,1.  La Liga,3rd,11.0,,,,,,,,,,,,,,,0,,,,,,,
4,2015-2016,22,Atlético Madrid,es  ESP,1.  La Liga,3rd,38.0,,,,,,,,,,,,,,,0,,,,,,,
5,2016-2017,23,Atlético Madrid,es  ESP,1.  La Liga,3rd,29.5,,,,,,,,,,,,,,,0,,,,,,,
6,2017-2018,24,Atlético Madrid,es  ESP,1.  La Liga,2nd,37.0,368,678,54.3,13839,9825,41,41,100.0,132,136,97.1,195,501,38.9,0,0.0,0.0,1,6,0,0,0
7,2018-2019,25,Atlético Madrid,es  ESP,1.  La Liga,2nd,37.0,468,850,55.1,19833,15260,48,48,100.0,137,142,96.5,282,658,42.9,0,0.0,0.0,0,19,0,0,0
8,2019-2020,26,Atlético Madrid,es  ESP,1.  La Liga,3rd,37.7,558,960,58.1,22101,16430,64,65,98.5,167,171,97.7,324,720,45.0,0,0.0,0.0,0,13,1,0,1
9,2020-2021,27,Atlético Madrid,es  ESP,1.  La Liga,1st,38.0,642,1003,64.0,23632,15580,72,72,100.0,216,220,98.2,352,708,49.7,0,0.0,0.0,0,12,0,0,0
10,2021-2022,28,Atlético Madrid,es  ESP,1.  La Liga,2nd,14.0,269,366,73.5,8491,5105,41,41,100.0,110,112,98.2,117,212,55.2,0,0.0,0.0,0,5,0,0,0
11,11 Seasons,11 Seasons,4 Clubs,,2 Leagues,,301.0,2305,3857,59.8,87896,62200,266,267,99.6,762,781,97.6,1270,2799,45.4,0,0.0,0.0,1,55,1,0,1
12,,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
13,Atlético Madrid (8 Seasons),Atlético Madrid (8 Seasons),Atlético Madrid (8 Seasons),,1 League,,242.2,2305,3857,59.8,87896,62200,266,267,99.6,762,781,97.6,1270,2799,45.4,0,0.0,0.0,1,55,1,0,1
14,Rio Ave (1 Season),Rio Ave (1 Season),Rio Ave (1 Season),,1 League,,27.8,,,,,,,,,,,,,,,0,,,,,,,
15,Benfica (1 Season),Benfica (1 Season),Benfica (1 Season),,1 League,,15.0,,,,,,,,,,,,,,,0,,,,,,,
16,União de Leiria (1 Season),União de Leiria (1 Season),União de Leiria (1 Season),,1 League,,16.0,,,,,,,,,,,,,,,0,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,La Liga (8 Seasons),La Liga (8 Seasons),La Liga (8 Seasons),,,,242.2,2305,3857,59.8,87896,62200,266,267,99.6,762,781,97.6,1270,2799,45.4,0,0.0,0.0,1,55,1,0,1
19,Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),,,,58.8,,,,,,,,,,,,,,,0,,,,,,,
