,Season,Age,Squad,Comp,LgRank,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
0,2021,18,es  Spain,Friendlies (M),,0.3,,,,,,,,,,,,,,,,
1,2021,18,es  Spain,UEFA Euro,SF,7.0,27.0,3.87,25.0,0.0,0.0,0.0,2.0,0.0,5.0,0.72,4.0,0.0,0.0,0.0,1.0,0.0
2,2022,19,es  Spain,WCQ — UEFA (M),,2.0,,,,,,,,,,,,,,,,
3,2 Seasons,2 Seasons,1 Club,3 Leagues,,9.3,27.0,3.87,25.0,0.0,0.0,0.0,2.0,0.0,5.0,0.72,4.0,0.0,0.0,0.0,1.0,0.0
4,UEFA Euro (1 Season),UEFA Euro (1 Season),UEFA Euro (1 Season),,,7.0,27.0,3.87,25.0,0.0,0.0,0.0,2.0,0.0,5.0,0.72,4.0,0.0,0.0,0.0,1.0,0.0
5,WCQ — UEFA (M) (1 Season),WCQ — UEFA (M) (1 Season),WCQ — UEFA (M) (1 Season),,,2.0,,,,,,,,,,,,,,,,
6,Friendlies (M) (1 Season),Friendlies (M) (1 Season),Friendlies (M) (1 Season),,,0.3,,,,,,,,,,,,,,,,
