,Season,Age,Squad,Comp,LgRank,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,2021,18,es  Spain,Friendlies (M),,0.3,,,,,,,,,,,,,,,0,,,,,,,
1,2021,18,es  Spain,UEFA Euro,SF,7.0,429.0,467.0,91.9,8326.0,1617.0,177.0,189.0,93.7,182.0,195.0,93.3,64.0,71.0,90.1,0,1.1,-1.1,10.0,68.0,11.0,3.0,43.0
2,2022,19,es  Spain,WCQ — UEFA (M),,2.0,,,,,,,,,,,,,,,1,,,,,,,
3,2 Seasons,2 Seasons,1 Club,3 Leagues,,9.3,429.0,467.0,91.9,8326.0,1617.0,177.0,189.0,93.7,182.0,195.0,93.3,64.0,71.0,90.1,1,1.1,-1.1,10.0,68.0,11.0,3.0,43.0
4,UEFA Euro (1 Season),UEFA Euro (1 Season),UEFA Euro (1 Season),,,7.0,429.0,467.0,91.9,8326.0,1617.0,177.0,189.0,93.7,182.0,195.0,93.3,64.0,71.0,90.1,0,1.1,-1.1,10.0,68.0,11.0,3.0,43.0
5,WCQ — UEFA (M) (1 Season),WCQ — UEFA (M) (1 Season),WCQ — UEFA (M) (1 Season),,,2.0,,,,,,,,,,,,,,,1,,,,,,,
6,Friendlies (M) (1 Season),Friendlies (M) (1 Season),Friendlies (M) (1 Season),,,0.3,,,,,,,,,,,,,,,0,,,,,,,
