,Season,Age,Squad,Country,Comp,LgRank,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,2015-2016,16,Milan,it  ITA,1.  Serie A,7th,29.2,,,,,,,,,,,,,,,,,,,,,,,,
1,2016-2017,17,Milan,it  ITA,1.  Serie A,6th,38.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2017-2018,18,Milan,it  ITA,1.  Serie A,6th,38.0,1223,1021,1220,3,0,0,956,1,1,100.0,1,0,650,2681,1484,0,0,0,0,0,596,595,99.8,0
3,2018-2019,19,Milan,it  ITA,1.  Serie A,5th,34.4,1254,1155,1252,4,0,0,898,1,1,100.0,1,0,647,2771,1549,0,0,0,0,0,536,536,100.0,0
4,2019-2020,20,Milan,it  ITA,1.  Serie A,6th,35.6,1245,1113,1241,4,0,0,897,0,0,,0,0,599,2727,1430,0,0,0,0,0,557,554,99.5,0
5,2020-2021,21,Milan,it  ITA,1.  Serie A,2nd,37.0,1338,1161,1329,9,0,0,1057,2,2,100.0,2,0,714,3836,2260,0,0,0,0,0,718,715,99.6,0
6,2021-2022,22,Paris S-G,fr  FRA,1.  Ligue 1,1st,7.0,195,170,194,1,0,0,151,1,1,100.0,1,0,93,354,183,0,0,0,0,0,83,83,100.0,0
7,8 Seasons,8 Seasons,2 Clubs,,2 Leagues,,219.1,5255,4620,5236,21,0,0,3959,5,5,100.0,5,0,2703,12369,6906,0,0,0,0,0,2490,2483,99.7,0
8,,,,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
9,Milan (7 Seasons),Milan (7 Seasons),Milan (7 Seasons),,1 League,,212.1,5060,4450,5042,20,0,0,3808,4,4,100.0,4,0,2610,12015,6723,0,0,0,0,0,2407,2400,99.7,0
10,Paris S-G (1 Season),Paris S-G (1 Season),Paris S-G (1 Season),,1 League,,7.0,195,170,194,1,0,0,151,1,1,100.0,1,0,93,354,183,0,0,0,0,0,83,83,100.0,0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Serie A (7 Seasons),Serie A (7 Seasons),Serie A (7 Seasons),,,,212.1,5060,4450,5042,20,0,0,3808,4,4,100.0,4,0,2610,12015,6723,0,0,0,0,0,2407,2400,99.7,0
13,Ligue 1 (1 Season),Ligue 1 (1 Season),Ligue 1 (1 Season),,,,7.0,195,170,194,1,0,0,151,1,1,100.0,1,0,93,354,183,0,0,0,0,0,83,83,100.0,0
