,Season,Age,Squad,Country,Comp,LgRank,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
0,2011-2012,18,União de Leiria,pt  POR,1.  Primeira Liga,16th,16.0,,,,,,,,,,,,,,,,
1,2012-2013,19,Rio Ave,pt  POR,1.  Primeira Liga,6th,27.8,,,,,,,,,,,,,,,,
2,2013-2014,20,Benfica,pt  POR,1.  Primeira Liga,1st,15.0,,,,,,,,,,,,,,,,
3,2014-2015,21,Atlético Madrid,es  ESP,1.  La Liga,3rd,11.0,,,,,,,,,,,,,,,,
4,2015-2016,22,Atlético Madrid,es  ESP,1.  La Liga,3rd,38.0,,,,,,,,,,,,,,,,
5,2016-2017,23,Atlético Madrid,es  ESP,1.  La Liga,3rd,29.5,,,,,,,,,,,,,,,,
6,2017-2018,24,Atlético Madrid,es  ESP,1.  La Liga,2nd,37.0,3,0.08,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
7,2018-2019,25,Atlético Madrid,es  ESP,1.  La Liga,2nd,37.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
8,2019-2020,26,Atlético Madrid,es  ESP,1.  La Liga,3rd,37.7,2,0.05,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
9,2020-2021,27,Atlético Madrid,es  ESP,1.  La Liga,1st,38.0,2,0.05,1,1,0,0,0,0,1,0.03,1,0,0,0,0,0
10,2021-2022,28,Atlético Madrid,es  ESP,1.  La Liga,2nd,14.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
11,11 Seasons,11 Seasons,4 Clubs,,2 Leagues,,301.0,8,0.05,5,3,0,0,0,0,1,0.01,1,0,0,0,0,0
12,,,,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
13,Atlético Madrid (8 Seasons),Atlético Madrid (8 Seasons),Atlético Madrid (8 Seasons),,1 League,,242.2,8,0.05,5,3,0,0,0,0,1,0.01,1,0,0,0,0,0
14,Rio Ave (1 Season),Rio Ave (1 Season),Rio Ave (1 Season),,1 League,,27.8,,,,,,,,,,,,,,,,
15,Benfica (1 Season),Benfica (1 Season),Benfica (1 Season),,1 League,,15.0,,,,,,,,,,,,,,,,
16,União de Leiria (1 Season),União de Leiria (1 Season),União de Leiria (1 Season),,1 League,,16.0,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,
18,La Liga (8 Seasons),La Liga (8 Seasons),La Liga (8 Seasons),,,,242.2,8,0.05,5,3,0,0,0,0,1,0.01,1,0,0,0,0,0
19,Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),,,,58.8,,,,,,,,,,,,,,,,
