,Season,Age,Squad,Comp,LgRank,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,2021,18,es  Spain,Friendlies (M),,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
1,2021,18,es  Spain,UEFA Euro,SF,7.0,467.0,449.0,18.0,4.0,4.0,70.0,18.0,3.0,1.0,0.0,0.0,0.0,377.0,41.0,49.0,55.0,398.0,9.0,3.0,0.0,429.0,2.0,1.0,7.0,6.0
2,2022,19,es  Spain,WCQ — UEFA (M),,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
3,2 Seasons,2 Seasons,1 Club,3 Leagues,,9.3,467.0,449.0,18.0,4.0,4.0,70.0,18.0,4.0,1.0,0.0,0.0,0.0,377.0,41.0,49.0,55.0,398.0,9.0,3.0,0.0,429.0,2.0,1.0,7.0,6.0
4,UEFA Euro (1 Season),UEFA Euro (1 Season),UEFA Euro (1 Season),,,7.0,467.0,449.0,18.0,4.0,4.0,70.0,18.0,3.0,1.0,0.0,0.0,0.0,377.0,41.0,49.0,55.0,398.0,9.0,3.0,0.0,429.0,2.0,1.0,7.0,6.0
5,WCQ — UEFA (M) (1 Season),WCQ — UEFA (M) (1 Season),WCQ — UEFA (M) (1 Season),,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
6,Friendlies (M) (1 Season),Friendlies (M) (1 Season),Friendlies (M) (1 Season),,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
