,Season,Age,Squad,Comp,LgRank,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,2021,18,es  Spain,Friendlies (M),,0.3,,,,,,,,,,,,,,,,,,,,,,,,
1,2021,18,es  Spain,UEFA Euro,SF,7.0,525.0,2.0,33.0,317.0,222.0,7.0,509.0,3.0,9.0,33.3,3.0,0.0,411.0,2088.0,1078.0,66.0,29.0,1.0,10.0,8.0,479.0,432.0,90.2,37.0
2,2022,19,es  Spain,WCQ — UEFA (M),,2.0,,,,,,,,,,,,,,,,,,,,,,,,
3,2 Seasons,2 Seasons,1 Club,3 Leagues,,9.3,525.0,2.0,33.0,317.0,222.0,7.0,509.0,3.0,9.0,33.3,3.0,0.0,411.0,2088.0,1078.0,66.0,29.0,1.0,10.0,8.0,479.0,432.0,90.2,37.0
4,UEFA Euro (1 Season),UEFA Euro (1 Season),UEFA Euro (1 Season),,,7.0,525.0,2.0,33.0,317.0,222.0,7.0,509.0,3.0,9.0,33.3,3.0,0.0,411.0,2088.0,1078.0,66.0,29.0,1.0,10.0,8.0,479.0,432.0,90.2,37.0
5,WCQ — UEFA (M) (1 Season),WCQ — UEFA (M) (1 Season),WCQ — UEFA (M) (1 Season),,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
6,Friendlies (M) (1 Season),Friendlies (M) (1 Season),Friendlies (M) (1 Season),,,0.3,,,,,,,,,,,,,,,,,,,,,,,,
