,Season,Age,Squad,Comp,LgRank,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,2021,18,es  Spain,Friendlies (M),,0.3,0,0,0,,,,,,,,,0,,,,
1,2021,18,es  Spain,UEFA Euro,SF,7.0,0,0,0,3.0,13.0,0.0,3.0,7.0,5.0,0.0,0.0,1,44.0,2.0,3.0,40.0
2,2022,19,es  Spain,WCQ — UEFA (M),,2.0,0,0,0,2.0,2.0,0.0,1.0,0.0,3.0,,,0,,,,
3,2 Seasons,2 Seasons,1 Club,3 Leagues,,9.3,0,0,0,5.0,15.0,0.0,4.0,7.0,8.0,0.0,0.0,1,44.0,2.0,3.0,40.0
4,UEFA Euro (1 Season),UEFA Euro (1 Season),UEFA Euro (1 Season),,,7.0,0,0,0,3.0,13.0,0.0,3.0,7.0,5.0,0.0,0.0,1,44.0,2.0,3.0,40.0
5,WCQ — UEFA (M) (1 Season),WCQ — UEFA (M) (1 Season),WCQ — UEFA (M) (1 Season),,,2.0,0,0,0,2.0,2.0,0.0,1.0,0.0,3.0,,,0,,,,
6,Friendlies (M) (1 Season),Friendlies (M) (1 Season),Friendlies (M) (1 Season),,,0.3,0,0,0,,,,,,,,,0,,,,
