,Season,Age,Squad,Country,Comp,LgRank,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,2011-2012,18,União de Leiria,pt  POR,1.  Primeira Liga,16th,16.0,,,,,,,,,,,,,,,,,,,,,,,,
1,2012-2013,19,Rio Ave,pt  POR,1.  Primeira Liga,6th,27.8,,,,,,,,,,,,,,,,,,,,,,,,
2,2013-2014,20,Benfica,pt  POR,1.  Primeira Liga,1st,15.0,,,,,,,,,,,,,,,,,,,,,,,,
3,2014-2015,21,Atlético Madrid,es  ESP,1.  La Liga,3rd,11.0,,,,,,,,,,,,,,,,,,,,,,,,
4,2015-2016,22,Atlético Madrid,es  ESP,1.  La Liga,3rd,38.0,,,,,,,,,,,,,,,,,,,,,,,,
5,2016-2017,23,Atlético Madrid,es  ESP,1.  La Liga,3rd,29.5,,,,,,,,,,,,,,,,,,,,,,,,
6,2017-2018,24,Atlético Madrid,es  ESP,1.  La Liga,2nd,37.0,831,753,829,3,0,0,599,3,3,100.0,3,0,381,1936,1094,0,0,0,0,0,282,282,100.0,0
7,2018-2019,25,Atlético Madrid,es  ESP,1.  La Liga,2nd,37.0,924,843,922,2,0,0,573,1,1,100.0,1,0,357,2054,1282,0,0,0,1,0,271,271,100.0,0
8,2019-2020,26,Atlético Madrid,es  ESP,1.  La Liga,3rd,37.7,1011,896,1000,11,1,0,599,1,1,100.0,1,0,402,2325,1438,1,0,0,1,0,322,319,99.1,0
9,2020-2021,27,Atlético Madrid,es  ESP,1.  La Liga,1st,38.0,1077,950,1069,11,0,0,690,1,1,100.0,1,0,419,2155,1239,0,0,0,0,0,380,378,99.5,0
10,2021-2022,28,Atlético Madrid,es  ESP,1.  La Liga,2nd,14.0,380,345,380,0,0,0,258,0,0,,0,0,182,822,481,0,0,0,0,0,148,147,99.3,0
11,11 Seasons,11 Seasons,4 Clubs,,2 Leagues,,301.0,4223,3787,4200,27,1,0,2719,6,6,100.0,6,0,1741,9292,5534,1,0,0,2,0,1403,1397,99.6,0
12,,,,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
13,Atlético Madrid (8 Seasons),Atlético Madrid (8 Seasons),Atlético Madrid (8 Seasons),,1 League,,242.2,4223,3787,4200,27,1,0,2719,6,6,100.0,6,0,1741,9292,5534,1,0,0,2,0,1403,1397,99.6,0
14,Rio Ave (1 Season),Rio Ave (1 Season),Rio Ave (1 Season),,1 League,,27.8,,,,,,,,,,,,,,,,,,,,,,,,
15,Benfica (1 Season),Benfica (1 Season),Benfica (1 Season),,1 League,,15.0,,,,,,,,,,,,,,,,,,,,,,,,
16,União de Leiria (1 Season),União de Leiria (1 Season),União de Leiria (1 Season),,1 League,,16.0,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,La Liga (8 Seasons),La Liga (8 Seasons),La Liga (8 Seasons),,,,242.2,4223,3787,4200,27,1,0,2719,6,6,100.0,6,0,1741,9292,5534,1,0,0,2,0,1403,1397,99.6,0
19,Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),,,,58.8,,,,,,,,,,,,,,,,,,,,,,,,
