,Season,Age,Squad,Country,Comp,LgRank,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W_Performance,D_Performance,L_Performance,CS_Performance,CS%_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
0,2015-2016,16,Milan,it  ITA,1.  Serie A,7th,30,30,2628,29.2,29,0.99,107,78,72.9,12,9,7,10,33.3,,,,,
1,2016-2017,17,Milan,it  ITA,1.  Serie A,6th,38,38,3420,38.0,45,1.18,189,144,78.8,18,9,11,12,31.6,10,5,2,3,28.6
2,2017-2018,18,Milan,it  ITA,1.  Serie A,6th,38,38,3420,38.0,42,1.11,131,92,69.5,18,10,10,12,31.6,3,2,0,1,0.0
3,2018-2019,19,Milan,it  ITA,1.  Serie A,5th,36,36,3092,34.4,31,0.90,121,94,76.9,18,11,7,11,30.6,4,3,1,0,25.0
4,2019-2020,20,Milan,it  ITA,1.  Serie A,6th,36,36,3201,35.6,42,1.18,134,97,71.6,18,9,9,12,33.3,8,4,4,0,50.0
5,2020-2021,21,Milan,it  ITA,1.  Serie A,2nd,37,37,3330,37.0,38,1.03,125,90,71.2,24,6,7,14,37.8,4,2,1,1,33.3
6,2021-2022,22,Paris S-G,fr  FRA,1.  Ligue 1,1st,7,7,630,7.0,6,0.86,22,16,72.7,5,1,1,2,28.6,0,0,0,0,
7,8 Seasons,8 Seasons,2 Clubs,,2 Leagues,,222,222,19721,219.1,233,1.06,829,611,73.8,113,55,52,73,32.9,29,16,8,5,33.3
8,,,,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
9,Milan (7 Seasons),Milan (7 Seasons),Milan (7 Seasons),,1 League,,215,215,19091,212.1,227,1.07,807,595,73.9,108,54,51,71,33.0,29,16,8,5,33.3
10,Paris S-G (1 Season),Paris S-G (1 Season),Paris S-G (1 Season),,1 League,,7,7,630,7.0,6,0.86,22,16,72.7,5,1,1,2,28.6,0,0,0,0,
11,,,,,,,,,,,,,,,,,,,,,,,,,
12,Serie A (7 Seasons),Serie A (7 Seasons),Serie A (7 Seasons),,,,215,215,19091,212.1,227,1.07,807,595,73.9,108,54,51,71,33.0,29,16,8,5,33.3
13,Ligue 1 (1 Season),Ligue 1 (1 Season),Ligue 1 (1 Season),,,,7,7,630,7.0,6,0.86,22,16,72.7,5,1,1,2,28.6,0,0,0,0,
