,Season,Age,Squad,Country,Comp,LgRank,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Starts,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,2011-2012,18,União de Leiria,pt  POR,1.  Primeira Liga,16th,16,1440,90,,16.0,16,,15,0,,,,,,,,,,,,,
1,2012-2013,19,Rio Ave,pt  POR,1.  Primeira Liga,6th,28,2501,89,,27.8,28,,28,0,,,,,,,,,,,,,
2,2013-2014,20,Benfica,pt  POR,1.  Primeira Liga,1st,16,1351,84,,15.0,15,,14,1,,,,,,,,,,,,,
3,2014-2015,21,Atlético Madrid,es  ESP,1.  La Liga,3rd,11,990,90,28.9,11.0,11,,11,0,,27,2.00,16,6,+10,+0.91,-0.13,,,,,
4,2015-2016,22,Atlético Madrid,es  ESP,1.  La Liga,3rd,38,3420,90,100.0,38.0,38,,38,0,,0,2.32,63,18,+45,+1.18,,,,,,
5,2016-2017,23,Atlético Madrid,es  ESP,1.  La Liga,3rd,30,2650,88,77.5,29.5,30,88,29,0,,0,1.93,55,21,+34,+1.15,+0.10,,,,,
6,2017-2018,24,Atlético Madrid,es  ESP,1.  La Liga,2nd,37,3330,90,97.4,37.0,37,90,37,0,,0,2.05,57,22,+35,+0.95,-0.05,45.2,36.2,+9.0,+0.24,-1.53
7,2018-2019,25,Atlético Madrid,es  ESP,1.  La Liga,2nd,37,3330,90,97.4,37.0,37,90,37,0,,0,2.03,53,27,+26,+0.70,+0.70,44.5,36.2,+8.2,+0.22,+1.09
8,2019-2020,26,Atlético Madrid,es  ESP,1.  La Liga,3rd,38,3395,89,99.3,37.7,38,89,37,0,,0,1.84,51,27,+24,+0.64,+0.64,52.0,30.7,+21.4,+0.57,-0.91
9,2020-2021,27,Atlético Madrid,es  ESP,1.  La Liga,1st,38,3420,90,100.0,38.0,38,90,38,0,,0,2.26,67,25,+42,+1.11,,52.4,32.7,+19.6,+0.52,
10,2021-2022,28,Atlético Madrid,es  ESP,1.  La Liga,2nd,14,1260,90,100.0,14.0,14,90,14,0,,0,2.07,26,14,+12,+0.86,,20.2,11.6,+8.6,+0.62,
11,11 Seasons,11 Seasons,4 Clubs,,2 Leagues,,303,27087,89,86.5,301.0,302,90,298,1,,27,2.07,388,160,+228,+0.94,-0.06,214.3,147.4,+66.9,+0.41,-0.17
12,,,,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
13,Atlético Madrid (8 Seasons),Atlético Madrid (8 Seasons),Atlético Madrid (8 Seasons),,1 League,,243,21795,90,86.5,242.2,243,90,241,0,,27,2.07,388,160,+228,+0.94,-0.06,214.3,147.4,+66.9,+0.41,-0.17
14,Rio Ave (1 Season),Rio Ave (1 Season),Rio Ave (1 Season),,1 League,,28,2501,89,,27.8,28,,28,0,,,,,,,,,,,,,
15,Benfica (1 Season),Benfica (1 Season),Benfica (1 Season),,1 League,,16,1351,84,,15.0,15,,14,1,,,,,,,,,,,,,
16,União de Leiria (1 Season),União de Leiria (1 Season),União de Leiria (1 Season),,1 League,,16,1440,90,,16.0,16,,15,0,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,La Liga (8 Seasons),La Liga (8 Seasons),La Liga (8 Seasons),,,,243,21795,90,86.5,242.2,243,90,241,0,,27,2.07,388,160,+228,+0.94,-0.06,214.3,147.4,+66.9,+0.41,-0.17
19,Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),,,,60,5292,88,,58.8,59,,57,1,,,,,,,,,,,,,
