,Season,Age,Squad,Country,Comp,LgRank,90s,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
0,2010-2011,18,M'Gladbach,de  GER,1.  Bundesliga,16th,6.0,3,,,,,,,,,,,,,,,,,,,,,,,,
1,2011-2012,19,M'Gladbach,de  GER,1.  Bundesliga,4th,34.0,24,,,,,,,,,,,,,,,,,,,,,,,,
2,2012-2013,20,M'Gladbach,de  GER,1.  Bundesliga,8th,33.8,47,,,,,,,,,,,,,,,,,,,,,,,,
3,2013-2014,21,M'Gladbach,de  GER,1.  Bundesliga,6th,34.0,43,,,,,,,,,,,,,,,,,,,,,,,,
4,2015-2016,23,Barcelona,es  ESP,1.  La Liga,1st,6.0,7,,,,,,,,,,,,,,,,,,,,,,,,
5,2016-2017,24,Barcelona,es  ESP,1.  La Liga,2nd,36.0,33,0,,,,,,,,,,,,,,,,,,,,,,,
6,2017-2018,25,Barcelona,es  ESP,1.  La Liga,1st,37.0,28,2,0,1,0,35.7,0.27,+7.7,+0.21,147,308,47.7,917,126,27.0,30.1,98,61.2,47.8,290,27,9.3,22,0.59,15.9
7,2018-2019,26,Barcelona,es  ESP,1.  La Liga,1st,35.0,32,1,0,3,1,34.3,0.29,+3.3,+0.09,142,276,51.4,863,191,21.8,29.0,197,44.7,40.3,287,35,12.2,27,0.77,16.4
8,2019-2020,27,Barcelona,es  ESP,1.  La Liga,2nd,36.0,36,6,2,1,0,34.8,0.27,-1.2,-0.03,205,338,60.7,1200,177,22.8,28.8,219,29.7,31.0,266,13,4.9,27,0.75,15.1
9,2020-2021,28,Barcelona,es  ESP,1.  La Liga,3rd,31.0,32,3,1,4,2,29.0,0.27,-1.0,-0.03,138,241,57.3,879,149,22.2,29.4,156,29.5,31.8,174,19,10.9,22,0.71,17.1
10,2021-2022,29,Barcelona,es  ESP,1.  La Liga,7th,12.0,13,0,0,2,0,11.5,0.33,-1.5,-0.12,67,119,56.3,370,51,23.8,28.9,83,37.3,35.7,81,4,4.9,5,0.42,12.3
11,12 Seasons,12 Seasons,2 Clubs,,2 Leagues,,300.9,298,12,3,11,3,145.3,0.28,+7.3,+0.05,699,1282,54.5,4229,694,23.5,29.2,753,38.5,36.3,1098,98,8.9,103,0.68,15.7
12,,,,Country,Comp,LgRank,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
13,Barcelona (8 Seasons),Barcelona (8 Seasons),Barcelona (8 Seasons),,1 League,,193.0,181,12,3,11,3,145.3,0.28,+7.3,+0.05,699,1282,54.5,4229,694,23.5,29.2,753,38.5,36.3,1098,98,8.9,103,0.68,15.7
14,M'Gladbach (4 Seasons),M'Gladbach (4 Seasons),M'Gladbach (4 Seasons),,1 League,,107.8,117,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,La Liga (8 Seasons),La Liga (8 Seasons),La Liga (8 Seasons),,,,193.0,181,12,3,11,3,145.3,0.28,+7.3,+0.05,699,1282,54.5,4229,694,23.5,29.2,753,38.5,36.3,1098,98,8.9,103,0.68,15.7
17,Bundesliga (4 Seasons),Bundesliga (4 Seasons),Bundesliga (4 Seasons),,,,107.8,117,,,,,,,,,,,,,,,,,,,,,,,,
