,Season,Age,Squad,Country,Comp,LgRank,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W_Performance,D_Performance,L_Performance,CS_Performance,CS%_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
0,2010-2011,18,M'Gladbach,de  GER,1.  Bundesliga,16th,6,6,540,6.0,3,0.50,22,19,86.4,4,1,1,3,50.0,,,,,
1,2011-2012,19,M'Gladbach,de  GER,1.  Bundesliga,4th,34,34,3060,34.0,24,0.71,127,103,81.1,17,9,8,15,44.1,,,,,
2,2012-2013,20,M'Gladbach,de  GER,1.  Bundesliga,8th,34,34,3046,33.8,47,1.39,169,122,72.2,12,11,11,9,26.5,,,,,
3,2013-2014,21,M'Gladbach,de  GER,1.  Bundesliga,6th,34,34,3060,34.0,43,1.26,185,142,76.8,16,7,11,9,26.5,,,,,
4,2015-2016,23,Barcelona,es  ESP,1.  La Liga,1st,7,6,543,6.0,7,1.16,20,13,65.0,5,0,1,2,33.3,,,,,
5,2016-2017,24,Barcelona,es  ESP,1.  La Liga,2nd,36,36,3240,36.0,33,0.92,154,121,78.6,27,6,3,13,36.1,0,0,0,0,
6,2017-2018,25,Barcelona,es  ESP,1.  La Liga,1st,37,37,3330,37.0,28,0.76,129,103,79.8,27,9,1,19,51.4,2,2,0,0,0.0
7,2018-2019,26,Barcelona,es  ESP,1.  La Liga,1st,35,35,3150,35.0,32,0.91,116,86,73.3,25,8,2,16,45.7,1,1,0,0,0.0
8,2019-2020,27,Barcelona,es  ESP,1.  La Liga,2nd,36,36,3240,36.0,36,1.00,110,78,72.7,24,6,6,14,38.9,7,6,1,0,14.3
9,2020-2021,28,Barcelona,es  ESP,1.  La Liga,3rd,31,31,2790,31.0,32,1.03,102,75,71.6,21,5,5,11,35.5,3,3,0,0,0.0
10,2021-2022,29,Barcelona,es  ESP,1.  La Liga,7th,12,12,1080,12.0,13,1.08,35,22,62.9,5,4,3,3,25.0,0,0,0,0,
11,12 Seasons,12 Seasons,2 Clubs,,2 Leagues,,302,301,27079,300.9,298,0.99,1169,884,75.5,183,66,52,114,37.9,13,12,1,0,7.7
12,,,,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
13,Barcelona (8 Seasons),Barcelona (8 Seasons),Barcelona (8 Seasons),,1 League,,194,193,17373,193.0,181,0.94,666,498,74.6,134,38,21,78,40.4,13,12,1,0,7.7
14,M'Gladbach (4 Seasons),M'Gladbach (4 Seasons),M'Gladbach (4 Seasons),,1 League,,108,108,9706,107.8,117,1.08,503,386,76.7,49,28,31,36,33.3,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,
16,La Liga (8 Seasons),La Liga (8 Seasons),La Liga (8 Seasons),,,,194,193,17373,193.0,181,0.94,666,498,74.6,134,38,21,78,40.4,13,12,1,0,7.7
17,Bundesliga (4 Seasons),Bundesliga (4 Seasons),Bundesliga (4 Seasons),,,,108,108,9706,107.8,117,1.08,503,386,76.7,49,28,31,36,33.3,,,,,
