,Season,Age,Squad,Country,Comp,LgRank,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W_Performance,D_Performance,L_Performance,CS_Performance,CS%_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
0,2011-2012,18,União de Leiria,pt  POR,1.  Primeira Liga,16th,16,16,1439,16.0,29,1.81,86,57,66.3,1,4,10,4,25.0,,,,,
1,2012-2013,19,Rio Ave,pt  POR,1.  Primeira Liga,6th,28,28,2501,27.8,40,1.44,102,62,60.8,11,6,11,6,21.4,,,,,
2,2013-2014,20,Benfica,pt  POR,1.  Primeira Liga,1st,16,15,1351,15.0,5,0.33,48,43,89.6,14,1,0,11,73.3,,,,,
3,2014-2015,21,Atlético Madrid,es  ESP,1.  La Liga,3rd,11,11,990,11.0,6,0.55,24,18,75.0,6,4,1,7,63.6,,,,,
4,2015-2016,22,Atlético Madrid,es  ESP,1.  La Liga,3rd,38,38,3420,38.0,18,0.47,99,81,81.8,28,4,6,24,63.2,,,,,
5,2016-2017,23,Atlético Madrid,es  ESP,1.  La Liga,3rd,30,30,2651,29.5,21,0.71,81,63,77.8,17,7,6,15,50.0,4,3,1,0,25.0
6,2017-2018,24,Atlético Madrid,es  ESP,1.  La Liga,2nd,37,37,3330,37.0,22,0.59,126,106,83.3,22,10,5,22,59.5,4,1,3,0,75.0
7,2018-2019,25,Atlético Madrid,es  ESP,1.  La Liga,2nd,37,37,3330,37.0,27,0.73,123,103,82.1,22,9,6,20,54.1,5,5,0,0,0.0
8,2019-2020,26,Atlético Madrid,es  ESP,1.  La Liga,3rd,38,38,3395,37.7,27,0.72,105,82,77.1,18,16,4,17,44.7,4,3,0,1,0.0
9,2020-2021,27,Atlético Madrid,es  ESP,1.  La Liga,1st,38,38,3420,38.0,25,0.66,120,97,80.0,26,8,4,18,47.4,4,1,2,1,66.7
10,2021-2022,28,Atlético Madrid,es  ESP,1.  La Liga,2nd,14,14,1260,14.0,14,1.00,27,17,59.3,8,5,1,5,35.7,3,3,0,0,0.0
11,11 Seasons,11 Seasons,4 Clubs,,2 Leagues,,303,302,27087,301.0,234,0.78,941,729,76.8,173,74,54,149,49.3,24,16,6,2,27.3
12,,,,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
13,Atlético Madrid (8 Seasons),Atlético Madrid (8 Seasons),Atlético Madrid (8 Seasons),,1 League,,243,243,21796,242.2,160,0.66,705,567,79.6,147,63,33,128,52.7,24,16,6,2,27.3
14,Rio Ave (1 Season),Rio Ave (1 Season),Rio Ave (1 Season),,1 League,,28,28,2501,27.8,40,1.44,102,62,60.8,11,6,11,6,21.4,,,,,
15,Benfica (1 Season),Benfica (1 Season),Benfica (1 Season),,1 League,,16,15,1351,15.0,5,0.33,48,43,89.6,14,1,0,11,73.3,,,,,
16,União de Leiria (1 Season),União de Leiria (1 Season),União de Leiria (1 Season),,1 League,,16,16,1439,16.0,29,1.81,86,57,66.3,1,4,10,4,25.0,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,
18,La Liga (8 Seasons),La Liga (8 Seasons),La Liga (8 Seasons),,,,243,243,21796,242.2,160,0.66,705,567,79.6,147,63,33,128,52.7,24,16,6,2,27.3
19,Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),,,,60,59,5291,58.8,74,1.26,236,162,68.6,26,11,21,21,35.6,,,,,
