,Player,Nation,Pos,Squad,Age,Born,90s,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
0,Brenden Aaronson,us  USA,"MF,FW",Leeds United,22-112,2000,17.7,1,27,5,18.5,1.52,0.28,0.04,0.20,19.0,2,0,0,2.4,2.4,0.09,-1.4,-1.4
1,Che Adams,sct  SCO,FW,Southampton,26-213,1996,17.3,4,36,13,36.1,2.08,0.75,0.11,0.31,14.5,0,0,0,4.6,4.6,0.13,-0.6,-0.6
2,Tyler Adams,us  USA,MF,Leeds United,23-362,1999,19.0,0,2,0,0.0,0.11,0.00,0.00,,29.4,0,0,0,0.0,0.0,0.02,0.0,0.0
3,Tosin Adarabioyo,eng  ENG,DF,Fulham,25-140,1997,12.2,1,4,2,50.0,0.33,0.16,0.25,0.50,16.4,0,0,0,0.2,0.2,0.04,+0.8,+0.8
4,Nayef Aguerd,ma  MAR,DF,West Ham,26-318,1996,4.8,0,4,0,0.0,0.83,0.00,0.00,,8.5,0,0,0,0.7,0.7,0.19,-0.7,-0.7
5,Naouirou Ahamada,fr  FRA,MF,Crystal Palace,20-319,2002,0.1,0,1,0,0.0,10.00,0.00,0.00,,17.3,0,0,0,0.0,0.0,0.03,0.0,0.0
6,Rayan Aït Nouri,fr  FRA,DF,Wolves,21-250,2001,9.6,1,10,5,50.0,1.04,0.52,0.10,0.20,14.1,0,0,0,0.7,0.7,0.07,+0.3,+0.3
7,Kristoffer Ajer,no  NOR,DF,Brentford,24-300,1998,7.5,0,1,0,0.0,0.13,0.00,0.00,,6.0,0,0,0,0.0,0.0,0.04,0.0,0.0
8,Manuel Akanji,ch  SUI,DF,Manchester City,27-207,1995,14.3,0,11,2,18.2,0.77,0.14,0.00,0.00,16.4,0,0,0,0.7,0.7,0.07,-0.7,-0.7
9,Nathan Aké,nl  NED,DF,Manchester City,27-358,1995,12.8,0,4,0,0.0,0.31,0.00,0.00,,10.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
10,Marc Albrighton,eng  ENG,"FW,MF",Leicester City,33-085,1989,2.6,1,2,1,50.0,0.76,0.38,0.50,1.00,8.0,0,0,0,0.3,0.3,0.17,+0.7,+0.7
11,Thiago Alcántara,es  ESP,MF,Liverpool,31-306,1991,12.8,0,9,1,11.1,0.70,0.08,0.00,0.00,25.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4
12,Carlos Alcaraz,ar  ARG,MF,Southampton,20-073,2002,0.6,0,1,0,0.0,1.61,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.02,0.0,0.0
13,Trent Alexander-Arnold,eng  ENG,DF,Liverpool,24-127,1998,16.0,1,21,3,14.3,1.31,0.19,0.05,0.33,22.5,3,0,0,1.4,1.4,0.07,-0.4,-0.4
14,Alisson,br  BRA,GK,Liverpool,30-132,1992,20.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
15,Dele Alli,eng  ENG,MF,Everton,26-306,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
16,Miguel Almirón,py  PAR,FW,Newcastle Utd,29-001,1994,19.3,9,46,14,30.4,2.38,0.73,0.20,0.64,17.0,0,0,0,5.4,5.4,0.12,+3.6,+3.6
17,Julián Álvarez,ar  ARG,"FW,MF",Manchester City,23-011,2000,6.4,4,19,8,42.1,2.96,1.25,0.21,0.50,15.6,0,0,0,2.2,2.2,0.12,+1.8,+1.8
18,Daniel Amartey,gh  GHA,DF,Leicester City,28-052,1994,15.2,0,3,2,66.7,0.20,0.13,0.00,0.00,25.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
19,Joachim Andersen,dk  DEN,DF,Crystal Palace,26-256,1996,16.4,1,11,5,45.5,0.67,0.30,0.09,0.20,11.0,0,0,0,1.1,1.1,0.10,-0.1,-0.1
20,Elliot Anderson,sct  SCO,"FW,MF",Newcastle Utd,20-097,2002,1.3,0,4,1,25.0,3.16,0.79,0.00,0.00,12.0,0,0,0,0.5,0.5,0.12,-0.5,-0.5
21,Jaidon Anthony,eng  ENG,"MF,FW",Bournemouth,23-072,1999,8.0,3,16,10,62.5,2.00,1.25,0.19,0.30,19.7,2,0,0,1.4,1.4,0.09,+1.6,+1.6
22,Michail Antonio,jm  JAM,FW,West Ham,32-320,1990,10.9,2,22,7,31.8,2.01,0.64,0.09,0.29,14.6,0,0,0,2.5,2.5,0.12,-0.5,-0.5
23,Antony,br  BRA,FW,Manchester Utd,22-352,2000,10.1,3,33,14,42.4,3.27,1.39,0.09,0.21,20.4,0,0,0,2.7,2.7,0.08,+0.3,+0.3
24,Cameron Archer,eng  ENG,"FW,MF",Aston Villa,21-205,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
25,Alphonse Areola,fr  FRA,GK,West Ham,29-349,1993,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
26,Joe Aribo,ng  NGA,"MF,FW",Southampton,26-205,1996,12.0,2,13,8,61.5,1.08,0.67,0.15,0.25,10.7,0,0,0,1.4,1.4,0.11,+0.6,+0.6
27,Adam Armstrong,eng  ENG,FW,Southampton,26-001,1997,11.4,1,19,9,47.4,1.67,0.79,0.05,0.11,16.8,0,0,0,1.5,1.5,0.08,-0.5,-0.5
28,Stuart Armstrong,sct  SCO,"MF,FW",Southampton,30-318,1992,8.5,1,13,3,23.1,1.53,0.35,0.08,0.33,18.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1
29,Kepa Arrizabalaga,es  ESP,GK,Chelsea,28-131,1994,12.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
30,Pierre-Emerick Aubameyang,ga  GAB,FW,Chelsea,33-238,1989,4.8,1,10,5,50.0,2.08,1.04,0.10,0.20,15.3,0,0,0,0.7,0.7,0.07,+0.3,+0.3
31,Ludwig Augustinsson,se  SWE,DF,Aston Villa,28-296,1994,0.9,0,2,1,50.0,2.34,1.17,0.00,0.00,12.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
32,Serge Aurier,ci  CIV,DF,Nott'ham Forest,30-049,1992,11.0,1,5,1,20.0,0.45,0.09,0.20,1.00,15.2,0,0,0,0.5,0.5,0.10,+0.5,+0.5
