,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G+A_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes
23,Antony,br  BRA,FW,Manchester Utd,22-352,2000,12,11,908,10.1,3,0,3,3,0,0,3,0,2.7,2.7,0.4,3.2,48,28,80,0.30,0.00,0.30,0.30,0.30,0.27,0.04,0.32,0.27,0.32
24,Cameron Archer,eng  ENG,"FW,MF",Aston Villa,21-205,2001,6,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,Alphonse Areola,fr  FRA,GK,West Ham,29-349,1993,2,0,107,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,Joe Aribo,ng  NGA,"MF,FW",Southampton,26-205,1996,18,11,1082,12.0,2,0,2,2,0,0,2,0,1.4,1.4,0.8,2.2,17,35,57,0.17,0.00,0.17,0.17,0.17,0.12,0.07,0.19,0.12,0.19
27,Adam Armstrong,eng  ENG,FW,Southampton,26-001,1997,20,12,1027,11.4,1,1,2,1,0,0,0,0,1.5,1.5,0.7,2.1,33,15,53,0.09,0.09,0.18,0.09,0.18,0.13,0.06,0.19,0.13,0.19
28,Stuart Armstrong,sct  SCO,"MF,FW",Southampton,30-318,1992,17,7,765,8.5,1,0,1,1,0,0,3,0,1.1,1.1,1.7,2.8,34,48,49,0.12,0.00,0.12,0.12,0.12,0.13,0.20,0.33,0.13,0.33
29,Kepa Arrizabalaga,es  ESP,GK,Chelsea,28-131,1994,13,13,1125,12.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,Pierre-Emerick Aubameyang,ga  GAB,FW,Chelsea,33-238,1989,11,4,433,4.8,1,0,1,1,0,0,1,0,0.7,0.7,0.3,1.0,7,3,22,0.21,0.00,0.21,0.21,0.21,0.15,0.07,0.22,0.15,0.22
31,Ludwig Augustinsson,se  SWE,DF,Aston Villa,28-296,1994,3,1,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
32,Serge Aurier,ci  CIV,DF,Nott'ham Forest,30-049,1992,13,11,992,11.0,1,0,1,1,0,0,1,0,0.5,0.5,0.8,1.3,28,41,34,0.09,0.00,0.09,0.09,0.09,0.04,0.07,0.11,0.04,0.11
33,Taiwo Awoniyi,ng  NGA,FW,Nott'ham Forest,25-183,1997,16,9,730,8.1,4,0,4,4,0,0,0,0,4.5,4.5,1.0,5.5,11,7,33,0.49,0.00,0.49,0.49,0.49,0.56,0.12,0.68,0.56,0.68
34,André Ayew,gh  GHA,FW,Nott'ham Forest,33-056,1989,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
