,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Starts,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Brenden Aaronson,us  USA,"MF,FW",Leeds United,22-112,2000,20,1596,80,84.4,17.7,19,83,8,1,28,1,0.95,24,33,-9,-0.51,-0.81,23.4,28.4,-5.0,-0.28,-0.30
1,Terry Ablade,fi  FIN,FW,Fulham,21-122,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
2,Che Adams,sct  SCO,FW,Southampton,26-213,1996,20,1560,78,82.5,17.3,18,84,12,2,25,1,0.75,14,30,-16,-0.92,+0.44,17.8,23.9,-6.1,-0.35,+0.14
3,Tyler Adams,us  USA,MF,Leeds United,23-362,1999,19,1706,90,90.3,19.0,19,90,18,0,,0,1.00,25,30,-5,-0.26,+1.20,25.0,26.1,-1.0,-0.06,+1.87
4,Tosin Adarabioyo,eng  ENG,DF,Fulham,25-140,1997,14,1095,78,55.3,12.2,12,90,12,2,8,8,1.64,20,22,-2,-0.16,-0.57,14.0,24.2,-10.3,-0.85,-1.11
5,Adrián,es  ESP,GK,Liverpool,36-039,1987,0,,,,,0,,0,0,,10,,,,,,,,,,,
6,Daniel Adu-Adjei,eng  ENG,FW,Bournemouth,17-235,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
7,Nayef Aguerd,ma  MAR,DF,West Ham,26-318,1996,5,436,87,23.1,4.8,4,90,4,1,76,2,1.00,5,5,0,0.00,+0.50,7.0,5.5,+1.6,+0.33,+0.22
8,Naouirou Ahamada,fr  FRA,MF,Crystal Palace,20-319,2002,1,9,9,0.5,0.1,0,,0,1,9,0,0.00,0,0,0,0.00,+0.48,0.2,0.0,+0.2,+1.93,+2.42
9,Rayan Aït Nouri,fr  FRA,DF,Wolves,21-250,2001,16,868,54,45.9,9.6,8,85,4,8,23,4,1.13,7,12,-5,-0.52,+0.36,10.2,14.1,-3.8,-0.40,+0.12
10,Kristoffer Ajer,no  NOR,DF,Brentford,24-300,1998,8,673,84,35.6,7.5,8,84,5,0,,3,1.13,6,13,-7,-0.94,-1.97,7.4,9.5,-2.1,-0.28,-0.67
11,Manuel Akanji,ch  SUI,DF,Manchester City,27-207,1995,15,1286,86,68.0,14.3,14,89,13,1,45,0,2.07,33,15,+18,+1.26,-0.83,28.7,12.7,+16.0,+1.12,-0.32
12,Nathan Aké,nl  NED,DF,Manchester City,27-358,1995,15,1156,77,61.2,12.8,13,85,12,2,28,3,2.00,31,12,+19,+1.48,-0.11,27.6,11.5,+16.1,+1.25,+0.07
13,Marc Albrighton,eng  ENG,"FW,MF",Leicester City,33-085,1989,6,237,40,12.5,2.6,1,67,0,5,34,13,1.67,4,3,+1,+0.38,+0.71,4.9,4.3,+0.6,+0.24,+0.74
14,Thiago Alcántara,es  ESP,MF,Liverpool,31-306,1991,14,1154,82,64.1,12.8,14,82,9,0,,0,1.50,18,22,-4,-0.31,-1.71,20.4,19.6,+0.8,+0.06,-0.68
15,Carlos Alcaraz,ar  ARG,MF,Southampton,20-073,2002,2,56,28,3.0,0.6,0,,0,2,28,1,1.50,1,1,0,0.00,+1.03,0.6,1.2,-0.7,-1.05,-0.69
16,Kyle Alex John,eng  ENG,DF,Everton,21-363,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
17,Trent Alexander-Arnold,eng  ENG,DF,Liverpool,24-127,1998,20,1441,72,80.1,16.0,17,82,9,3,16,0,1.45,29,25,+4,+0.25,-0.25,28.4,23.1,+5.3,+0.33,+0.10
18,Alisson,br  BRA,GK,Liverpool,30-132,1992,20,1800,90,100.0,20.0,20,90,20,0,,0,1.45,34,28,+6,+0.30,,35.4,29.2,+6.2,+0.31,
19,Allan,br  BRA,"DF,MF",Everton,32-034,1991,0,,,,,0,,0,0,,5,,,,,,,,,,,
20,Dele Alli,eng  ENG,MF,Everton,26-306,1996,2,40,20,2.1,0.4,0,,0,2,20,1,0.00,1,1,0,0.00,+0.58,1.0,1.7,-0.7,-1.57,-1.01
21,Miguel Almirón,py  PAR,FW,Newcastle Utd,29-001,1994,21,1736,83,91.9,19.3,21,83,5,0,,0,1.90,30,10,+20,+1.04,-0.13,29.9,16.8,+13.0,+0.68,-0.52
22,Julián Álvarez,ar  ARG,"FW,MF",Manchester City,23-011,2000,16,578,36,30.6,6.4,5,82,3,11,15,4,2.31,16,7,+9,+1.40,-0.18,12.5,8.1,+4.4,+0.68,-0.78
23,Steven Alzate,co  COL,MF,Brighton,24-156,1998,0,,,,,0,,0,0,,5,,,,,,,,,,,
24,Daniel Amartey,gh  GHA,DF,Leicester City,28-052,1994,17,1365,80,72.2,15.2,15,88,14,2,22,2,0.88,18,23,-5,-0.33,-0.33,16.2,23.7,-7.5,-0.49,-0.31
25,Ethan Ampadu,wls  WAL,"DF,MF",Chelsea,22-150,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
26,Joseph Anang,eng  ENG,GK,West Ham,22-248,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
27,Joachim Andersen,dk  DEN,DF,Crystal Palace,26-256,1996,17,1477,87,78.1,16.4,17,87,16,0,,0,1.29,16,23,-7,-0.43,+0.23,16.7,22.0,-5.3,-0.32,+0.71
28,Elliot Anderson,sct  SCO,"FW,MF",Newcastle Utd,20-097,2002,9,114,13,6.0,1.3,0,,0,9,13,8,2.00,3,3,0,0.00,-1.11,2.7,1.7,+1.0,+0.80,+0.09
29,Jaidon Anthony,eng  ENG,"MF,FW",Bournemouth,23-072,1999,16,721,45,38.1,8.0,6,82,3,10,23,5,0.81,3,20,-17,-2.12,-1.58,6.2,16.1,-9.9,-1.23,-0.53
