,Player,Nation,Pos,Squad,Age,Born,90s,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
0,Alisson,br  BRA,GK,Liverpool,30-132,1992,20.0,28,2,0,0,2,33.8,0.34,+7.8,+0.39,60,140,42.9,635,126,18.4,26.8,105,21.9,29.7,217,8,3.7,40,2.00,20.0
1,Alphonse Areola,fr  FRA,GK,West Ham,29-349,1993,1.2,2,1,0,0,0,1.7,0.34,-0.3,-0.27,9,20,45.0,31,3,45.2,35.0,10,60.0,42.5,15,0,0.0,1,0.84,14.3
2,Kepa Arrizabalaga,es  ESP,GK,Chelsea,28-131,1994,12.5,9,0,0,1,2,14.9,0.29,+7.9,+0.64,31,92,33.7,385,66,15.3,24.7,89,37.1,30.7,182,8,4.4,25,2.00,17.3
3,Gavin Bazunu,ie  IRL,GK,Southampton,20-356,2002,21.0,38,0,1,5,3,24.7,0.29,-10.3,-0.49,150,430,34.9,624,101,51.6,38.7,154,70.1,52.1,295,26,8.8,31,1.48,14.4
4,Asmir Begović,ba  BIH,GK,Everton,35-236,1987,1.0,0,0,0,0,0,0.5,0.12,+0.5,+0.49,4,13,30.8,22,5,36.4,34.9,8,62.5,46.8,23,1,4.3,0,0.00,5.0
5,Ederson,br  BRA,GK,Manchester City,29-178,1993,21.0,21,2,1,2,1,16.4,0.28,-3.6,-0.17,56,142,39.4,673,96,17.8,27.4,92,23.9,29.6,168,16,9.5,27,1.29,16.4
6,Łukasz Fabiański,pl  POL,GK,West Ham,37-299,1985,19.8,24,1,0,0,1,23.9,0.27,+0.9,+0.05,109,287,38.0,409,99,50.9,38.9,131,60.3,44.9,282,19,6.7,6,0.30,10.8
7,Fraser Forster,eng  ENG,GK,Tottenham,34-331,1988,1.0,2,0,0,1,0,2.1,0.52,+0.1,+0.10,4,6,66.7,16,9,18.8,24.9,5,60.0,39.4,10,0,0.0,2,2.00,20.7
8,David de Gea,es  ESP,GK,Manchester Utd,32-096,1990,22.0,28,1,2,5,1,23.8,0.28,-3.2,-0.15,69,241,28.6,570,79,30.9,31.3,98,66.3,49.4,321,8,2.5,18,0.82,15.2
9,Vicente Guaita,es  ESP,GK,Crystal Palace,36-032,1987,21.0,29,1,0,4,1,26.3,0.28,-1.7,-0.08,88,246,35.8,507,108,34.3,32.2,162,44.4,34.9,334,22,6.6,23,1.10,13.5
10,Dean Henderson,eng  ENG,GK,Nott'ham Forest,25-336,1997,18.0,31,2,1,5,0,26.9,0.28,-4.1,-0.23,108,334,32.3,513,107,47.2,38.5,156,59.0,45.3,291,20,6.9,27,1.50,15.6
11,Wayne Hennessey,wls  WAL,GK,Nott'ham Forest,36-018,1987,2.0,4,0,0,1,0,3.8,0.35,-0.2,-0.10,16,26,61.5,41,8,41.5,37.1,15,60.0,41.9,22,0,0.0,2,1.00,17.8
12,Bernd Leno,de  GER,GK,Fulham,30-344,1992,20.0,28,3,1,4,0,32.1,0.28,+4.1,+0.21,85,241,35.3,592,107,30.9,31.1,139,41.7,37.1,256,22,8.6,27,1.35,14.7
13,Hugo Lloris,fr  FRA,GK,Tottenham,36-047,1986,21.0,29,1,0,2,1,25.7,0.26,-2.3,-0.11,68,179,38.0,459,94,30.7,31.3,163,23.3,24.9,274,16,5.8,26,1.24,14.1
14,Emiliano Martínez,ar  ARG,GK,Aston Villa,30-162,1992,18.4,24,1,1,3,3,20.6,0.27,-0.4,-0.02,91,239,38.1,534,72,35.2,33.2,112,45.5,39.3,228,33,14.5,23,1.25,14.5
15,Edouard Mendy,sn  SEN,GK,Chelsea,30-347,1992,8.5,12,0,0,4,0,11.7,0.35,-0.3,-0.03,27,76,35.5,212,42,23.1,28.1,56,48.2,37.3,117,8,6.8,9,1.06,13.8
16,Illan Meslier,fr  FRA,GK,Leeds United,22-346,2000,21.0,36,2,1,4,1,29.1,0.28,-5.9,-0.28,61,292,20.9,469,115,42.2,34.7,166,56.6,43.4,265,21,7.9,42,2.00,16.3
17,Keylor Navas,cr  CRC,GK,Nott'ham Forest,36-058,1986,1.0,0,0,0,0,0,0.7,0.18,+0.7,+0.73,10,30,33.3,24,0,87.5,51.8,12,75.0,47.3,14,1,7.1,0,0.00,6.7
18,Neto,br  BRA,GK,Bournemouth,33-207,1989,10.5,12,4,0,3,0,14.9,0.24,+2.9,+0.27,80,175,45.7,228,49,50.0,38.4,86,70.9,46.2,216,16,7.4,9,0.86,11.2
19,Robin Olsen,se  SWE,GK,Aston Villa,33-034,1990,2.6,7,1,0,3,0,5.5,0.30,-1.5,-0.58,12,52,23.1,87,17,43.7,37.5,24,58.3,46.1,38,4,10.5,3,1.14,16.2
20,Jordan Pickford,eng  ENG,GK,Everton,28-341,1994,20.0,28,2,1,4,0,28.7,0.27,+0.7,+0.03,147,409,35.9,555,92,51.9,40.4,178,68.0,51.2,300,10,3.3,27,1.35,15.5
21,Nick Pope,eng  ENG,GK,Newcastle Utd,30-298,1992,21.0,12,1,0,4,0,14.8,0.23,+2.8,+0.14,74,232,31.9,421,135,34.7,33.6,115,74.8,54.4,265,20,7.5,43,2.05,18.4
22,Aaron Ramsdale,eng  ENG,GK,Arsenal,24-273,1998,20.0,17,2,0,3,1,18.3,0.27,+2.3,+0.12,66,242,27.3,495,100,38.6,34.9,78,65.4,52.7,226,15,6.6,22,1.10,14.9
23,David Raya,es  ESP,GK,Brentford,27-149,1995,21.0,28,1,0,7,2,28.2,0.24,+2.2,+0.11,186,485,38.4,731,100,50.8,39.3,160,71.3,52.4,333,31,9.3,31,1.48,15.6
24,Marek Rodák,sk  SVK,GK,Fulham,26-060,1996,2.0,2,0,0,0,0,2.0,0.51,0.0,+0.01,16,47,34.0,46,3,73.9,46.0,15,86.7,60.0,26,1,3.8,2,1.00,14.0
25,José Sá,pt  POR,GK,Wolves,30-025,1993,21.0,30,1,0,4,1,26.5,0.27,-2.5,-0.12,78,244,32.0,556,105,27.9,30.2,162,54.9,43.2,326,24,7.4,18,0.86,13.2
26,Robert Sánchez,es  ESP,GK,Brighton,25-085,1997,20.0,27,5,0,4,3,22.9,0.25,-1.1,-0.06,55,199,27.6,567,94,26.5,30.3,120,40.8,37.2,204,15,7.4,13,0.65,12.9
27,Mark Travers,ie  IRL,GK,Bournemouth,23-269,1999,10.5,31,2,0,8,2,22.1,0.34,-6.9,-0.66,70,146,47.9,215,47,38.1,32.6,109,58.7,45.7,206,5,2.4,4,0.38,9.6
28,Danny Ward,wls  WAL,GK,Leicester City,29-234,1993,21.0,37,2,2,4,4,28.8,0.29,-4.2,-0.20,74,241,30.7,608,136,28.6,30.1,162,41.4,34.9,303,18,5.9,35,1.67,15.4
