,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Sw_Pass Types,Crs_Pass Types,TI_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes
0,Brenden Aaronson,us  USA,"MF,FW",Leeds United,22-112,2000,17.7,549,498,51,17,3,0,45,4,26,12,11,1,411,0,15
1,Che Adams,sct  SCO,FW,Southampton,26-213,1996,17.3,380,374,5,0,2,7,9,3,0,0,0,0,252,1,12
2,Tyler Adams,us  USA,MF,Leeds United,23-362,1999,19.0,1091,1031,60,47,1,1,2,13,0,0,0,0,895,0,19
3,Tosin Adarabioyo,eng  ENG,DF,Fulham,25-140,1997,12.2,592,562,26,21,0,6,1,4,0,0,0,0,474,4,7
4,Nayef Aguerd,ma  MAR,DF,West Ham,26-318,1996,4.8,194,189,4,4,0,4,0,0,0,0,0,0,150,1,1
5,Naouirou Ahamada,fr  FRA,MF,Crystal Palace,20-319,2002,0.1,9,9,0,0,0,0,1,0,0,0,0,0,8,0,0
6,Rayan Aït Nouri,fr  FRA,DF,Wolves,21-250,2001,9.6,461,386,73,4,0,1,20,66,3,1,2,0,375,2,14
7,Kristoffer Ajer,no  NOR,DF,Brentford,24-300,1998,7.5,317,270,46,7,0,4,6,39,0,0,0,0,238,1,8
8,Manuel Akanji,ch  SUI,DF,Manchester City,27-207,1995,14.3,1157,1136,21,12,0,7,3,9,0,0,0,0,1090,0,2
9,Nathan Aké,nl  NED,DF,Manchester City,27-358,1995,12.8,1178,1100,76,23,1,6,5,53,0,0,0,0,1078,2,12
10,Marc Albrighton,eng  ENG,"FW,MF",Leicester City,33-085,1989,2.6,149,131,17,1,1,0,28,7,7,1,3,2,90,1,10
11,Thiago Alcántara,es  ESP,MF,Liverpool,31-306,1991,12.8,980,949,28,21,8,14,1,5,0,0,0,0,842,3,21
12,Carlos Alcaraz,ar  ARG,MF,Southampton,20-073,2002,0.6,23,23,0,0,0,1,0,0,0,0,0,0,15,0,1
13,Trent Alexander-Arnold,eng  ENG,DF,Liverpool,24-127,1998,16.0,1422,1144,271,32,9,29,137,186,53,10,39,1,1039,7,17
14,Alisson,br  BRA,GK,Liverpool,30-132,1992,20.0,742,604,136,31,0,2,0,0,0,0,0,0,636,2,1
15,Dele Alli,eng  ENG,MF,Everton,26-306,1996,0.4,15,13,2,1,0,0,0,0,0,0,0,0,12,0,0
16,Miguel Almirón,py  PAR,FW,Newcastle Utd,29-001,1994,19.3,670,643,22,0,0,3,18,13,9,0,0,0,553,5,20
17,Julián Álvarez,ar  ARG,"FW,MF",Manchester City,23-011,2000,6.4,200,195,5,0,2,2,8,2,0,0,0,0,158,0,9
18,Daniel Amartey,gh  GHA,DF,Leicester City,28-052,1994,15.2,955,938,16,12,2,2,0,4,0,0,0,0,874,1,2
19,Joachim Andersen,dk  DEN,DF,Crystal Palace,26-256,1996,16.4,1047,984,60,53,1,28,4,6,1,0,0,0,835,3,9
20,Elliot Anderson,sct  SCO,"FW,MF",Newcastle Utd,20-097,2002,1.3,62,59,2,0,0,0,3,1,1,0,0,0,45,1,5
21,Jaidon Anthony,eng  ENG,"MF,FW",Bournemouth,23-072,1999,8.0,321,287,34,8,2,5,30,14,11,7,0,1,232,0,13
22,Michail Antonio,jm  JAM,FW,West Ham,32-320,1990,10.9,191,184,7,1,1,0,18,5,0,0,0,0,99,0,7
23,Antony,br  BRA,FW,Manchester Utd,22-352,2000,10.1,413,408,5,1,1,2,18,3,1,0,0,0,319,0,13
