,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Brenden Aaronson,us  USA,"MF,FW",Leeds United,22-112,2000,17.7,2,0,0,11,40,3,45,1,9,0,0,0,86,6,21,22.2
1,Che Adams,sct  SCO,FW,Southampton,26-213,1996,17.3,0,0,0,30,17,7,9,4,12,0,0,0,39,50,88,36.2
2,Tyler Adams,us  USA,MF,Leeds United,23-362,1999,19.0,5,1,1,33,20,1,2,27,38,0,0,0,165,17,12,58.6
3,Tosin Adarabioyo,eng  ENG,DF,Fulham,25-140,1997,12.2,2,0,0,8,3,0,1,13,5,0,0,0,57,26,5,83.9
4,Nayef Aguerd,ma  MAR,DF,West Ham,26-318,1996,4.8,3,0,0,4,1,1,0,3,8,0,0,0,26,10,5,66.7
5,Naouirou Ahamada,fr  FRA,MF,Crystal Palace,20-319,2002,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
6,Rayan Aït Nouri,fr  FRA,DF,Wolves,21-250,2001,9.6,2,0,0,10,7,3,20,7,15,0,1,1,48,9,11,45.0
7,Kristoffer Ajer,no  NOR,DF,Brentford,24-300,1998,7.5,0,0,0,5,7,0,6,7,7,0,1,0,31,10,9,52.6
8,Manuel Akanji,ch  SUI,DF,Manchester City,27-207,1995,14.3,1,0,0,13,7,0,3,11,15,0,0,0,77,12,20,37.5
9,Nathan Aké,nl  NED,DF,Manchester City,27-358,1995,12.8,0,0,0,9,9,1,5,13,7,0,0,0,64,22,17,56.4
10,Marc Albrighton,eng  ENG,"FW,MF",Leicester City,33-085,1989,2.6,0,0,0,2,2,1,28,1,1,0,0,0,14,1,1,50.0
11,Thiago Alcántara,es  ESP,MF,Liverpool,31-306,1991,12.8,2,0,0,18,25,0,1,18,23,0,1,0,104,14,24,36.8
12,Carlos Alcaraz,ar  ARG,MF,Southampton,20-073,2002,0.6,0,0,0,1,0,0,0,0,1,0,0,0,4,0,1,0.0
13,Trent Alexander-Arnold,eng  ENG,DF,Liverpool,24-127,1998,16.0,3,0,0,8,3,3,137,22,17,0,0,0,121,11,7,61.1
14,Alisson,br  BRA,GK,Liverpool,30-132,1992,20.0,0,0,0,1,1,0,0,0,0,0,0,0,37,4,1,80.0
15,Dele Alli,eng  ENG,MF,Everton,26-306,1996,0.4,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.3
16,Miguel Almirón,py  PAR,FW,Newcastle Utd,29-001,1994,19.3,1,0,0,13,24,8,18,7,23,0,0,0,96,4,8,33.3
17,Julián Álvarez,ar  ARG,"FW,MF",Manchester City,23-011,2000,6.4,0,0,0,10,5,1,8,0,5,0,0,0,14,5,11,31.3
18,Daniel Amartey,gh  GHA,DF,Leicester City,28-052,1994,15.2,1,0,0,7,3,0,0,8,6,0,1,0,84,29,23,55.8
19,Joachim Andersen,dk  DEN,DF,Crystal Palace,26-256,1996,16.4,3,0,0,16,11,0,4,16,11,0,0,0,100,40,18,69.0
20,Elliot Anderson,sct  SCO,"FW,MF",Newcastle Utd,20-097,2002,1.3,0,0,0,2,7,0,3,2,3,0,0,0,11,4,2,66.7
21,Jaidon Anthony,eng  ENG,"MF,FW",Bournemouth,23-072,1999,8.0,1,0,0,6,6,3,30,3,10,0,0,0,40,8,9,47.1
22,Michail Antonio,jm  JAM,FW,West Ham,32-320,1990,10.9,1,0,0,16,22,9,18,3,6,0,0,0,22,24,44,35.3
23,Antony,br  BRA,FW,Manchester Utd,22-352,2000,10.1,3,0,0,4,13,2,18,4,3,0,0,0,50,3,8,27.3
24,Cameron Archer,eng  ENG,"FW,MF",Aston Villa,21-205,2001,0.5,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,
