,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W_Performance,D_Performance,L_Performance,CS_Performance,CS%_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
0,Alisson,br  BRA,GK,Liverpool,30-132,1992,20,20,1800,20.0,28,1.40,93,66,72.0,8,5,7,5,25.0,3,2,1,0,33.3
1,Alphonse Areola,fr  FRA,GK,West Ham,29-349,1993,2,0,107,1.2,2,1.68,2,0,50.0,0,0,0,0,,1,1,0,0,0.0
2,Kepa Arrizabalaga,es  ESP,GK,Chelsea,28-131,1994,13,13,1125,12.5,9,0.72,52,45,82.7,5,5,3,7,53.8,0,0,0,0,
3,Gavin Bazunu,ie  IRL,GK,Southampton,20-356,2002,21,21,1890,21.0,38,1.81,83,47,54.2,4,3,14,1,4.8,1,0,1,0,100.0
4,Asmir Begović,ba  BIH,GK,Everton,35-236,1987,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
5,Ederson,br  BRA,GK,Manchester City,29-178,1993,21,21,1890,21.0,21,1.00,52,32,63.5,14,3,4,8,38.1,2,2,0,0,0.0
6,Łukasz Fabiański,pl  POL,GK,West Ham,37-299,1985,21,21,1783,19.8,24,1.21,82,58,72.0,5,4,12,4,19.0,2,1,1,0,50.0
7,Fraser Forster,eng  ENG,GK,Tottenham,34-331,1988,1,1,90,1.0,2,2.00,4,2,50.0,0,1,0,0,0.0,0,0,0,0,
8,David de Gea,es  ESP,GK,Manchester Utd,32-096,1990,22,22,1980,22.0,28,1.27,83,56,67.5,13,4,5,8,36.4,1,1,0,0,0.0
9,Vicente Guaita,es  ESP,GK,Crystal Palace,36-032,1987,21,21,1890,21.0,29,1.38,93,65,69.9,6,6,9,5,23.8,1,1,0,0,0.0
10,Dean Henderson,eng  ENG,GK,Nott'ham Forest,25-336,1997,18,18,1620,18.0,31,1.72,85,52,65.9,5,5,8,6,33.3,5,2,2,1,50.0
11,Wayne Hennessey,wls  WAL,GK,Nott'ham Forest,36-018,1987,2,2,180,2.0,4,2.00,11,7,63.6,0,1,1,0,0.0,0,0,0,0,
12,Bernd Leno,de  GER,GK,Fulham,30-344,1992,20,20,1800,20.0,28,1.40,111,83,77.5,9,3,8,5,25.0,3,3,0,0,0.0
13,Hugo Lloris,fr  FRA,GK,Tottenham,36-047,1986,21,21,1890,21.0,29,1.38,95,67,70.5,12,2,7,7,33.3,1,1,0,0,0.0
14,Emiliano Martínez,ar  ARG,GK,Aston Villa,30-162,1992,19,19,1654,18.4,24,1.31,71,49,67.6,7,4,8,4,21.1,2,1,1,0,50.0
15,Edouard Mendy,sn  SEN,GK,Chelsea,30-347,1992,9,8,765,8.5,12,1.41,37,25,67.6,3,1,4,1,12.5,0,0,0,0,
16,Illan Meslier,fr  FRA,GK,Leeds United,22-346,2000,21,21,1890,21.0,36,1.71,98,63,65.3,4,7,10,4,19.0,2,2,0,0,0.0
17,Keylor Navas,cr  CRC,GK,Nott'ham Forest,36-058,1986,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
18,Neto,br  BRA,GK,Bournemouth,33-207,1989,11,11,945,10.5,12,1.14,46,34,82.6,2,5,4,2,18.2,4,4,0,0,0.0
19,Robin Olsen,se  SWE,GK,Aston Villa,33-034,1990,3,2,236,2.6,7,2.67,16,9,62.5,1,0,1,1,50.0,1,1,0,0,0.0
20,Jordan Pickford,eng  ENG,GK,Everton,28-341,1994,20,20,1800,20.0,28,1.40,103,75,74.8,3,6,11,4,20.0,2,2,0,0,0.0
21,Nick Pope,eng  ENG,GK,Newcastle Utd,30-298,1992,21,21,1890,21.0,12,0.57,63,51,82.5,10,10,1,12,57.1,2,1,0,1,0.0
22,Aaron Ramsdale,eng  ENG,GK,Arsenal,24-273,1998,20,20,1800,20.0,17,0.85,62,46,75.8,16,2,2,9,45.0,3,2,0,1,0.0
23,David Raya,es  ESP,GK,Brentford,27-149,1995,21,21,1890,21.0,28,1.33,117,91,76.9,8,9,4,8,38.1,1,1,0,0,0.0
24,Marek Rodák,sk  SVK,GK,Fulham,26-060,1996,2,2,180,2.0,2,1.00,4,2,50.0,0,2,0,1,50.0,0,0,0,0,
25,José Sá,pt  POR,GK,Wolves,30-025,1993,21,21,1890,21.0,30,1.43,88,57,67.0,5,5,11,6,28.6,3,1,2,0,66.7
26,Robert Sánchez,es  ESP,GK,Brighton,25-085,1997,20,20,1800,20.0,27,1.35,69,44,68.1,10,4,6,6,30.0,6,5,1,0,16.7
27,Mark Travers,ie  IRL,GK,Bournemouth,23-269,1999,11,10,945,10.5,31,2.95,60,31,51.7,2,0,8,2,20.0,2,2,0,0,0.0
28,Danny Ward,wls  WAL,GK,Leicester City,29-234,1993,21,21,1890,21.0,37,1.76,94,60,62.8,6,3,12,6,28.6,2,2,0,0,0.0
