,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Brenden Aaronson,us  USA,"MF,FW",Leeds United,22-112,2000,17.7,411,549,74.9,5186,1517,235,287,81.9,105,137,76.6,16,42,38.1,2,3.1,1.6,-1.1,31,31,8,2,57
1,Che Adams,sct  SCO,FW,Southampton,26-213,1996,17.3,252,380,66.3,3571,820,159,214,74.3,54,85,63.5,22,30,73.3,2,2.5,1.8,-0.5,21,17,10,2,23
2,Tyler Adams,us  USA,MF,Leeds United,23-362,1999,19.0,895,1091,82.0,13587,4198,488,555,87.9,320,378,84.7,54,90,60.0,0,1.3,0.9,-1.3,23,83,12,0,111
3,Tosin Adarabioyo,eng  ENG,DF,Fulham,25-140,1997,12.2,474,592,80.1,9865,3618,117,134,87.3,307,347,88.5,46,95,48.4,0,0.0,0.1,0.0,1,29,2,0,36
4,Nayef Aguerd,ma  MAR,DF,West Ham,26-318,1996,4.8,150,194,77.3,3032,1347,51,55,92.7,77,94,81.9,20,40,50.0,0,0.0,0.1,0.0,1,11,2,0,9
5,Naouirou Ahamada,fr  FRA,MF,Crystal Palace,20-319,2002,0.1,8,9,88.9,128,23,3,3,100.0,5,6,83.3,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
6,Rayan Aït Nouri,fr  FRA,DF,Wolves,21-250,2001,9.6,375,461,81.3,5850,2045,209,235,88.9,140,168,83.3,19,29,65.5,0,1.0,0.8,-1.0,7,22,13,5,36
7,Kristoffer Ajer,no  NOR,DF,Brentford,24-300,1998,7.5,238,317,75.1,4141,1706,122,145,84.1,94,118,79.7,21,38,55.3,0,0.0,0.1,0.0,1,20,1,1,27
8,Manuel Akanji,ch  SUI,DF,Manchester City,27-207,1995,14.3,1090,1157,94.2,18873,5880,478,492,97.2,529,550,96.2,68,91,74.7,1,0.2,0.3,+0.8,4,74,1,1,68
9,Nathan Aké,nl  NED,DF,Manchester City,27-358,1995,12.8,1078,1178,91.5,17723,6367,508,535,95.0,508,542,93.7,48,71,67.6,0,0.3,0.7,-0.3,5,97,5,0,94
10,Marc Albrighton,eng  ENG,"FW,MF",Leicester City,33-085,1989,2.6,90,149,60.4,1447,551,49,61,80.3,23,34,67.6,12,34,35.3,0,0.9,0.4,-0.9,6,6,5,2,7
11,Thiago Alcántara,es  ESP,MF,Liverpool,31-306,1991,12.8,842,980,85.9,15197,4456,393,424,92.7,299,340,87.9,121,153,79.1,0,1.1,1.2,-1.1,17,95,19,0,107
12,Carlos Alcaraz,ar  ARG,MF,Southampton,20-073,2002,0.6,15,23,65.2,165,38,8,13,61.5,5,5,100.0,0,2,0.0,0,0.0,0.0,0.0,1,1,0,0,1
13,Trent Alexander-Arnold,eng  ENG,DF,Liverpool,24-127,1998,16.0,1039,1422,73.1,19780,8294,487,547,89.0,380,497,76.5,159,330,48.2,1,4.3,4.0,-3.3,36,112,49,17,116
14,Alisson,br  BRA,GK,Liverpool,30-132,1992,20.0,636,742,85.7,14932,9670,156,156,100.0,324,331,97.9,152,248,61.3,1,0.3,0.0,+0.7,1,9,0,0,1
15,Dele Alli,eng  ENG,MF,Everton,26-306,1996,0.4,12,15,80.0,123,10,6,8,75.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1
16,Miguel Almirón,py  PAR,FW,Newcastle Utd,29-001,1994,19.3,553,670,82.5,7574,1876,342,380,90.0,162,195,83.1,22,31,71.0,1,1.5,2.0,-0.5,17,33,22,2,91
17,Julián Álvarez,ar  ARG,"FW,MF",Manchester City,23-011,2000,6.4,158,200,79.0,1987,302,98,114,86.0,35,46,76.1,7,11,63.6,0,0.5,0.5,-0.5,6,11,4,1,18
18,Daniel Amartey,gh  GHA,DF,Leicester City,28-052,1994,15.2,874,955,91.5,15152,5775,383,407,94.1,423,446,94.8,58,84,69.0,0,0.5,0.4,-0.5,5,52,1,0,62
19,Joachim Andersen,dk  DEN,DF,Crystal Palace,26-256,1996,16.4,835,1047,79.8,19807,7706,193,212,91.0,488,527,92.6,149,283,52.7,0,0.4,0.3,-0.4,4,68,4,0,44
20,Elliot Anderson,sct  SCO,"FW,MF",Newcastle Utd,20-097,2002,1.3,45,62,72.6,708,260,23,29,79.3,19,23,82.6,2,2,100.0,0,0.5,0.6,-0.5,3,7,1,0,7
21,Jaidon Anthony,eng  ENG,"MF,FW",Bournemouth,23-072,1999,8.0,232,321,72.3,3391,939,133,153,86.9,63,90,70.0,19,35,54.3,0,0.5,0.7,-0.5,7,14,12,4,32
22,Michail Antonio,jm  JAM,FW,West Ham,32-320,1990,10.9,99,191,51.8,1440,287,54,83,65.1,37,71,52.1,5,19,26.3,2,1.0,0.6,+1.0,10,8,5,1,16
23,Antony,br  BRA,FW,Manchester Utd,22-352,2000,10.1,319,413,77.2,4058,812,226,261,86.6,66,94,70.2,12,25,48.0,0,0.4,0.7,-0.4,8,14,8,0,28
24,Cameron Archer,eng  ENG,"FW,MF",Aston Villa,21-205,2001,0.5,8,12,66.7,108,44,5,5,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,0
25,Alphonse Areola,fr  FRA,GK,West Ham,29-349,1993,1.2,29,42,69.0,852,696,9,9,100.0,10,10,100.0,10,22,45.5,0,0.0,0.0,0.0,0,0,0,0,0
26,Joe Aribo,ng  NGA,"MF,FW",Southampton,26-205,1996,12.0,256,350,73.1,3209,812,177,225,78.7,55,76,72.4,8,10,80.0,0,0.8,0.4,-0.8,9,19,9,0,35
27,Adam Armstrong,eng  ENG,FW,Southampton,26-001,1997,11.4,185,252,73.4,2789,534,100,119,84.0,61,78,78.2,12,19,63.2,1,0.7,0.7,+0.3,10,11,9,2,15
28,Stuart Armstrong,sct  SCO,"MF,FW",Southampton,30-318,1992,8.5,291,366,79.5,4576,1355,156,179,87.2,104,127,81.9,20,29,69.0,0,1.7,2.1,-1.7,12,26,21,5,48
29,Kepa Arrizabalaga,es  ESP,GK,Chelsea,28-131,1994,12.5,402,474,84.8,8429,5001,164,166,98.8,155,156,99.4,81,150,54.0,0,0.0,0.0,0.0,0,4,0,0,0
