,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take-Ons,Succ_Take-Ons,Succ%_Take-Ons,Tkld_Take-Ons,Tkld%_Take-Ons,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving
0,Brenden Aaronson,us  USA,"MF,FW",Leeds United,22-112,2000,17.7,778,7,77,337,380,44,778,66,21,31.8,31,47.0,473,2409,1002,27,19,7,46,55,534,100
1,Che Adams,sct  SCO,FW,Southampton,26-213,1996,17.3,560,22,52,226,293,83,560,24,11,45.8,11,45.8,308,1253,360,11,8,8,60,16,428,79
2,Tyler Adams,us  USA,MF,Leeds United,23-362,1999,19.0,1318,29,293,821,215,3,1318,17,3,17.6,11,64.7,668,2605,1188,13,19,0,22,13,752,18
3,Tosin Adarabioyo,eng  ENG,DF,Fulham,25-140,1997,12.2,709,116,385,311,18,3,709,3,2,66.7,1,33.3,352,1911,1170,6,8,0,2,3,427,1
4,Nayef Aguerd,ma  MAR,DF,West Ham,26-318,1996,4.8,248,30,123,119,8,5,248,1,1,100.0,0,0.0,134,478,238,1,0,0,3,0,147,1
5,Naouirou Ahamada,fr  FRA,MF,Crystal Palace,20-319,2002,0.1,10,0,0,7,3,2,10,0,0,,0,,5,25,7,1,0,1,0,0,8,2
6,Rayan Aït Nouri,fr  FRA,DF,Wolves,21-250,2001,9.6,590,34,173,213,213,25,590,38,19,50.0,17,44.7,308,1733,997,25,12,10,19,9,358,67
7,Kristoffer Ajer,no  NOR,DF,Brentford,24-300,1998,7.5,379,39,169,154,59,7,379,7,1,14.3,4,57.1,203,1097,604,10,5,0,3,8,215,10
8,Manuel Akanji,ch  SUI,DF,Manchester City,27-207,1995,14.3,1267,74,468,710,92,20,1267,4,3,75.0,1,25.0,909,5536,3430,18,23,0,7,2,990,8
9,Nathan Aké,nl  NED,DF,Manchester City,27-358,1995,12.8,1259,58,407,727,131,20,1259,3,2,66.7,1,33.3,817,3818,2416,14,9,2,10,0,975,15
10,Marc Albrighton,eng  ENG,"FW,MF",Leicester City,33-085,1989,2.6,174,6,33,62,80,5,174,1,1,100.0,0,0.0,83,397,149,5,5,0,4,2,116,18
11,Thiago Alcántara,es  ESP,MF,Liverpool,31-306,1991,12.8,1122,41,257,702,168,7,1122,28,19,67.9,4,14.3,634,3315,1541,12,18,0,11,18,802,22
12,Carlos Alcaraz,ar  ARG,MF,Southampton,20-073,2002,0.6,29,2,6,15,9,1,29,0,0,,0,,22,122,84,3,4,0,2,0,20,0
13,Trent Alexander-Arnold,eng  ENG,DF,Liverpool,24-127,1998,16.0,1560,49,359,780,428,27,1560,11,7,63.6,3,27.3,838,3137,1636,24,17,5,19,13,978,85
14,Alisson,br  BRA,GK,Liverpool,30-132,1992,20.0,791,612,769,22,0,0,791,0,0,,0,,491,2427,1494,0,0,0,0,0,432,0
15,Dele Alli,eng  ENG,MF,Everton,26-306,1996,0.4,20,0,1,8,11,2,20,1,0,0.0,1,100.0,11,30,3,0,0,0,3,1,14,1
16,Miguel Almirón,py  PAR,FW,Newcastle Utd,29-001,1994,19.3,902,16,98,292,527,88,902,57,20,35.1,28,49.1,565,3804,1615,54,27,19,31,18,630,177
17,Julián Álvarez,ar  ARG,"FW,MF",Manchester City,23-011,2000,6.4,262,3,13,105,146,36,262,11,6,54.5,4,36.4,150,885,417,18,7,9,10,9,199,45
18,Daniel Amartey,gh  GHA,DF,Leicester City,28-052,1994,15.2,1091,159,564,489,40,5,1091,5,2,40.0,2,40.0,664,3210,1945,18,10,0,7,4,792,5
19,Joachim Andersen,dk  DEN,DF,Crystal Palace,26-256,1996,16.4,1249,234,721,487,45,20,1249,6,3,50.0,3,50.0,713,3498,1824,4,4,2,6,2,812,5
20,Elliot Anderson,sct  SCO,"FW,MF",Newcastle Utd,20-097,2002,1.3,100,2,17,33,53,19,100,13,2,15.4,7,53.8,63,459,256,14,5,7,3,3,65,12
21,Jaidon Anthony,eng  ENG,"MF,FW",Bournemouth,23-072,1999,8.0,423,11,74,157,197,22,423,23,7,30.4,16,69.6,238,1348,567,18,17,8,14,9,272,41
22,Michail Antonio,jm  JAM,FW,West Ham,32-320,1990,10.9,317,8,25,139,158,46,317,29,10,34.5,15,51.7,202,1255,583,23,15,11,40,21,260,63
23,Antony,br  BRA,FW,Manchester Utd,22-352,2000,10.1,531,5,81,177,287,35,531,31,10,32.3,15,48.4,382,2475,1264,48,35,14,15,7,404,80
24,Cameron Archer,eng  ENG,"FW,MF",Aston Villa,21-205,2001,0.5,15,0,1,8,7,3,15,1,1,100.0,0,0.0,15,114,72,3,1,1,2,3,13,3
25,Alphonse Areola,fr  FRA,GK,West Ham,29-349,1993,1.2,43,41,43,0,0,0,43,0,0,,0,,26,92,43,0,0,0,0,0,27,0
26,Joe Aribo,ng  NGA,"MF,FW",Southampton,26-205,1996,12.0,511,11,77,238,208,45,511,38,16,42.1,21,55.3,269,1176,586,17,10,7,31,18,320,57
27,Adam Armstrong,eng  ENG,FW,Southampton,26-001,1997,11.4,367,7,54,140,182,36,367,30,8,26.7,18,60.0,208,1921,825,33,20,9,16,15,221,53
28,Stuart Armstrong,sct  SCO,"MF,FW",Southampton,30-318,1992,8.5,456,9,79,185,199,20,456,20,9,45.0,9,45.0,290,2050,1056,34,26,3,15,14,327,49
29,Kepa Arrizabalaga,es  ESP,GK,Chelsea,28-131,1994,12.5,512,400,507,5,0,0,512,0,0,,0,,296,1425,856,0,0,0,1,0,270,0
30,Pierre-Emerick Aubameyang,ga  GAB,FW,Chelsea,33-238,1989,4.8,124,6,15,54,58,16,124,5,3,60.0,2,40.0,76,475,229,7,6,3,9,4,91,22
31,Ludwig Augustinsson,se  SWE,DF,Aston Villa,28-296,1994,0.9,51,3,19,15,17,2,51,1,0,0.0,1,100.0,29,180,27,0,2,0,0,0,21,3
32,Serge Aurier,ci  CIV,DF,Nott'ham Forest,30-049,1992,11.0,712,59,271,277,175,8,712,15,5,33.3,5,33.3,308,1538,915,28,20,0,16,14,322,34
33,Taiwo Awoniyi,ng  NGA,FW,Nott'ham Forest,25-183,1997,8.1,238,10,34,96,113,28,238,17,5,29.4,9,52.9,141,791,355,11,9,5,38,15,154,33
34,André Ayew,gh  GHA,FW,Nott'ham Forest,33-056,1989,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
35,Jordan Ayew,gh  GHA,"FW,MF",Crystal Palace,31-153,1991,15.6,682,32,109,323,270,37,682,69,26,37.7,29,42.0,393,2400,1053,40,21,13,52,42,473,83
36,Luke Ayling,eng  ENG,DF,Leeds United,31-170,1991,7.8,490,22,161,210,127,17,490,16,7,43.8,8,50.0,202,970,460,12,3,2,11,4,230,37
37,César Azpilicueta,es  ESP,DF,Chelsea,33-167,1989,11.4,896,64,317,366,218,14,896,9,5,55.6,4,44.4,425,1824,1071,15,12,0,7,3,541,55
38,Benoît Badiashile,fr  FRA,DF,Chelsea,21-322,2001,3.0,309,47,176,130,6,3,309,1,0,0.0,1,100.0,204,1051,696,4,0,0,0,1,229,1
39,Leon Bailey,jm  JAM,"FW,MF",Aston Villa,25-186,1997,14.6,562,8,58,197,320,56,562,73,27,37.0,40,54.8,354,2772,1117,54,24,25,34,39,389,122
40,Stefan Bajcetic,es  ESP,MF,Liverpool,18-112,2004,2.2,132,3,22,81,30,2,132,8,3,37.5,2,25.0,68,351,167,3,1,0,2,2,81,0
41,Patrick Bamford,eng  ENG,FW,Leeds United,29-159,1993,6.6,207,8,16,84,108,41,206,8,2,25.0,5,62.5,93,380,157,5,5,6,23,7,135,42
42,Shandon Baptiste,gd  GRN,MF,Brentford,24-309,1998,4.8,231,7,52,119,63,4,231,10,4,40.0,2,20.0,167,787,383,8,10,2,10,5,157,18
43,Harvey Barnes,eng  ENG,"MF,FW",Leicester City,25-064,1997,17.8,679,7,72,250,366,77,679,53,11,20.8,34,64.2,435,2973,1537,54,43,28,54,28,548,161
