,Player,PlayerId,Situation,ShotType,X,Y,xG,Result,Season,MatchId
0,Ousmane Dembélé,3226,OpenPlay,RightFoot,114.83999633789062,35.03999938964844,0.5836790204048157,Goal,2015,2007
1,Ousmane Dembélé,3226,DirectFreekick,RightFoot,86.16000366210938,32.23999938964843,0.0437689013779163,BlockedShot,2015,2028
2,Ousmane Dembélé,3226,OpenPlay,LeftFoot,116.63999633789062,32.0,0.3828519880771637,MissedShots,2015,2028
3,Ousmane Dembélé,3226,OpenPlay,LeftFoot,103.91999816894531,37.76000061035156,0.1600500047206878,SavedShot,2015,2038
4,Ousmane Dembélé,3226,OpenPlay,LeftFoot,110.63999633789064,26.63999938964843,0.0865954980254173,SavedShot,2015,2039
5,Ousmane Dembélé,3226,OpenPlay,RightFoot,107.63999633789062,57.759997558593746,0.0399097017943859,BlockedShot,2015,2039
6,Ousmane Dembélé,3226,OpenPlay,LeftFoot,107.16000366210938,42.720001220703125,0.1130459979176521,MissedShots,2015,2039
7,Ousmane Dembélé,3226,OpenPlay,RightFoot,93.1199981689453,53.6,0.023048099130392,BlockedShot,2015,2052
8,Ousmane Dembélé,3226,OpenPlay,LeftFoot,104.4,60.15999755859375,0.0283857993781566,MissedShots,2015,2052
9,Ousmane Dembélé,3226,OpenPlay,LeftFoot,107.63999633789062,51.6,0.1611720025539398,SavedShot,2015,2052
10,Ousmane Dembélé,3226,OpenPlay,LeftFoot,104.16000366210938,50.07999877929688,0.33297199010849,Goal,2015,2052
11,Ousmane Dembélé,3226,OpenPlay,LeftFoot,108.0,24.4,0.0780339017510414,Goal,2015,2063
12,Ousmane Dembélé,3226,OpenPlay,RightFoot,105.96000366210937,25.67999877929687,0.0600197985768318,MissedShots,2015,2063
13,Ousmane Dembélé,3226,OpenPlay,LeftFoot,106.8,32.23999938964843,0.3618479967117309,ShotOnPost,2015,2063
14,Ousmane Dembélé,3226,OpenPlay,LeftFoot,99.11999816894532,25.920001220703128,0.0341334007680416,MissedShots,2015,2063
15,Ousmane Dembélé,3226,OpenPlay,LeftFoot,87.83999633789062,44.63999938964844,0.0174059998244047,MissedShots,2015,2063
16,Ousmane Dembélé,3226,OpenPlay,LeftFoot,89.4,30.87999877929687,0.0158606003969907,SavedShot,2015,2074
17,Ousmane Dembélé,3226,OpenPlay,RightFoot,114.48000183105471,31.520001220703126,0.1385329961776733,Goal,2015,2074
18,Ousmane Dembélé,3226,OpenPlay,LeftFoot,98.16000366210938,26.63999938964843,0.0332108996808528,BlockedShot,2015,2074
19,Ousmane Dembélé,3226,OpenPlay,LeftFoot,102.36000366210938,36.47999877929687,0.0918657034635543,MissedShots,2015,2074
20,Ousmane Dembélé,3226,OpenPlay,RightFoot,111.36000366210938,23.119999694824216,0.0533182993531227,SavedShot,2015,2074
21,Ousmane Dembélé,3226,OpenPlay,Head,108.48000183105468,37.76000061035156,0.2729550004005432,SavedShot,2015,2079
22,Ousmane Dembélé,3226,FromCorner,Head,111.23999633789064,48.4,0.0388824008405208,MissedShots,2015,2079
23,Ousmane Dembélé,3226,OpenPlay,LeftFoot,111.36000366210938,55.120001220703124,0.0409955009818077,BlockedShot,2015,2097
24,Ousmane Dembélé,3226,Penalty,RightFoot,106.2,40.0,0.7600950002670288,Goal,2015,2116
25,Ousmane Dembélé,3226,OpenPlay,RightFoot,105.71999816894531,51.679998779296874,0.0652906969189643,MissedShots,2015,2119
26,Ousmane Dembélé,3226,OpenPlay,LeftFoot,90.71999816894531,29.279998779296875,0.0152115002274513,ShotOnPost,2015,2119
27,Ousmane Dembélé,3226,OpenPlay,LeftFoot,104.16000366210938,50.63999938964844,0.0813091993331909,MissedShots,2015,2136
28,Ousmane Dembélé,3226,OpenPlay,RightFoot,114.36000366210936,22.16000061035156,0.0403383001685142,SavedShot,2015,2141
29,Ousmane Dembélé,3226,OpenPlay,RightFoot,96.11999816894532,42.720001220703125,0.0453228987753391,SavedShot,2015,2141
30,Ousmane Dembélé,3226,OpenPlay,LeftFoot,95.76000366210938,53.279998779296875,0.0290610007941722,MissedShots,2015,2141
31,Ousmane Dembélé,3226,SetPiece,RightFoot,97.56000366210937,48.320001220703126,0.0351145006716251,BlockedShot,2015,2141
