,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
35,Maurizio Pugliesi,it  ITA,GK,Empoli,38,1976,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,,,,,
36,Boris Radunović,rs  SRB,GK,Atalanta,19,1996,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,,,,,
37,Rafael,br  BRA,GK,Hellas Verona,33,1982,12,12,1010,11.2,18,1.60,46,28,60.9,0,5,6,1,8.3,,,,,
38,Pepe Reina,es  ESP,GK,Napoli,32,1982,37,37,3330,37.0,29,0.78,82,53,64.6,25,7,5,15,40.5,,,,,
39,Andrea Seculin,it  ITA,GK,Chievo,25,1990,3,3,270,3.0,2,0.67,15,13,86.7,1,1,1,0,0.0,,,,,
40,Łukasz Skorupski,pl  POL,GK,Empoli,24,1991,31,31,2790,31.0,43,1.39,127,84,66.1,9,9,13,9,29.0,,,,,
41,Stefano Sorrentino,it  ITA,GK,Palermo,36,1979,35,35,3096,34.4,58,1.69,178,120,67.4,10,8,16,9,25.7,,,,,
42,Marco Sportiello,it  ITA,GK,Atalanta,23,1992,36,36,3240,36.0,43,1.19,144,101,70.1,10,12,14,11,30.6,,,,,
43,Wojciech Szczęsny,pl  POL,GK,Roma,25,1990,34,34,3060,34.0,34,1.00,130,96,73.8,22,10,2,8,23.5,,,,,
44,Ciprian Tătărușanu,ro  ROU,GK,Fiorentina,29,1986,37,37,3310,36.8,39,1.06,104,65,62.5,17,10,10,14,37.8,,,,,
45,Emiliano Viviano,it  ITA,GK,Sampdoria,29,1985,37,37,3330,37.0,56,1.51,194,138,71.1,10,10,17,7,18.9,,,,,
46,Massimo Zappino,br  BRA,GK,Frosinone,34,1981,4,3,331,3.7,14,3.81,33,19,57.6,0,0,4,0,0.0,,,,,
