,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes
0,Ignazio Abate,it  ITA,DF,Milan,28,1986,27,27,2248,25.0,1,1,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08
1,Christian Abbiati,it  ITA,GK,Milan,38,1977,1,0,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
2,Francesco Acerbi,it  ITA,DF,Sassuolo,27,1988,36,36,3240,36.0,4,0,4,0,0,3,0,0.11,0.00,0.11,0.11,0.11
3,Robert Acquafresca,it  ITA,FW,Bologna,27,1987,6,2,208,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
4,Afriyie Acquah,gh  GHA,MF,Torino,23,1992,29,22,1888,21.0,2,3,2,0,0,9,0,0.10,0.14,0.24,0.10,0.24
5,Claud Adjapong,it  ITA,"DF,MF",Sassuolo,17,1998,2,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
6,Ali Adnan Kadhim,iq  IRQ,"MF,DF",Udinese,21,1993,28,21,1904,21.2,1,1,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09
7,Luiz Adriano,br  BRA,FW,Milan,28,1987,26,12,1194,13.3,4,0,3,1,1,4,0,0.30,0.00,0.30,0.23,0.23
8,Rodrigo Aguirre,uy  URU,FW,Udinese,20,1994,10,3,340,3.8,0,1,0,0,0,1,0,0.00,0.26,0.26,0.00,0.26
9,Emmanuel Agyemang-Badu,gh  GHA,MF,Udinese,24,1990,33,30,2661,29.6,4,1,4,0,0,6,0,0.14,0.03,0.17,0.14,0.17
10,Arlind Ajeti,al  ALB,DF,Frosinone,21,1993,16,15,1218,13.5,1,0,1,0,0,5,1,0.07,0.00,0.07,0.07,0.07
11,Fabrizio Alastra,it  ITA,GK,Palermo,17,1997,2,1,144,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
12,Michelangelo Albertazzi,it  ITA,DF,Hellas Verona,24,1991,10,9,702,7.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
13,Raúl Albiol,es  ESP,DF,Napoli,29,1985,36,36,3240,36.0,1,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06
14,Alex,br  BRA,DF,Milan,33,1982,25,24,2091,23.2,3,1,3,0,0,5,0,0.13,0.04,0.17,0.13,0.17
15,Allan,br  BRA,MF,Napoli,24,1991,35,32,2818,31.3,3,5,3,0,0,5,0,0.10,0.16,0.26,0.10,0.26
16,Marcos Alonso,es  ESP,"MF,DF",Fiorentina,24,1990,31,26,2347,26.1,3,4,3,0,0,8,0,0.12,0.15,0.27,0.12,0.27
