,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,PK_Performance,PKatt_Performance
22,Luca Antei,it  ITA,DF,Sassuolo,23,1992,3.8,0,,0,,,0.00,,,,0,0
23,Luca Antonelli,it  ITA,DF,Milan,28,1987,26.0,3,,5,,,0.19,,0.60,,0,0
24,Siniša Anđelković,si  SVN,DF,Palermo,29,1986,21.2,0,,0,,,0.00,,,,0,0
25,Pablo Armero,co  COL,MF,Udinese,28,1986,4.6,1,,1,,,0.22,,1.00,,0,0
26,Kwadwo Asamoah,gh  GHA,MF,Juventus,26,1988,6.3,0,,3,,,0.47,,0.00,,0,0
27,Davide Astori,it  ITA,DF,Fiorentina,28,1987,32.2,0,,2,,,0.06,,0.00,,0,0
28,Danilo Avelar,br  BRA,MF,Torino,26,1989,3.8,0,,0,,,0.00,,,,0,0
29,Khouma Babacar,sn  SEN,FW,Fiorentina,22,1993,8.9,5,,11,,,1.23,,0.36,,1,1
30,Carlos Bacca,co  COL,FW,Milan,28,1986,35.1,18,,37,,,1.06,,0.43,,2,2
31,Milan Badelj,hr  CRO,MF,Fiorentina,26,1989,23.7,1,,4,,,0.17,,0.25,,0,0
32,Keita Baldé,sn  SEN,FW,Lazio,20,1995,19.7,4,,27,,,1.37,,0.15,,0,0
33,Norbert Balogh,hu  HUN,FW,Palermo,19,1996,0.6,0,,1,,,1.64,,0.00,,0,0
34,Mario Balotelli,it  ITA,FW,Milan,24,1990,9.3,1,,12,,,1.29,,0.08,,0,1
35,Federico Barba,it  ITA,DF,Empoli,21,1993,9.9,0,,0,,,0.00,,,,0,0
36,Francesco Bardi,it  ITA,GK,Frosinone,23,1992,1.3,0,,0,,,0.00,,,,0,0
37,Édgar Barreto,py  PAR,MF,Sampdoria,31,1984,24.0,0,,2,,,0.08,,0.00,,0,0
38,Andrea Barzagli,it  ITA,DF,Juventus,34,1981,30.4,1,,1,,,0.03,,1.00,,0,0
39,Daniele Baselli,it  ITA,MF,Torino,23,1992,25.2,4,,14,,,0.56,,0.29,,0,0
40,Davide Bassi,it  ITA,GK,Atalanta,30,1985,1.0,0,,0,,,0.00,,,,0,0
41,Dušan Basta,rs  SRB,DF,Lazio,30,1984,20.2,0,,1,,,0.05,,0.00,,0,0
42,Vid Belec,si  SVN,GK,Carpi,25,1990,30.0,0,,0,,,0.00,,,,0,0
43,Gianpaolo Bellini,it  ITA,DF,Atalanta,35,1980,10.5,1,,1,,,0.10,,0.00,,1,1
44,Andrea Belotti,it  ITA,FW,Torino,21,1993,28.8,12,,29,,,1.01,,0.28,,4,4
45,Marco Benassi,it  ITA,MF,Torino,20,1994,21.2,3,,16,,,0.75,,0.19,,0,0
46,Accursio Bentivegna,it  ITA,FW,Palermo,19,1996,0.1,0,,0,,,0.00,,,,0,0
47,Francesco Benussi,it  ITA,GK,Carpi,33,1981,3.3,0,,0,,,0.00,,,,0,0
48,Domenico Berardi,it  ITA,FW,Sassuolo,20,1994,24.1,7,,31,,,1.29,,0.13,,3,4
49,Etrit Berisha,al  ALB,GK,Lazio,26,1989,9.7,0,,0,,,0.00,,,,0,0
50,Federico Bernardeschi,it  ITA,MF,Fiorentina,21,1994,25.2,2,,12,,,0.48,,0.17,,0,0
51,Andrea Bertolacci,it  ITA,MF,Milan,24,1991,20.1,1,,4,,,0.20,,0.25,,0,0
52,Davide Bertoncini,it  ITA,DF,Frosinone,24,1991,4.1,0,,0,,,0.00,,,,0,0
53,Jonathan Biabiany,fr  FRA,"MF,FW",Inter,27,1988,9.7,1,,8,,,0.83,,0.13,,0,0
54,Matteo Bianchetti,it  ITA,DF,Hellas Verona,22,1993,17.6,1,,4,,,0.23,,0.25,,0,0
55,Raffaele Bianco,it  ITA,MF,Carpi,27,1987,20.6,1,,2,,,0.10,,0.50,,0,0
