,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,PK_Performance,PKatt_Performance
229,Lorenzo Insigne,it  ITA,"FW,MF",Napoli,24,1991,28.9,12,,41,,,1.42,,0.24,,2,2
230,Artur Ioniță,md  MDA,"MF,FW",Hellas Verona,24,1990,26.4,4,,15,,,0.57,,0.27,,0,0
231,Mauricio Isla,cl  CHI,"DF,MF",Juventus,27,1988,0.1,0,,0,,,0.00,,,,0,0
232,Juan Iturbe,py  PAR,FW,Roma,22,1993,4.5,1,,2,,,0.44,,0.50,,0,0
233,Manuel Iturra,cl  CHI,MF,Udinese,31,1984,11.4,0,,1,,,0.09,,0.00,,0,0
234,Dávid Ivan,sk  SVK,MF,Sampdoria,20,1995,12.2,1,,1,,,0.08,,1.00,,0,0
235,Armando Izzo,it  ITA,DF,Genoa,23,1992,30.1,0,,4,,,0.13,,0.00,,0,0
236,Mato Jajalo,ba  BIH,MF,Palermo,27,1988,22.6,0,,3,,,0.13,,0.00,,0,0
237,Boško Janković,rs  SRB,"FW,MF",Hellas Verona,31,1984,9.9,1,,3,,,0.30,,0.33,,0,0
238,Pontus Jansson,se  SWE,DF,Torino,24,1991,6.8,1,,3,,,0.44,,0.33,,0,0
239,Juan Jesus,br  BRA,DF,Inter,24,1991,15.7,0,,1,,,0.06,,0.00,,0,0
240,Nigel de Jong,nl  NED,MF,Milan,30,1984,4.1,0,,0,,,0.00,,,,0,0
241,Jorginho,it  ITA,MF,Napoli,23,1991,32.4,0,,2,,,0.06,,0.00,,0,0
242,Stevan Jovetić,me  MNE,"FW,MF",Inter,25,1989,16.8,6,,29,,,1.72,,0.17,,1,1
243,Juanito,ar  ARG,FW,Hellas Verona,30,1985,20.5,1,,12,,,0.59,,0.08,,0,0
244,Omar El Kaddouri,ma  MAR,MF,Napoli,24,1990,2.8,1,,5,,,1.79,,0.20,,0,0
245,Nikola Kalinić,hr  CRO,FW,Fiorentina,27,1988,28.6,12,,30,,,1.05,,0.40,,0,1
246,Abdelhamid El Kaoutari,ma  MAR,DF,Palermo,25,1990,7.0,1,,1,,,0.14,,1.00,,0,0
247,Orestis Karnezis,gr  GRE,GK,Udinese,30,1985,38.0,0,,0,,,0.00,,,,0,0
248,Seydou Keita,ml  MLI,MF,Roma,35,1980,15.2,1,,1,,,0.07,,1.00,,0,0
249,Sami Khedira,de  GER,MF,Juventus,28,1987,17.0,5,,10,,,0.59,,0.50,,0,0
250,Ricardo Kishna,nl  NED,"MF,FW",Lazio,20,1995,6.2,2,,2,,,0.32,,1.00,,0,0
251,Miroslav Klose,de  GER,FW,Lazio,37,1978,15.1,7,,11,,,0.73,,0.55,,1,1
252,Geoffrey Kondogbia,cf  CTA,MF,Inter,22,1993,22.1,1,,10,,,0.45,,0.10,,0,0
253,Abdoulay Konko,fr  FRA,DF,Lazio,31,1984,17.0,0,,1,,,0.06,,0.00,,0,0
254,Kalidou Koulibaly,sn  SEN,DF,Napoli,24,1991,32.1,0,,2,,,0.06,,0.00,,0,0
255,Emil Krafth,se  SWE,DF,Bologna,20,1994,1.6,0,,0,,,0.00,,,,0,0
256,Oliver Kragl,de  GER,"FW,MF",Frosinone,25,1990,10.3,1,,6,,,0.58,,0.17,,0,0
257,Nenad Krstičić,rs  SRB,MF,Sampdoria,25,1990,6.0,0,,1,,,0.17,,0.00,,0,0
258,Rade Krunić,ba  BIH,MF,Empoli,21,1993,5.5,1,,3,,,0.54,,0.33,,0,0
259,Jasmin Kurtić,si  SVN,MF,Atalanta,26,1989,26.7,2,,9,,,0.34,,0.22,,0,0
260,Zdravko Kuzmanović,rs  SRB,MF,Udinese,27,1987,12.6,0,,2,,,0.16,,0.00,,0,0
261,Antonino La Gumina,it  ITA,FW,Palermo,19,1996,0.7,0,,1,,,1.34,,0.00,,0,0
262,Eugenio Lamanna,it  ITA,GK,Genoa,25,1989,13.0,0,,0,,,0.00,,,,0,0
263,Danilo Larangeira,br  BRA,DF,Udinese,31,1984,32.7,0,,5,,,0.15,,0.00,,0,0
264,Karim Laribi,tn  TUN,MF,Sassuolo,24,1991,5.4,0,,3,,,0.56,,0.00,,0,0
265,Kevin Lasagna,it  ITA,"FW,MF",Carpi,22,1992,16.7,5,,16,,,0.96,,0.31,,0,0
266,Vincent Laurini,fr  FRA,DF,Empoli,26,1989,21.7,1,,2,,,0.09,,0.50,,0,0
267,Diego Laxalt,uy  URU,"MF,FW",Genoa,22,1993,34.1,3,,10,,,0.29,,0.30,,0,0
268,Achraf Lazaar,ma  MAR,"MF,DF",Palermo,23,1992,25.5,1,,8,,,0.31,,0.13,,0,0
269,Darko Lazović,rs  SRB,FW,Genoa,24,1990,7.2,0,,3,,,0.42,,0.00,,0,0
270,Andrea Lazzari,it  ITA,MF,Carpi,30,1984,3.8,1,,4,,,1.04,,0.25,,0,1
271,Nicola Leali,it  ITA,GK,Frosinone,22,1993,33.0,0,,0,,,0.00,,,,0,0
272,Mario Lemina,ga  GAB,MF,Juventus,21,1993,8.1,2,,4,,,0.49,,0.25,,1,0
273,Gaetano Letizia,it  ITA,"DF,MF",Carpi,25,1990,32.1,1,,3,,,0.09,,0.33,,0,0
274,Luca Lezzerini,it  ITA,GK,Fiorentina,20,1995,1.2,0,,0,,,0.00,,,,0,0
275,Stephan Lichtsteiner,ch  SUI,"MF,DF",Juventus,31,1984,20.2,0,,6,,,0.30,,0.00,,0,0
276,Marko Livaja,hr  CRO,FW,Empoli,21,1993,6.8,1,,2,,,0.30,,0.50,,0,0
277,Fernando Llorente,es  ESP,FW,Juventus,30,1985,0.1,0,,0,,,0.00,,,,0,0
278,Manuel Locatelli,it  ITA,MF,Milan,17,1998,1.0,0,,0,,,0.00,,,,0,0
279,Francesco Lodi,it  ITA,MF,Udinese,31,1984,20.8,1,,7,,,0.34,,0.14,,0,0
280,Lorenzo Lollo,it  ITA,"MF,FW",Carpi,24,1990,23.3,3,,11,,,0.47,,0.27,,0,0
281,Alessandro Longhi,it  ITA,DF,Sassuolo,26,1989,3.4,0,,0,,,0.00,,,,0,0
282,Samuele Longo,it  ITA,FW,Frosinone,23,1992,3.7,0,,3,,,0.81,,0.00,,0,0
283,David López,es  ESP,MF,Napoli,25,1989,8.3,1,,3,,,0.36,,0.33,,0,0
284,Diego López,es  ESP,GK,Milan,33,1981,8.0,0,,0,,,0.00,,,,0,0
285,Maxi López,ar  ARG,FW,Torino,31,1984,12.1,4,,11,,,0.91,,0.18,,2,3
286,Senad Lulić,ba  BIH,"DF,MF",Lazio,29,1986,26.1,3,,10,,,0.38,,0.30,,0,0
287,Paul-Jose M'Poku,cd  COD,"FW,MF",Chievo,23,1992,8.5,0,,5,,,0.59,,0.00,,0,0
288,Massimo Maccarone,it  ITA,FW,Empoli,35,1979,30.5,13,,36,,,1.18,,0.33,,1,1
289,Christian Maggio,it  ITA,DF,Napoli,33,1982,4.4,0,,0,,,0.00,,,,0,0
290,Francesco Magnanelli,it  ITA,MF,Sassuolo,30,1984,34.0,1,,4,,,0.12,,0.25,,0,0
291,Raffaele Maiello,it  ITA,MF,Empoli,24,1991,5.3,0,,0,,,0.00,,,,0,0
292,Domenico Maietta,it  ITA,DF,Bologna,32,1982,17.3,0,,1,,,0.06,,0.00,,0,0
293,Nikola Maksimović,rs  SRB,DF,Torino,23,1991,16.0,0,,1,,,0.06,,0.00,,0,0
294,Rey Manaj,al  ALB,FW,Inter,18,1997,0.4,0,,0,,,0.00,,,,0,0
295,Mario Mandžukić,hr  CRO,FW,Juventus,29,1986,22.7,10,,16,,,0.71,,0.63,,0,0
296,Kostas Manolas,gr  GRE,DF,Roma,24,1991,34.7,2,,3,,,0.09,,0.67,,0,0
297,Giovanni Marchese,it  ITA,DF,Genoa,30,1984,7.4,0,,0,,,0.00,,,,0,0
298,Federico Marchetti,it  ITA,GK,Lazio,32,1983,28.3,0,,0,,,0.00,,,,0,0
299,Claudio Marchisio,it  ITA,MF,Juventus,29,1986,21.4,0,,6,,,0.28,,0.00,,0,0
300,Enzo Maresca,it  ITA,MF,Palermo,35,1980,11.0,1,,3,,,0.27,,0.33,,0,0
301,Rafael Márquez,mx  MEX,DF,Hellas Verona,36,1979,8.4,0,,0,,,0.00,,,,0,0
302,Marquinho,br  BRA,MF,Udinese,29,1986,5.0,0,,2,,,0.40,,0.00,,0,0
303,Luca Martinelli,it  ITA,DF,Empoli,26,1988,1.0,0,,1,,,1.00,,0.00,,0,0
304,Josef Martínez,ve  VEN,FW,Torino,22,1993,10.3,3,,11,,,1.07,,0.27,,0,0
305,Raphael Martinho,br  BRA,MF,Carpi,27,1988,7.5,0,,2,,,0.27,,0.00,,0,0
306,Andrea Masiello,it  ITA,DF,Atalanta,29,1986,26.6,0,,1,,,0.04,,0.00,,0,0
307,Adam Masina,ma  MAR,DF,Bologna,21,1994,29.1,2,,3,,,0.10,,0.67,,0,0
308,Tim Matavž,si  SVN,FW,Genoa,26,1989,5.2,0,,2,,,0.39,,0.00,,0,0
309,Alessandro Matri,it  ITA,"FW,MF",Lazio,30,1984,9.1,4,,6,,,0.66,,0.67,,0,0
310,Federico Mattiello,it  ITA,DF,Chievo,20,1995,1.0,0,,0,,,0.00,,,,0,0
311,Matuzalém,br  BRA,MF,Hellas Verona,35,1980,2.3,0,,0,,,0.00,,,,0,0
312,José Mauri,it  ITA,MF,Milan,19,1996,2.7,0,,1,,,0.37,,0.00,,0,0
313,Stefano Mauri,it  ITA,"MF,FW",Lazio,35,1980,5.6,1,,1,,,0.18,,1.00,,0,0
314,Maurício,br  BRA,DF,Lazio,26,1988,21.4,0,,0,,,0.00,,,,0,0
315,Jerry Mbakogu,ng  NGA,FW,Carpi,22,1992,18.8,2,,12,,,0.64,,0.08,,1,3
316,Ibrahima Mbaye,sn  SEN,DF,Bologna,20,1994,10.9,0,,1,,,0.09,,0.00,,0,0
317,Levan Mchedlidze,ge  GEO,FW,Empoli,25,1990,3.6,0,,2,,,0.56,,0.00,,0,0
318,Gary Medel,cl  CHI,"MF,DF",Inter,27,1987,26.8,1,,2,,,0.07,,0.50,,0,0
319,Riccardo Meggiorini,it  ITA,FW,Chievo,29,1985,18.2,5,,13,,,0.71,,0.38,,0,0
320,Felipe Melo,br  BRA,MF,Inter,32,1983,19.7,1,,6,,,0.30,,0.17,,0,0
321,Jérémy Ménez,fr  FRA,FW,Milan,28,1987,3.3,2,,5,,,1.52,,0.20,,1,1
322,Alexander Merkel,kz  KAZ,MF,Udinese,23,1992,0.6,0,,0,,,0.00,,,,0,0
323,Dries Mertens,be  BEL,FW,Napoli,28,1987,12.3,5,,18,,,1.46,,0.28,,0,0
324,Djamel Mesbah,dz  ALG,DF,Sampdoria,30,1984,6.5,0,,0,,,0.00,,,,0,0
325,Philippe Mexès,fr  FRA,DF,Milan,33,1982,4.5,1,,4,,,0.90,,0.25,,0,0
326,Giulio Migliaccio,it  ITA,MF,Atalanta,34,1981,6.0,0,,1,,,0.17,,0.00,,0,0
327,Sergej Milinković-Savić,rs  SRB,MF,Lazio,20,1995,18.2,1,,12,,,0.66,,0.08,,0,0
328,Miranda,br  BRA,DF,Inter,30,1984,31.0,1,,5,,,0.16,,0.20,,0,0
329,Antonio Mirante,it  ITA,GK,Bologna,32,1983,33.0,0,,0,,,0.00,,,,0,0
330,Simone Missiroli,it  ITA,MF,Sassuolo,29,1986,20.4,2,,4,,,0.20,,0.50,,0,0
331,Niklas Moisander,fi  FIN,DF,Sampdoria,29,1985,19.8,0,,1,,,0.05,,0.00,,0,0
332,Cristian Molinaro,it  ITA,MF,Torino,32,1983,21.8,1,,1,,,0.05,,1.00,,0,0
333,Gaetano Monachello,it  ITA,FW,Atalanta,21,1994,4.0,0,,4,,,1.00,,0.00,,0,0
334,Riccardo Montolivo,it  ITA,MF,Milan,30,1985,29.8,0,,5,,,0.17,,0.00,,0,0
335,Martín Montoya,es  ESP,DF,Inter,24,1991,2.8,0,,0,,,0.00,,,,0,0
336,Maximiliano Moralez,ar  ARG,FW,Atalanta,28,1987,15.1,1,,10,,,0.66,,0.10,,0,0
337,Vangelis Moras,gr  GRE,DF,Hellas Verona,33,1981,30.6,1,,2,,,0.07,,0.50,,0,0
338,Álvaro Morata,es  ESP,FW,Juventus,22,1992,16.0,7,,20,,,1.25,,0.30,,1,1
339,Emiliano Moretti,it  ITA,DF,Torino,34,1981,35.0,1,,6,,,0.17,,0.17,,0,0
340,Michel Morganella,ch  SUI,"MF,DF",Palermo,26,1989,11.4,0,,3,,,0.26,,0.00,,0,0
341,Archimede Morleo,it  ITA,DF,Bologna,31,1983,4.4,0,,1,,,0.23,,0.00,,0,0
342,Ravel Morrison,jm  JAM,MF,Lazio,22,1993,0.7,0,,0,,,0.00,,,,0,0
343,Anthony Mounier,fr  FRA,"FW,MF",Bologna,27,1987,21.4,4,,8,,,0.37,,0.50,,0,0
344,Ezequiel Muñoz,ar  ARG,DF,Genoa,24,1990,15.6,0,,3,,,0.19,,0.00,,0,0
345,Luis Muriel,co  COL,FW,Sampdoria,24,1991,18.8,6,,20,,,1.06,,0.30,,0,0
346,Jeison Murillo,co  COL,DF,Inter,23,1992,31.6,2,,5,,,0.16,,0.40,,0,0
347,Yuto Nagatomo,jp  JPN,DF,Inter,28,1986,18.3,0,,1,,,0.05,,0.00,,0,0
348,Radja Nainggolan,be  BEL,MF,Roma,27,1988,32.6,6,,19,,,0.58,,0.32,,0,0
349,Neto,br  BRA,GK,Juventus,26,1989,3.0,0,,0,,,0.00,,,,0,0
350,M'Baye Niang,sn  SEN,FW,Milan,20,1994,12.7,5,,15,,,1.18,,0.20,,2,2
351,Nikola Ninković,rs  SRB,"FW,MF",Chievo,20,1994,0.1,0,,0,,,0.00,,,,0,0
352,Antonio Nocerino,it  ITA,MF,Milan,30,1985,0.7,0,,0,,,0.00,,,,0,0
353,Olivier Ntcham,fr  FRA,"MF,FW",Genoa,19,1996,11.1,0,,3,,,0.27,,0.00,,0,0
354,Joel Obi,ng  NGA,MF,Torino,24,1991,5.4,1,,2,,,0.37,,0.50,,0,0
355,Marios Oikonomou,gr  GRE,DF,Bologna,22,1992,18.0,0,,0,,,0.00,,,,0,0
356,Wallace Oliveira,br  BRA,MF,Carpi,21,1994,1.8,0,,1,,,0.56,,0.00,,0,0
357,Ogenyi Onazi,ng  NGA,MF,Lazio,22,1992,13.1,1,,2,,,0.15,,0.50,,0,0
358,Juan Pablo Carrizo,ar  ARG,GK,Inter,31,1984,1.8,0,,0,,,0.00,,,,0,0
359,Daniele Padelli,it  ITA,GK,Torino,29,1985,35.0,0,,0,,,0.00,,,,0,0
360,Simone Padoin,it  ITA,"MF,DF",Juventus,31,1984,6.4,1,,2,,,0.31,,0.50,,0,0
361,Luca Paganini,it  ITA,"MF,FW",Frosinone,22,1993,20.4,2,,5,,,0.24,,0.40,,0,0
362,Rodrigo Palacio,ar  ARG,"FW,MF",Inter,33,1982,15.6,2,,10,,,0.64,,0.20,,0,0
363,Gabriel Paletta,it  ITA,DF,Atalanta,29,1986,22.4,1,,2,,,0.09,,0.50,,0,0
364,Emerson Palmieri,it  ITA,DF,Roma,20,1994,2.1,1,,2,,,0.96,,0.50,,0,0
365,Angelo Palombo,it  ITA,MF,Sampdoria,33,1981,4.3,0,,0,,,0.00,,,,0,0
366,Alberto Paloschi,it  ITA,FW,Chievo,25,1990,18.5,8,,19,,,1.03,,0.37,,1,3
367,Goran Pandev,mk  MKD,FW,Genoa,32,1983,9.2,0,,7,,,0.76,,0.00,,0,0
368,Giuseppe Panico,it  ITA,FW,Genoa,18,1997,0.1,0,,0,,,0.00,,,,0,0
369,Leandro Paredes,ar  ARG,MF,Empoli,21,1994,27.6,2,,13,,,0.47,,0.15,,0,0
370,Marco Parolo,it  ITA,MF,Lazio,30,1985,28.5,3,,15,,,0.53,,0.20,,0,0
371,Lorenzo Pasciuti,it  ITA,MF,Carpi,25,1989,17.2,2,,2,,,0.12,,1.00,,0,0
372,Manuel Pasqual,it  ITA,"MF,DF",Fiorentina,33,1982,11.5,0,,2,,,0.17,,0.00,,0,0
373,Giovanni Pasquale,it  ITA,MF,Udinese,33,1982,2.6,0,,0,,,0.00,,,,0,0
374,Patric,es  ESP,DF,Lazio,22,1993,6.5,0,,0,,,0.00,,,,0,0
375,Daniel Pavlović,ba  BIH,DF,Frosinone,27,1988,21.4,0,,1,,,0.05,,0.00,,0,0
376,Leonardo Pavoletti,it  ITA,FW,Genoa,26,1988,21.3,14,,29,,,1.36,,0.48,,0,0
377,Giampaolo Pazzini,it  ITA,FW,Hellas Verona,30,1984,21.3,6,,27,,,1.27,,0.11,,3,4
378,Gianluca Pegolo,it  ITA,GK,Sassuolo,34,1981,1.7,0,,0,,,0.00,,,,0,0
379,Alberto Pelagotti,it  ITA,GK,Empoli,25,1989,6.0,0,,0,,,0.00,,,,0,0
380,Lorenzo Pellegrini,it  ITA,MF,Sassuolo,19,1996,12.8,3,,10,,,0.78,,0.30,,0,0
381,Sergio Pellissier,it  ITA,FW,Chievo,36,1979,10.6,5,,9,,,0.85,,0.33,,2,2
382,Federico Peluso,it  ITA,DF,Sassuolo,31,1984,33.7,1,,4,,,0.12,,0.25,,0,0
383,Simone Pepe,it  ITA,"MF,FW",Chievo,31,1983,8.9,3,,5,,,0.56,,0.60,,0,0
384,Pedro Pereira,pt  POR,FW,Sampdoria,31,1984,7.1,0,,1,,,0.14,,0.00,,0,0
385,Bruno Peres,br  BRA,MF,Torino,25,1990,28.8,3,,18,,,0.62,,0.17,,0,0
386,Roberto Pereyra,ar  ARG,"MF,FW",Juventus,24,1991,8.9,0,,2,,,0.22,,0.00,,0,0
387,Stipe Perica,hr  CRO,FW,Udinese,20,1995,5.2,2,,7,,,1.35,,0.29,,0,0
388,Mattia Perin,it  ITA,GK,Genoa,22,1992,25.0,0,,0,,,0.00,,,,0,0
389,Ivan Perišić,hr  CRO,"MF,FW",Inter,26,1989,26.8,7,,21,,,0.78,,0.33,,0,0
390,Giuseppe Pezzella,it  ITA,"DF,MF",Palermo,17,1997,6.6,0,,0,,,0.00,,,,0,0
391,Mauricio Pinilla,cl  CHI,FW,Atalanta,31,1984,14.9,5,,14,,,0.94,,0.36,,0,1
392,Giampiero Pinzi,it  ITA,MF,Chievo,34,1981,11.0,0,,1,,,0.09,,0.00,,0,0
393,Iván Piris,py  PAR,DF,Udinese,26,1989,20.8,0,,1,,,0.05,,0.00,,0,0
394,Eros Pisano,it  ITA,DF,Hellas Verona,28,1987,32.3,5,,7,,,0.22,,0.71,,0,0
395,Alessandro Piu,it  ITA,FW,Empoli,19,1996,2.4,0,,2,,,0.82,,0.00,,0,0
396,Miralem Pjanić,ba  BIH,MF,Roma,25,1990,29.4,10,,28,,,0.95,,0.32,,1,1
397,Paul Pogba,fr  FRA,MF,Juventus,22,1993,33.5,8,,39,,,1.16,,0.18,,1,2
398,Andrea Poli,it  ITA,MF,Milan,25,1989,6.5,0,,0,,,0.00,,,,0,0
399,Fabrizio Poli,it  ITA,"DF,MF",Carpi,26,1989,9.4,0,,0,,,0.00,,,,0,0
400,Matteo Politano,it  ITA,FW,Sassuolo,21,1993,11.6,5,,12,,,1.03,,0.42,,0,0
401,Ronaldo Pompeu,br  BRA,MF,Empoli,25,1990,1.2,0,,1,,,0.84,,0.00,,0,0
402,Andrés Ponce,ve  VEN,FW,Sampdoria,18,1996,0.1,0,,0,,,0.00,,,,0,0
403,Filippo Porcari,it  ITA,MF,Carpi,31,1984,2.0,0,,0,,,0.00,,,,0,0
404,Josip Posavec,hr  CRO,GK,Palermo,19,1996,1.0,0,,0,,,0.00,,,,0,0
405,Sanjin Prcić,ba  BIH,MF,Torino,21,1993,0.3,0,,0,,,0.00,,,,0,0
406,Vasyl Pryima,ua  UKR,DF,Frosinone,24,1991,3.3,0,,0,,,0.00,,,,0,0
407,Manuel Pucciarelli,it  ITA,FW,Empoli,24,1991,33.7,6,,17,,,0.50,,0.35,,0,0
408,Maurizio Pugliesi,it  ITA,GK,Empoli,38,1976,1.0,0,,0,,,0.00,,,,0,0
409,Erick Pulgar,cl  CHI,MF,Bologna,21,1994,7.7,0,,0,,,0.00,,,,0,0
410,Robin Quaison,se  SWE,"FW,MF",Palermo,21,1993,16.8,1,,6,,,0.36,,0.17,,0,0
411,Ivan Radovanović,rs  SRB,MF,Chievo,26,1988,23.1,0,,5,,,0.22,,0.00,,0,0
412,Ștefan Radu,ro  ROU,DF,Lazio,28,1986,12.1,0,,0,,,0.00,,,,0,0
413,Boris Radunović,rs  SRB,GK,Atalanta,19,1996,1.0,0,,0,,,0.00,,,,0,0
414,Rafael,br  BRA,GK,Hellas Verona,33,1982,11.2,0,,0,,,0.00,,,,0,0
415,Cristian Raimondi,it  ITA,"DF,MF",Atalanta,34,1981,8.4,0,,1,,,0.12,,0.00,,0,0
416,Pepe Reina,es  ESP,GK,Napoli,32,1982,37.0,0,,0,,,0.00,,,,0,0
417,Nicola Rigoni,it  ITA,MF,Chievo,24,1990,22.1,3,,7,,,0.32,,0.43,,0,0
418,Tomás Rincón,ve  VEN,MF,Genoa,27,1988,32.5,3,,6,,,0.18,,0.50,,0,0
419,Andrea Rispoli,it  ITA,MF,Palermo,26,1988,15.8,0,,2,,,0.13,,0.00,,0,0
420,Luca Rizzo,it  ITA,"FW,MF",Bologna,23,1992,16.1,0,,4,,,0.25,,0.00,,0,0
421,Michele Rocca,it  ITA,MF,Sampdoria,19,1996,0.3,0,,0,,,0.00,,,,0,0
422,Alejandro Rodríguez,es  ESP,FW,Sampdoria,24,1991,0.5,0,,0,,,0.00,,,,0,0
423,Gonzalo Rodríguez,ar  ARG,DF,Fiorentina,31,1984,34.9,4,,5,,,0.14,,0.80,,0,0
424,Alessio Romagnoli,it  ITA,DF,Milan,20,1995,32.7,0,,0,,,0.00,,,,0,0
425,Simone Romagnoli,it  ITA,DF,Carpi,25,1990,29.3,0,,1,,,0.03,,0.00,,0,0
426,Rômulo,it  ITA,"DF,MF",Hellas Verona,28,1987,3.0,0,,3,,,1.02,,0.00,,0,0
427,Facundo Roncaglia,ar  ARG,DF,Fiorentina,28,1987,27.1,1,,1,,,0.04,,1.00,,0,0
428,Marten de Roon,nl  NED,MF,Atalanta,24,1991,34.3,1,,6,,,0.17,,0.17,,0,0
429,Aleandro Rosi,it  ITA,DF,Frosinone,28,1987,24.2,0,,4,,,0.17,,0.00,,0,0
430,Luca Rossettini,it  ITA,DF,Bologna,30,1985,28.2,3,,4,,,0.14,,0.75,,0,0
431,Giuseppe Rossi,it  ITA,"FW,MF",Fiorentina,28,1987,4.1,0,,3,,,0.72,,0.00,,0,0
432,Antonio Rüdiger,de  GER,DF,Roma,22,1993,29.3,2,,6,,,0.20,,0.33,,0,0
433,Daniele Rugani,it  ITA,DF,Juventus,21,1994,13.0,0,,1,,,0.08,,0.00,,0,0
434,Mário Rui,pt  POR,DF,Empoli,24,1991,36.0,0,,4,,,0.11,,0.00,,0,0
435,Adriano Russo,it  ITA,DF,Frosinone,28,1987,9.8,1,,1,,,0.10,,1.00,,0,0
436,Stefano Sabelli,it  ITA,"MF,DF",Carpi,22,1993,6.2,1,,1,,,0.16,,1.00,,0,0
437,Umar Sadiq,ng  NGA,"MF,FW",Roma,18,1997,2.1,2,,3,,,1.43,,0.67,,0,0
438,Mohamed Salah,eg  EGY,"FW,MF",Roma,23,1992,30.3,14,,32,,,1.06,,0.44,,0,0
439,Paolo Sammarco,it  ITA,MF,Frosinone,32,1983,25.8,4,,8,,,0.31,,0.50,,0,0
440,Alex Sandro,br  BRA,"MF,DF",Juventus,24,1991,16.7,2,,3,,,0.18,,0.67,,0,0
441,Nicola Sansone,it  ITA,FW,Sassuolo,23,1991,28.2,7,,23,,,0.81,,0.30,,0,0
442,Davide Santon,it  ITA,DF,Inter,24,1991,10.8,0,,2,,,0.18,,0.00,,0,0
443,Samir Santos,br  BRA,DF,Hellas Verona,20,1994,3.0,1,,1,,,0.33,,1.00,,0,0
444,Riccardo Saponara,it  ITA,"MF,FW",Empoli,23,1991,29.2,5,,24,,,0.82,,0.21,,0,1
445,Gennaro Sardo,it  ITA,DF,Chievo,36,1979,3.7,1,,1,,,0.27,,1.00,,0,0
446,Andrea Seculin,it  ITA,GK,Chievo,25,1990,3.0,0,,0,,,0.00,,,,0,0
447,Stephan El Shaarawy,it  ITA,"FW,MF",Roma,22,1992,13.2,8,,21,,,1.59,,0.38,,0,0
448,Franco Signorelli,ve  VEN,MF,Empoli,24,1991,0.4,0,,0,,,0.00,,,,0,0
449,Luca Siligardi,it  ITA,"MF,FW",Hellas Verona,27,1988,15.6,2,,6,,,0.38,,0.33,,0,0
450,Gastón Silva,uy  URU,"MF,DF",Torino,21,1994,9.9,0,,2,,,0.20,,0.00,,0,0
451,Matías Silvestre,ar  ARG,DF,Sampdoria,30,1984,21.9,0,,3,,,0.14,,0.00,,0,0
452,Maicon Sisenando,br  BRA,DF,Roma,34,1981,11.2,1,,6,,,0.54,,0.17,,0,0
453,Łukasz Skorupski,pl  POL,GK,Empoli,24,1991,31.0,0,,0,,,0.00,,,,0,0
454,Milan Škriniar,sk  SVK,DF,Sampdoria,20,1995,1.2,0,,0,,,0.00,,,,0,0
455,Danilo Soddimo,it  ITA,"MF,FW",Frosinone,27,1987,19.9,1,,11,,,0.55,,0.09,,0,0
456,Roberto Soriano,it  ITA,MF,Sampdoria,24,1991,31.3,8,,23,,,0.74,,0.35,,0,0
457,Stefano Sorrentino,it  ITA,GK,Palermo,36,1979,34.4,0,,0,,,0.00,,,,0,0
458,Samuel Souprayen,fr  FRA,DF,Hellas Verona,26,1989,17.6,0,,3,,,0.17,,0.00,,0,0
459,Marco Sportiello,it  ITA,GK,Atalanta,23,1992,36.0,0,,0,,,0.00,,,,0,0
460,Guglielmo Stendardo,it  ITA,DF,Atalanta,34,1981,12.4,1,,1,,,0.08,,1.00,,0,0
461,Ivan Strinić,hr  CRO,DF,Napoli,28,1987,2.8,0,,1,,,0.36,,0.00,,0,0
462,Kevin Strootman,nl  NED,MF,Roma,25,1990,2.1,0,,0,,,0.00,,,,0,0
463,Aljaž Struna,si  SVN,DF,Palermo,24,1990,20.4,1,,2,,,0.10,,0.50,,0,0
464,Stefano Sturaro,it  ITA,MF,Juventus,22,1993,11.4,1,,3,,,0.26,,0.33,,0,0
465,Emanuele Suagher,it  ITA,DF,Carpi,22,1992,8.0,0,,0,,,0.00,,,,0,0
466,Mario Suárez,es  ESP,MF,Fiorentina,28,1987,5.1,1,,4,,,0.79,,0.25,,0,0
467,Wojciech Szczęsny,pl  POL,GK,Roma,25,1990,34.0,0,,0,,,0.00,,,,0,0
468,Aaron Tabacchi,it  ITA,FW,Bologna,17,1998,0.1,0,,0,,,0.00,,,,0,0
469,Panagiotis Tachtsidis,gr  GRE,MF,Genoa,24,1991,9.3,2,,7,,,0.75,,0.29,,0,0
470,Saphir Taïder,dz  ALG,MF,Bologna,23,1992,23.4,0,,8,,,0.34,,0.00,,0,0
471,Ciprian Tătărușanu,ro  ROU,GK,Fiorentina,29,1986,36.8,0,,0,,,0.00,,,,0,0
472,Alex Telles,br  BRA,DF,Inter,22,1992,17.5,0,,3,,,0.17,,0.00,,0,0
473,Cristian Tello,es  ESP,MF,Fiorentina,23,1991,11.9,2,,6,,,0.50,,0.33,,0,0
474,Emanuele Terranova,it  ITA,DF,Sassuolo,28,1987,3.7,0,,0,,,0.00,,,,0,0
475,Cyril Théréau,fr  FRA,FW,Udinese,32,1983,32.2,11,,35,,,1.09,,0.31,,0,0
476,Rafael Tolói,it  ITA,DF,Atalanta,24,1990,21.1,1,,3,,,0.14,,0.33,,0,0
