,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Antonio Sanabria,19.0,py  PAR,FW,24-248,70,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0.0
1,Loren Morón,16.0,es  ESP,FW,26-313,20,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,50.0
2,Cristian Tello,11.0,es  ESP,LW,29-088,62,0,0,0,0,0,0,1,0,0,0,0,0,4,1,2,33.3
3,Víctor Ruiz,6.0,es  ESP,CB,31-287,28,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
4,Joaquín,17.0,es  ESP,RW,39-109,62,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,
5,Aitor Ruibal,24.0,es  ESP,RW,24-230,28,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,
6,Sergio Canales,10.0,es  ESP,"AM,LW,CM",29-265,85,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,
7,Rodrigo,28.0,es  ESP,LW,20-175,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
8,Guido Rodríguez,21.0,ar  ARG,"CM,LW",26-209,90,0,0,0,1,1,0,0,0,1,0,0,0,6,0,0,
9,William Carvalho,14.0,pt  POR,CM,28-214,90,0,0,0,2,0,0,0,0,1,0,0,0,10,2,0,100.0
10,Álex Moreno,15.0,es  ESP,LB,27-152,90,1,0,0,2,1,0,3,1,0,0,0,0,11,1,1,50.0
11,Marc Bartra,5.0,es  ESP,CB,29-297,90,0,0,0,2,0,0,0,1,0,0,0,0,5,1,0,100.0
12,Aïssa Mandi,23.0,dz  ALG,"CB,AM",29-016,59,1,1,0,2,0,0,0,2,0,0,1,0,3,1,0,100.0
13,Emerson,22.0,br  BRA,RB,21-298,90,0,0,0,0,4,0,0,0,1,0,0,0,8,0,0,
14,Claudio Bravo,25.0,cl  CHI,GK,37-208,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
15,15 Players,,,,,959,2,1,0,10,8,1,7,5,6,0,1,0,65,7,8,46.7
