,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,8,William Carvalho,Betis,Saved,10.0,Head,,Sergio Canales,Pass (Dead),,
1,33,Antoine Griezmann  (pen),Barcelona,Saved,12.0,Left Foot,,Ansu Fati,Fouled,Clément Lenglet,Pass (Live)
2,,,,,,,,,,,
3,61,Lionel Messi  (pen),Barcelona,Goal,12.0,Left Foot,,Ousmane Dembélé,Shot,,
4,87,Marc Bartra,Betis,Off Target,12.0,Head,,Rodrigo,Pass (Dead),Loren Morón,Fouled
