,Betis (4-2-3-1),Betis (4-2-3-1).1
0,25,Claudio Bravo
1,5,Marc Bartra
2,10,Sergio Canales
3,11,Cristian Tello
4,14,William Carvalho
5,15,Álex Moreno
6,17,Joaquín
7,19,Antonio Sanabria
8,21,Guido Rodríguez
9,22,Emerson
10,23,Aïssa Mandi
11,Bench,Bench
12,1,Joel Robles
13,31,Carlos Marín
14,2,Martín Montoya
15,4,Paul Akouokou
16,6,Víctor Ruiz
17,9,Borja Iglesias
18,16,Loren Morón
19,20,Diego Lainez
20,24,Aitor Ruibal
21,28,Rodrigo
22,33,Juan Miranda
