,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Antonio Sanabria,19.0,py  PAR,FW,24-248,70,1,0,0,0,2,2,0,0,23,11,0,0,0,0.3,0.3,0.0,2,1,10,14,71.4,1,17,2,0,0
1,Loren Morón,16.0,es  ESP,FW,26-313,20,1,0,0,0,3,2,0,0,12,4,0,0,0,0.5,0.5,0.0,1,0,5,5,100.0,0,7,0,0,0
2,Cristian Tello,11.0,es  ESP,LW,29-088,62,0,0,0,0,3,1,0,0,25,8,0,0,0,0.2,0.2,0.0,1,0,17,20,85.0,3,20,3,1,2
3,Víctor Ruiz,6.0,es  ESP,CB,31-287,28,0,0,0,0,0,0,0,0,10,5,1,1,0,0.0,0.0,0.0,0,0,7,8,87.5,0,4,0,0,0
4,Joaquín,17.0,es  ESP,RW,39-109,62,0,0,0,0,0,0,0,0,35,7,1,0,1,0.0,0.0,0.0,0,0,27,31,87.1,1,25,6,0,0
5,Aitor Ruibal,24.0,es  ESP,RW,24-230,28,0,0,0,0,0,0,0,0,10,5,1,0,0,0.0,0.0,0.0,0,0,3,7,42.9,0,11,1,1,3
6,Sergio Canales,10.0,es  ESP,"AM,LW,CM",29-265,85,0,0,0,0,0,0,0,0,47,10,1,0,0,0.0,0.0,0.2,5,1,32,43,74.4,4,40,8,1,1
7,Rodrigo,28.0,es  ESP,LW,20-175,5,0,0,0,0,0,0,0,0,9,1,0,0,1,0.0,0.0,0.1,2,0,5,6,83.3,0,4,1,1,1
8,Guido Rodríguez,21.0,ar  ARG,"CM,LW",26-209,90,0,0,0,0,0,0,0,0,46,27,2,0,3,0.0,0.0,0.0,2,0,29,34,85.3,1,33,2,2,2
9,William Carvalho,14.0,pt  POR,CM,28-214,90,0,0,0,0,1,1,0,0,53,25,1,0,0,0.1,0.1,0.0,0,0,45,48,93.8,3,36,2,0,0
10,Álex Moreno,15.0,es  ESP,LB,27-152,90,0,1,0,0,2,0,1,0,59,15,2,1,2,0.1,0.1,0.5,3,2,38,46,82.6,1,34,8,1,3
11,Marc Bartra,5.0,es  ESP,CB,29-297,90,0,0,0,0,1,0,0,0,65,15,1,1,3,0.0,0.0,0.0,0,0,51,56,91.1,1,41,1,0,0
12,Aïssa Mandi,23.0,dz  ALG,"CB,AM",29-016,59,0,0,0,0,0,0,1,1,44,5,0,2,1,0.0,0.0,0.0,0,0,41,41,100.0,1,34,0,0,0
13,Emerson,22.0,br  BRA,RB,21-298,90,0,0,0,0,0,0,0,0,62,15,3,0,3,0.0,0.0,0.0,0,0,33,50,66.0,2,47,4,1,2
14,Claudio Bravo,25.0,cl  CHI,GK,37-208,90,0,0,0,0,0,0,0,0,43,2,0,0,0,0.0,0.0,0.0,1,0,27,38,71.1,0,21,0,0,0
15,15 Players,,,,,959,2,1,0,0,12,6,2,1,543,155,13,5,14,1.2,1.2,0.9,17,4,370,447,82.8,18,374,38,8,14
