,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Ansu Fati,22.0,es  ESP,FW,18-007,45,15,15,100.0,219,53,10,10,100.0,4,4,100.0,1,1,100.0,0,0.1,1,0,1,0,2
1,Lionel Messi,10.0,ar  ARG,FW,33-136,45,42,51,82.4,698,192,21,23,91.3,17,20,85.0,4,7,57.1,0,1.1,3,5,5,0,8
2,Antoine Griezmann,7.0,fr  FRA,FW,29-231,77,30,33,90.9,548,124,12,12,100.0,18,20,90.0,0,0,,1,0.2,4,2,2,0,5
3,Martin Braithwaite,9.0,dk  DEN,FW,29-155,13,1,2,50.0,6,0,1,1,100.0,0,0,,0,0,,0,0.0,0,0,0,0,0
4,Pedri,16.0,es  ESP,LM,17-348,90,49,58,84.5,917,136,22,25,88.0,22,25,88.0,5,7,71.4,0,0.3,1,2,1,0,3
5,Ousmane Dembélé,11.0,fr  FRA,RM,23-176,65,21,33,63.6,368,107,7,11,63.6,14,16,87.5,0,4,0.0,0,0.0,0,2,0,0,2
6,Francisco Trincão,17.0,pt  POR,RM,20-314,25,17,21,81.0,232,64,12,12,100.0,5,6,83.3,0,1,0.0,0,0.0,0,0,2,0,3
7,Frenkie de Jong,21.0,nl  NED,DM,23-179,90,66,76,86.8,1142,471,29,33,87.9,30,32,93.8,6,9,66.7,0,0.0,0,16,2,0,12
8,Sergio Busquets,5.0,es  ESP,DM,32-114,85,71,79,89.9,1480,353,21,24,87.5,38,41,92.7,10,11,90.9,0,0.3,2,8,1,0,6
9,Miralem Pjanić,8.0,ba  BIH,DM,30-219,5,8,8,100.0,144,62,3,3,100.0,5,5,100.0,0,0,,0,0.1,1,0,1,0,1
10,Jordi Alba,18.0,es  ESP,LB,31-231,90,52,63,82.5,926,312,24,27,88.9,20,22,90.9,6,9,66.7,1,0.0,0,3,2,1,8
11,Clément Lenglet,15.0,fr  FRA,CB,25-143,90,52,53,98.1,959,371,23,23,100.0,23,24,95.8,6,6,100.0,0,0.0,0,4,0,0,3
12,Gerard Piqué,3.0,es  ESP,CB,33-279,90,56,60,93.3,1078,280,16,16,100.0,36,39,92.3,4,5,80.0,0,0.0,0,2,1,0,2
13,Sergi Roberto,20.0,es  ESP,RB,28-274,90,57,63,90.5,897,267,31,33,93.9,24,26,92.3,2,2,100.0,2,0.8,2,8,2,0,4
14,Marc-André ter Stegen,1.0,de  GER,GK,28-191,90,36,38,94.7,956,605,5,5,100.0,20,20,100.0,11,13,84.6,0,0.0,0,0,0,0,0
15,15 Players,,,,,990,573,653,87.7,10570,3397,237,258,91.9,276,300,92.0,55,75,73.3,4,2.9,14,52,20,1,59
