,Possession_Valencia,Possession_Barcelona
0,32%,68%
1,Passing Accuracy,Passing Accuracy
2,301 of 381 —  79%,90%  — 725 of 807
3,Shots on Target,Shots on Target
4,4 of 9 —  44%,38%  — 5 of 13
5,Saves,Saves
6,2 of 5 —  40%,50%  — 2 of 4
7,Cards,Cards
8,,
