,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Antoine Griezmann,7.0,fr  FRA,FW,30-042,90,1,0,0,0,3,1,0,0,53,6,0,0,0,0.6,0.6,0.0,2,1,46,50,92.0,2,30,1,1,1
1,Lionel Messi,10.0,ar  ARG,FW,33-312,90,2,0,0,1,4,2,0,0,101,5,1,0,2,1.1,0.3,0.4,6,1,67,86,77.9,10,74,20,4,6
2,Pedri,16.0,es  ESP,CM,18-158,74,0,0,0,0,2,0,0,0,61,8,0,1,1,0.4,0.3,0.0,2,1,48,54,88.9,1,41,4,0,0
3,Ilaix,27.0,es  ESP,CM,18-103,16,0,0,0,0,0,0,0,0,18,5,1,0,0,0.0,0.0,0.0,0,0,15,18,83.3,1,12,1,0,0
4,Frenkie de Jong,21.0,nl  NED,CM,23-355,90,0,0,0,0,1,1,0,0,71,6,0,3,0,0.1,0.1,0.3,3,1,57,62,91.9,7,42,3,3,3
5,Sergio Busquets,5.0,es  ESP,DM,32-290,90,0,0,0,0,0,0,0,0,105,7,3,5,1,0.0,0.0,0.0,2,0,88,93,94.6,11,67,6,0,0
6,Jordi Alba,18.0,es  ESP,WB,32-042,90,0,0,0,0,2,0,0,0,119,8,1,2,2,0.1,0.1,0.2,3,0,91,110,82.7,8,78,6,0,1
7,Sergiño Dest,2.0,us  USA,WB,20-180,74,0,0,0,0,0,0,0,0,41,5,0,1,2,0.0,0.0,0.0,0,0,36,37,97.3,0,32,2,0,0
8,Sergi Roberto,20.0,es  ESP,WB,29-084,16,0,0,0,0,0,0,0,0,23,1,0,0,1,0.0,0.0,0.0,0,0,21,22,95.5,1,15,2,1,1
9,Clément Lenglet,15.0,fr  FRA,CB,25-319,90,0,0,0,0,0,0,0,0,119,10,1,0,0,0.0,0.0,0.0,4,0,109,116,94.0,7,99,20,0,1
10,Gerard Piqué,3.0,es  ESP,CB,34-089,90,0,0,0,0,0,0,0,0,74,5,0,0,2,0.0,0.0,0.0,0,0,64,68,94.1,2,48,7,0,0
11,Ronald Araújo,4.0,uy  URU,CB,22-056,90,0,0,0,0,1,1,0,0,76,6,2,1,1,0.4,0.4,0.0,0,0,63,65,96.9,1,52,9,0,0
12,Marc-André ter Stegen,1.0,de  GER,GK,29-002,90,0,0,0,0,0,0,1,0,27,0,0,0,0,0.0,0.0,0.0,0,0,20,26,76.9,0,16,0,0,0
13,13 Players,,,,,990,3,0,0,1,13,5,1,0,888,72,9,13,12,2.8,1.7,1.0,22,4,725,807,89.8,51,606,81,9,13
