,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,12.0,Ronald Araújo,Barcelona,Saved,7.0,Right Foot,Volley,Lionel Messi,Pass (Dead),Pedri,Fouled
1,20.0,José Luis Gayà,Valencia,Off Target,17.0,Left Foot,,Gonçalo Guedes,Pass (Live),,
2,,,,,,,,,,,
3,49.0,Gonçalo Guedes,Valencia,Saved,7.0,Right Foot,,Gonçalo Guedes,Dribble,Carlos Soler,Pass (Live)
4,50.0,Gabriel Paulista,Valencia,Goal,4.0,Head,Open goal,Carlos Soler,Pass (Dead),Gonçalo Guedes,Shot
5,52.0,Thierry Correia,Valencia,Off Target,10.0,Right Foot,Half volley,Gonçalo Guedes,Pass (Live),Maxi Gómez,Pass (Live)
6,57.0,Lionel Messi  (pen),Barcelona,Saved,12.0,Left Foot,,Clément Lenglet,Pass (Live),Lionel Messi,Pass (Live)
7,63.0,Frenkie de Jong,Barcelona,Saved,8.0,Head,,Jordi Alba,Pass (Live),Clément Lenglet,Pass (Live)
8,83.0,Carlos Soler,Valencia,Goal,29.0,Right Foot,,Christian Oliva,Pass (Live),Gonçalo Guedes,Interception
9,85.0,Kévin Gameiro,Valencia,Blocked,19.0,Right Foot,,Thierry Correia,Pass (Live),Gonçalo Guedes,Pass (Live)
10,90.0,Christian Oliva,Valencia,Off Target,32.0,Right Foot,Half volley,,,,
