,Valencia (3-5-2),Valencia (3-5-2).1
0,13,Jasper Cillessen
1,2,Thierry Correia
2,3,Toni Lato
3,5,Gabriel Paulista
4,7,Gonçalo Guedes
5,8,Carlos Soler
6,14,José Luis Gayà
7,15,Hugo Guillamón
8,18,Daniel Wass
9,19,Uroš Račić
10,22,Maxi Gómez
11,Bench,Bench
12,1,Jaume Doménech
13,4,Eliaquim Mangala
14,6,Francisco Reis Ferreira
15,9,Kévin Gameiro
16,10,Christian Oliva
17,12,Mouctar Diakhaby
18,16,Alejandro Blanco
19,17,Denis Cheryshev
20,20,Lee Kangin
21,21,Manu Vallejo
22,24,Cristiano Piccini
23,30,Yunus Musah
