,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Gonçalo Guedes,7.0,pt  POR,"FW,LM",24-154,90,0,0,0,1,5,0,2,1,0,0,0,0,3,0,3,0.0
1,Maxi Gómez,22.0,uy  URU,FW,24-261,90,0,0,0,2,0,0,0,0,0,0,0,0,1,2,5,28.6
2,Uroš Račić,19.0,rs  SRB,CM,23-046,78,1,0,0,3,2,0,0,0,0,0,0,0,8,0,1,0.0
3,Christian Oliva,10.0,uy  URU,DM,24-335,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0.0
4,Carlos Soler,8.0,es  ESP,"CM,RM",24-120,90,0,0,0,0,0,0,0,2,1,0,0,0,7,1,0,100.0
5,Daniel Wass,18.0,dk  DEN,DM,31-336,90,0,0,0,1,1,0,0,0,1,0,0,0,12,0,0,
6,José Luis Gayà,14.0,es  ESP,"WB,LB",25-342,90,0,0,0,1,0,2,0,1,1,0,0,0,4,0,0,
7,Thierry Correia,2.0,pt  POR,"WB,RB",22-054,90,0,0,0,2,1,0,2,3,3,0,0,0,5,0,0,
8,Toni Lato,3.0,es  ESP,CB,23-162,63,1,0,0,1,1,0,0,2,1,0,1,0,6,1,0,100.0
9,Mouctar Diakhaby,12.0,fr  FRA,CB,24-134,27,0,0,0,0,0,0,0,1,1,0,0,0,4,2,0,100.0
10,Hugo Guillamón,15.0,es  ESP,CB,21-091,78,0,0,0,1,1,0,0,0,2,0,0,0,9,0,0,
11,Kévin Gameiro,9.0,fr  FRA,FW,33-358,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
12,Gabriel Paulista,5.0,br  BRA,CB,30-157,90,0,0,0,1,1,0,0,4,0,0,0,0,6,0,1,0.0
13,Jasper Cillessen,13.0,nl  NED,GK,32-010,90,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,2,0,0,13,14,3,4,14,10,0,1,0,71,6,11,35.3
