,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Roger Martí,9.0,es  ESP,FW,29-345,67,0,0,0,0,0,0,0,0,23,18,0,0,1,0.0,0.0,0.2,2,0,14,21,66.7,4,10,2,0,1
1,José Luis Morales,11.0,es  ESP,FW,33-143,23,0,0,0,0,1,0,0,0,19,6,2,1,0,0.0,0.0,0.0,0,0,4,12,33.3,1,14,1,1,3
2,Dani Gómez,21.0,es  ESP,FW,22-136,90,0,0,0,0,2,1,0,0,34,13,1,0,0,0.3,0.3,0.0,0,0,17,24,70.8,1,25,6,0,2
3,Gonzalo Melero,22.0,es  ESP,LM,26-346,81,0,0,0,0,0,0,0,0,36,15,0,1,1,0.0,0.0,0.6,2,0,28,32,87.5,4,23,3,0,1
4,Sergio León,7.0,es  ESP,LM,31-342,9,0,0,0,0,0,0,0,0,8,3,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,1,3,0,0,0
5,Jorge de Frutos,18.0,es  ESP,RM,23-297,81,0,0,0,0,1,1,0,0,32,23,4,0,1,0.6,0.6,0.0,1,0,17,23,73.9,1,16,3,0,1
6,Son,2.0,es  ESP,RM,26-258,9,0,0,0,0,1,1,0,0,15,2,0,1,0,0.0,0.0,0.0,1,0,7,12,58.3,1,12,1,1,1
7,Mickael Malsa,12.0,mq  MTQ,DM,25-062,90,0,0,0,0,0,0,0,0,65,18,3,6,2,0.0,0.0,0.0,2,0,44,51,86.3,4,46,2,0,0
8,Nikola Vukčević,17.0,me  MNE,DM,29-000,67,0,0,0,0,0,0,1,0,25,10,0,1,1,0.0,0.0,0.0,0,0,20,21,95.2,1,16,1,0,0
9,Nemanja Radoja,5.0,rs  SRB,DM,27-311,23,0,0,0,0,0,0,0,0,10,3,0,0,1,0.0,0.0,0.0,0,0,9,9,100.0,0,5,0,0,0
10,Carlos Clerc,19.0,es  ESP,LB,28-296,90,0,0,0,0,0,0,0,0,44,13,3,2,2,0.0,0.0,0.0,0,0,29,35,82.9,5,21,4,0,1
11,Rúben Vezo,14.0,pt  POR,CB,26-232,90,0,0,0,0,0,0,0,0,44,11,2,1,0,0.0,0.0,0.0,1,0,31,38,81.6,3,25,0,0,0
12,Sergio Postigo,15.0,es  ESP,CB,32-039,90,0,0,0,0,0,0,0,0,58,11,1,3,0,0.0,0.0,0.0,0,0,38,45,84.4,4,32,1,0,0
13,Coke,23.0,es  ESP,RB,33-231,67,0,0,0,0,1,0,0,0,35,8,4,0,3,0.0,0.0,0.0,0,0,21,26,80.8,2,16,3,1,1
14,Jorge Miramón,20.0,es  ESP,RB,31-194,23,0,0,0,0,0,0,0,0,18,5,1,2,0,0.0,0.0,0.0,1,0,11,13,84.6,2,8,0,1,1
15,Aitor Fernández,13.0,es  ESP,GK,29-224,90,0,0,0,0,0,0,0,0,50,0,0,0,0,0.0,0.0,0.0,0,0,32,40,80.0,0,14,0,0,0
16,16 Players,,,,,990,0,0,0,0,6,3,1,0,516,159,21,18,12,0.9,0.9,0.9,10,0,325,407,79.9,34,286,27,4,12
