,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,12,Jorge de Frutos,Levante,Saved,11.0,Left Foot,,Gonzalo Melero,Pass (Live),Roger Martí,Pass (Live)
1,22,Clément Lenglet,Barcelona,Off Target,6.0,Left Foot,Volley,Antoine Griezmann,Shot,,
2,25,Coke,Levante,Off Target,24.0,Right Foot,,Gonzalo Melero,Pass (Live),Rúben Vezo,Pass (Live)
3,,,,,,,,,,,
4,90+3,José Luis Morales,Levante,Blocked,23.0,Right Foot,,Son,Pass (Live),Jorge Miramón,Pass (Live)
5,90+6,Son,Levante,Saved,21.0,Right Foot,Volley,,,,
