,Possession_Barcelona,Possession_Levante
0,64%,36%
1,Passing Accuracy,Passing Accuracy
2,636 of 716 —  89%,80%  — 325 of 407
3,Shots on Target,Shots on Target
4,13 of 24 —  54%,50%  — 3 of 6
5,Saves,Saves
6,3 of 3 —  100%,92%  — 12 of 13
7,Cards,Cards
8,,
