,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Roger Martí,9.0,es  ESP,FW,29-345,67,14,21,66.7,340,90,4,5,80.0,6,8,75.0,4,6,66.7,0,0.2,1,3,2,0,4
1,José Luis Morales,11.0,es  ESP,FW,33-143,23,4,12,33.3,86,24,1,5,20.0,2,3,66.7,1,3,33.3,0,0.0,0,0,0,0,1
2,Dani Gómez,21.0,es  ESP,FW,22-136,90,17,24,70.8,228,25,10,11,90.9,7,11,63.6,0,1,0.0,0,0.0,0,0,0,0,1
3,Gonzalo Melero,22.0,es  ESP,LM,26-346,81,28,32,87.5,444,146,13,13,100.0,12,14,85.7,2,3,66.7,0,0.6,2,2,0,0,4
4,Sergio León,7.0,es  ESP,LM,31-342,9,3,5,60.0,30,17,2,2,100.0,1,2,50.0,0,0,,0,0.0,0,0,1,0,1
5,Jorge de Frutos,18.0,es  ESP,RM,23-297,81,17,23,73.9,293,81,9,12,75.0,5,6,83.3,2,2,100.0,0,0.0,0,1,0,0,1
6,Son,2.0,es  ESP,RM,26-258,9,7,12,58.3,128,55,5,8,62.5,1,1,100.0,1,3,33.3,0,0.0,1,1,0,0,1
7,Mickael Malsa,12.0,mq  MTQ,DM,25-062,90,44,51,86.3,901,277,14,15,93.3,22,25,88.0,8,10,80.0,0,0.0,1,2,1,0,4
8,Nikola Vukčević,17.0,me  MNE,DM,29-000,67,20,21,95.2,375,75,9,10,90.0,9,9,100.0,2,2,100.0,0,0.0,0,0,0,0,1
9,Nemanja Radoja,5.0,rs  SRB,DM,27-311,23,9,9,100.0,125,26,6,6,100.0,3,3,100.0,0,0,,0,0.0,0,1,0,0,0
10,Carlos Clerc,19.0,es  ESP,LB,28-296,90,29,35,82.9,480,223,15,15,100.0,12,13,92.3,2,6,33.3,0,0.0,0,3,1,0,5
11,Rúben Vezo,14.0,pt  POR,CB,26-232,90,31,38,81.6,815,292,4,4,100.0,18,20,90.0,9,13,69.2,0,0.0,0,2,0,0,3
12,Sergio Postigo,15.0,es  ESP,CB,32-039,90,38,45,84.4,759,208,11,11,100.0,22,24,91.7,5,10,50.0,0,0.0,0,0,0,0,4
13,Coke,23.0,es  ESP,RB,33-231,67,21,26,80.8,387,107,7,9,77.8,12,13,92.3,2,2,100.0,0,0.0,0,2,0,0,2
14,Jorge Miramón,20.0,es  ESP,RB,31-194,23,11,13,84.6,223,125,4,5,80.0,4,4,100.0,3,3,100.0,0,0.0,0,2,0,0,2
15,Aitor Fernández,13.0,es  ESP,GK,29-224,90,32,40,80.0,987,566,6,6,100.0,9,9,100.0,16,24,66.7,0,0.0,0,0,0,0,0
16,16 Players,,,,,990,325,407,79.9,6601,2337,120,137,87.6,145,165,87.9,57,88,64.8,0,0.9,5,19,5,0,34
