,Levante (4-4-2),Levante (4-4-2).1
0,13,Aitor Fernández
1,9,Roger Martí
2,12,Mickael Malsa
3,14,Rúben Vezo
4,15,Sergio Postigo
5,17,Nikola Vukčević
6,18,Jorge de Frutos
7,19,Carlos Clerc
8,21,Dani Gómez
9,22,Gonzalo Melero
10,23,Coke
11,Bench,Bench
12,1,Koke Vegas
13,34,Dani Cárdenas
14,2,Son
15,3,Toño
16,4,Rober
17,5,Nemanja Radoja
18,6,Óscar Duarte
19,7,Sergio León
20,11,José Luis Morales
21,16,Rubén Rochina
22,20,Jorge Miramón
