,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Lionel Messi,10.0,ar  ARG,"RW,FW",33-172,90,93,0,0,33,69,17,80,0,3,0.0,0,0,63,415,299,18,7,3,0,4,90,73,81.1,6
1,Martin Braithwaite,9.0,dk  DEN,"LW,FW",29-191,90,48,0,3,19,29,10,47,1,1,100.0,1,0,28,95,57,4,2,1,4,4,52,40,76.9,9
2,Antoine Griezmann,7.0,fr  FRA,"RW,AM",29-267,88,79,0,1,23,56,8,72,0,0,,0,0,46,157,62,5,1,0,0,1,71,63,88.7,9
3,Samuel Umtiti,23.0,fr  FRA,CB,27-029,2,3,2,3,0,0,0,3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
4,Philippe Coutinho,14.0,br  BRA,"AM,LW",28-184,69,68,0,3,20,48,5,65,0,1,0.0,0,0,46,335,221,17,1,3,0,0,66,62,93.9,5
5,Francisco Trincão,17.0,pt  POR,LW,20-350,21,13,0,0,4,10,3,13,0,1,0.0,0,0,10,76,38,3,1,0,0,0,17,11,64.7,6
6,Frenkie de Jong,21.0,nl  NED,CM,23-215,90,62,0,11,38,25,6,62,2,2,100.0,2,0,52,365,256,8,5,1,1,3,59,55,93.2,5
7,Sergio Busquets,5.0,es  ESP,CM,32-150,57,56,1,13,34,12,0,55,0,0,,0,0,36,150,90,4,1,0,0,0,45,43,95.6,1
8,Pedri,16.0,es  ESP,CM,18-018,33,31,0,1,15,16,2,31,0,0,,0,0,24,80,25,1,1,0,0,0,29,27,93.1,5
9,Jordi Alba,18.0,es  ESP,LB,31-267,90,117,6,22,42,56,6,108,0,0,,0,0,74,341,213,7,1,1,0,0,87,83,95.4,13
10,Clément Lenglet,15.0,fr  FRA,CB,25-179,90,88,11,31,56,8,2,86,1,2,50.0,1,0,58,302,173,7,1,0,0,0,62,61,98.4,1
11,Ronald Araújo,4.0,uy  URU,CB,21-281,90,60,7,26,33,1,0,59,0,0,,0,0,42,177,82,2,0,0,0,0,44,44,100.0,0
12,Sergiño Dest,2.0,us  USA,RB,20-040,90,78,2,10,41,33,3,73,2,2,100.0,2,0,61,249,156,14,3,1,1,3,63,61,96.8,6
13,Marc-André ter Stegen,1.0,de  GER,GK,28-227,90,30,25,30,0,0,0,23,0,0,,0,0,13,54,43,0,0,0,0,0,13,13,100.0,0
14,14 Players,,,,,990,826,54,154,358,363,62,777,6,12,50.0,6,0,553,2796,1715,90,24,10,6,15,698,636,91.1,66
