,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Lionel Messi,10.0,ar  ARG,"RW,FW",33-172,90,56,70,80.0,901,417,28,32,87.5,22,26,84.6,5,9,55.6,0,0.5,3,9,8,1,13
1,Martin Braithwaite,9.0,dk  DEN,"LW,FW",29-191,90,26,32,81.3,363,103,19,22,86.4,4,7,57.1,2,2,100.0,0,0.3,1,1,3,0,5
2,Antoine Griezmann,7.0,fr  FRA,"RW,AM",29-267,88,62,72,86.1,1142,213,27,30,90.0,26,30,86.7,8,9,88.9,0,0.2,4,2,5,2,4
3,Samuel Umtiti,23.0,fr  FRA,CB,27-029,2,1,1,100.0,79,62,0,0,,0,0,,1,1,100.0,0,0.0,0,1,0,0,0
4,Philippe Coutinho,14.0,br  BRA,"AM,LW",28-184,69,55,62,88.7,900,193,29,32,90.6,18,21,85.7,5,6,83.3,0,0.0,0,4,3,0,6
5,Francisco Trincão,17.0,pt  POR,LW,20-350,21,8,11,72.7,116,4,4,5,80.0,4,6,66.7,0,0,,0,0.0,0,0,0,0,0
6,Frenkie de Jong,21.0,nl  NED,CM,23-215,90,52,56,92.9,919,255,19,20,95.0,24,24,100.0,6,8,75.0,1,0.5,5,4,0,0,6
7,Sergio Busquets,5.0,es  ESP,CM,32-150,57,49,53,92.5,955,261,19,22,86.4,21,21,100.0,8,9,88.9,0,0.0,0,5,1,0,3
8,Pedri,16.0,es  ESP,CM,18-018,33,27,29,93.1,509,89,10,11,90.9,11,11,100.0,5,6,83.3,0,0.0,0,2,1,0,3
9,Jordi Alba,18.0,es  ESP,LB,31-267,90,92,106,86.8,1452,511,50,56,89.3,36,41,87.8,5,7,71.4,0,0.1,2,9,1,0,9
10,Clément Lenglet,15.0,fr  FRA,CB,25-179,90,70,74,94.6,1388,462,26,27,96.3,34,35,97.1,10,12,83.3,0,0.0,0,10,0,0,11
11,Ronald Araújo,4.0,uy  URU,CB,21-281,90,49,51,96.1,1049,252,11,11,100.0,31,31,100.0,7,9,77.8,0,0.0,0,2,0,0,1
12,Sergiño Dest,2.0,us  USA,RB,20-040,90,60,70,85.7,937,233,30,35,85.7,25,25,100.0,3,5,60.0,0,0.1,1,3,4,2,5
13,Marc-André ter Stegen,1.0,de  GER,GK,28-227,90,29,29,100.0,879,653,6,6,100.0,12,12,100.0,11,11,100.0,0,0.0,0,0,0,0,0
14,14 Players,,,,,990,636,716,88.8,11589,3708,278,309,90.0,268,290,92.4,76,94,80.9,1,1.7,16,52,26,5,66
