,Player,Varified,Weekly Gross,Annual Gross,Gross Bonus,Expiration,Length,Total Gross,Release Clause,Status,Pos. group,Pos.,Age,Country,Club
0,Frenkie de Jong,,"€ 721,154","€ 37,500,000","€ 6,000,000","Jun 30, 2026",4-yrs,"€ 150,000,000","€ 400,000,000",Starter,M,CM,25,Netherlands,Barcelona
1,Sergio Busquets,,"€ 711,538","€ 37,000,000",,"Jun 30, 2023",1-yr,"€ 37,000,000","€ 500,000,000",Reserve,M,DM,34,Spain,Barcelona
2,Eden Hazard,,"€ 600,962","€ 31,250,000",,"Jun 30, 2024",2-yrs,"€ 62,500,000","€ 250,000,000",Reserve,F,LW,31,Belgium,Real Madrid
3,Gerard Piqué,,"€ 567,308","€ 29,500,000",,"Jun 30, 2024",2-yrs,"€ 59,000,000","€ 500,000,000",Reserve,D,CB,35,Spain,Barcelona
4,Karim Benzema,,"€ 461,538","€ 24,000,000",,"Jun 30, 2023",1-yr,"€ 24,000,000","€ 1,000,000,000",Starter,F,CF,34,France,Real Madrid
5,David Alaba,,"€ 432,692","€ 22,500,000",,"Jun 30, 2026",4-yrs,"€ 90,000,000","€ 850,000,000",Starter,D,CB,30,Austria,Real Madrid
6,Toni Kroos,,"€ 421,923","€ 21,940,000",,"Jun 30, 2023",1-yr,"€ 21,940,000","€ 500,000,000",Starter,M,CM,32,Germany,Real Madrid
7,Vinicius Junior,,"€ 400,577","€ 20,830,000",,"Jun 30, 2027",5-yrs,"€ 104,150,000","€ 1,000,000,000",Starter,F,LW,22,Brazil,Real Madrid
8,Jordi Alba,,"€ 400,577","€ 20,830,000",,"Jun 30, 2024",2-yrs,"€ 41,660,000","€ 500,000,000",Reserve,D,LB,33,Spain,Barcelona
9,Robert Lewandowski,,"€ 400,577","€ 20,830,000",,"Jun 30, 2026",4-yrs,"€ 83,320,000","€ 500,000,000",Starter,F,CF,34,Poland,Barcelona
