,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,8,Martin Braithwaite  (pen),Barcelona,Off Target,12.0,Right Foot,,Ronald Araújo,Fouled,,
1,10,Takashi Inui,Eibar,Saved,24.0,Right Foot,Deflected,Takashi Inui,Dribble,Esteban Burgos,Pass (Live)
2,16,Edu Expósito,Eibar,Blocked,27.0,Right Foot,Volley,,,,
3,22,Ronald Araújo,Barcelona,Saved,8.0,Head,,Miralem Pjanić,Pass (Dead),Antoine Griezmann,Pass (Live)
4,45+3,Rafa Soares,Eibar,Off Target,23.0,Left Foot,Half volley,,,,
5,,,,,,,,,,,
6,51,Miralem Pjanić,Barcelona,Off Target,24.0,Right Foot,Volley,,,,
7,56,Frenkie de Jong,Barcelona,Saved,24.0,Right Foot,Volley,Ousmane Dembélé,Shot,,
8,78,Clément Lenglet,Barcelona,Off Target,11.0,Head,,Ousmane Dembélé,Pass (Dead),,
9,81,Martin Braithwaite,Barcelona,Off Target,12.0,Right Foot,Volley,Junior Firpo,Pass (Live),Philippe Coutinho,Pass (Live)
10,85,Philippe Coutinho,Barcelona,Blocked,9.0,Right Foot,,Martin Braithwaite,Pass (Live),Ousmane Dembélé,Pass (Live)
11,86,Pedri,Barcelona,Off Target,15.0,Right Foot,Half volley,Philippe Coutinho,Pass (Live),Frenkie de Jong,Pass (Live)
12,90+1,Francisco Trincão,Barcelona,Off Target,13.0,Right Foot,,Francisco Trincão,Dribble,Ousmane Dembélé,Pass (Live)
