,Eibar (4-2-3-1),Eibar (4-2-3-1).1
0,1,Marko Dmitrović
1,2,Esteban Burgos
2,3,Pedro Bigas
3,6,Sergio Álvarez
4,8,Papakouli Diop
5,10,Edu Expósito
6,11,Rafa Soares
7,14,Takashi Inui
8,17,Kike
9,19,Damian Kądzior
10,22,Alejandro Pozo Pozo
11,Bench,Bench
12,13,Yoel
13,4,Paulo Oliveira
14,7,Quique
15,9,Sergi Enrich
16,12,Yoshinori Mutō
17,16,Roberto Olabe del Arco
18,18,Recio
19,21,Pedro León
20,29,Unai Dufur
21,31,Sergio Cubero Ezcurra
22,32,Unai Arietaleanizbeaskoa
