,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Kike,17.0,es  ESP,FW,31-034,72,0,0,0,1,4,0,0,0,2,0,0,0,4,5,8,38.5
1,Yoshinori Mutō,12.0,jp  JPN,FW,28-167,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0
2,Takashi Inui,14.0,jp  JPN,LW,32-210,90,0,0,0,1,0,0,2,2,0,0,0,0,6,1,2,33.3
3,Damian Kądzior,19.0,pl  POL,RW,28-196,80,0,0,0,0,2,0,3,0,1,0,0,0,4,0,1,0.0
4,Recio,18.0,es  ESP,RW,29-353,10,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,100.0
5,Papakouli Diop,8.0,sn  SEN,AM,34-285,89,0,0,0,1,0,0,0,2,0,0,0,0,7,1,4,20.0
6,Sergio Cubero Ezcurra,31.0,es  ESP,AM,21-115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Sergio Álvarez,6.0,es  ESP,DM,28-341,90,1,0,0,3,0,0,1,0,3,0,0,0,9,0,1,0.0
8,Edu Expósito,10.0,es  ESP,DM,24-150,90,0,0,0,2,0,0,2,2,0,0,0,0,11,1,2,33.3
9,Rafa Soares,11.0,pt  POR,LB,25-234,90,0,0,0,1,0,0,3,3,3,0,0,0,8,0,0,
10,Pedro Bigas,3.0,es  ESP,CB,30-105,90,0,0,0,1,0,0,0,1,1,0,1,0,8,0,3,0.0
11,Esteban Burgos,2.0,ar  ARG,CB,28-355,72,0,0,0,2,0,0,0,1,1,0,0,0,5,1,2,33.3
12,Paulo Oliveira,4.0,pt  POR,CB,28-356,18,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0.0
13,Alejandro Pozo Pozo,22.0,es  ESP,RB,21-311,90,0,0,0,0,1,0,0,6,4,0,0,0,7,0,0,
14,Marko Dmitrović,1.0,rs  SRB,GK,28-340,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
15,15 Players,,,,,990,2,0,0,15,8,0,11,17,15,0,1,0,76,10,27,27.0
