,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Kike,17.0,es  ESP,FW,31-034,72,1,0,0,0,3,1,0,0,41,25,2,0,3,0.5,0.5,0.0,2,1,15,24,62.5,0,27,3,0,0
1,Yoshinori Mutō,12.0,jp  JPN,FW,28-167,18,0,0,0,0,0,0,0,0,8,12,1,0,1,0.0,0.0,0.0,0,0,1,3,33.3,0,5,1,0,0
2,Takashi Inui,14.0,jp  JPN,LW,32-210,90,0,0,0,0,1,1,0,0,37,20,1,2,4,0.0,0.0,0.0,3,0,13,22,59.1,0,27,5,2,9
3,Damian Kądzior,19.0,pl  POL,RW,28-196,80,0,0,0,0,3,1,0,0,33,22,1,0,1,0.1,0.1,0.0,0,0,14,26,53.8,0,19,2,2,2
4,Recio,18.0,es  ESP,RW,29-353,10,0,0,0,0,0,0,1,0,4,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,2,1,0,0,0
5,Papakouli Diop,8.0,sn  SEN,AM,34-285,89,0,0,0,0,0,0,0,0,24,19,0,2,2,0.0,0.0,0.0,1,0,12,17,70.6,3,13,1,0,0
6,Sergio Cubero Ezcurra,31.0,es  ESP,AM,21-115,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
7,Sergio Álvarez,6.0,es  ESP,DM,28-341,90,0,0,0,0,0,0,1,0,27,24,4,0,0,0.0,0.0,0.0,0,0,15,20,75.0,1,18,1,0,0
8,Edu Expósito,10.0,es  ESP,DM,24-150,90,0,0,0,0,1,0,0,0,32,19,1,2,1,0.0,0.0,0.0,3,0,12,26,46.2,2,21,2,1,1
9,Rafa Soares,11.0,pt  POR,LB,25-234,90,0,0,0,0,1,0,0,0,55,13,5,3,4,0.0,0.0,0.0,1,0,28,41,68.3,4,20,2,0,1
10,Pedro Bigas,3.0,es  ESP,CB,30-105,90,0,0,0,0,0,0,0,0,18,7,1,1,0,0.0,0.0,0.0,0,0,10,15,66.7,2,5,1,0,0
11,Esteban Burgos,2.0,ar  ARG,CB,28-355,72,0,0,0,0,0,0,0,0,28,5,1,1,1,0.0,0.0,0.0,1,0,16,23,69.6,2,9,0,0,0
12,Paulo Oliveira,4.0,pt  POR,CB,28-356,18,0,0,0,0,0,0,0,0,6,2,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,0,0,0,0
13,Alejandro Pozo Pozo,22.0,es  ESP,RB,21-311,90,0,0,0,0,0,0,0,0,46,8,5,6,3,0.0,0.0,0.0,0,0,24,34,70.6,3,17,1,0,0
14,Marko Dmitrović,1.0,rs  SRB,GK,28-340,90,0,0,0,0,0,0,0,0,30,0,0,0,0,0.0,0.0,0.0,0,0,9,25,36.0,0,5,0,0,0
15,15 Players,,,,,990,1,0,0,0,9,3,2,0,389,182,22,17,21,0.6,0.6,0.1,11,1,173,283,61.1,19,187,19,5,13
