,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Martin Braithwaite,9.0,dk  DEN,FW,29-207,90,0,0,0,0,0,0,0,,0,8,4,50.0,1,4,3,0,0,0,0,0,0,1,0
1,Pedri,16.0,es  ESP,AM,18-034,88,1,1,0,1,0,0,1,0.0,1,9,5,55.6,5,4,0,1,0,0,1,0,1,0,0
2,Riqui Puig,12.0,es  ESP,AM,21-138,2,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0
3,Antoine Griezmann,7.0,fr  FRA,AM,29-283,65,0,0,0,0,0,0,1,0.0,1,9,5,55.6,0,7,2,2,0,0,2,0,0,0,0
4,Francisco Trincão,17.0,pt  POR,AM,21-000,25,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0
5,Frenkie de Jong,21.0,nl  NED,DM,23-231,90,1,0,1,0,0,0,0,,0,5,1,20.0,3,2,0,0,0,0,0,0,1,2,0
6,Miralem Pjanić,8.0,ba  BIH,DM,30-271,65,2,0,2,0,0,0,1,0.0,1,8,2,25.0,7,1,0,1,0,0,1,3,5,0,0
7,Philippe Coutinho,14.0,br  BRA,DM,28-200,25,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
8,Junior Firpo,24.0,es  ESP,WB,24-129,90,1,1,0,1,0,0,0,,0,14,6,42.9,8,3,3,5,3,0,2,2,3,0,0
9,Sergiño Dest,2.0,us  USA,WB,20-056,45,4,1,4,0,0,3,4,75.0,1,13,4,30.8,12,1,0,3,0,0,3,1,5,1,0
10,Ousmane Dembélé,11.0,fr  FRA,WB,23-228,45,1,0,0,1,0,0,0,,0,7,4,57.1,1,3,3,0,0,0,0,0,1,0,0
11,Clément Lenglet,15.0,fr  FRA,CB,25-195,81,1,1,1,0,0,0,0,,0,3,2,66.7,2,1,0,2,0,0,2,1,2,1,0
12,Sergio Busquets,5.0,es  ESP,CB,32-166,9,0,0,0,0,0,0,1,0.0,1,2,1,50.0,1,1,0,0,0,0,0,0,0,0,0
13,Ronald Araújo,4.0,uy  URU,CB,21-297,90,2,1,2,0,0,0,0,,0,12,6,50.0,8,4,0,3,1,0,2,0,2,5,1
14,Óscar Mingueza,28.0,es  ESP,CB,21-230,90,5,3,5,0,0,4,5,80.0,1,11,4,36.4,9,2,0,2,1,0,1,0,5,2,0
15,Marc-André ter Stegen,1.0,de  GER,GK,28-243,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
16,16 Players,,,,,990,18,8,15,3,0,7,13,53.8,6,103,46,44.7,57,33,13,19,5,0,14,7,25,12,1
