,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Martin Braithwaite,9.0,dk  DEN,FW,29-207,90,0,0,0,1,1,0,0,0,20,8,0,0,0,0.8,0.1,0.4,1,0,8,9,88.9,0,8,1,0,0
1,Pedri,16.0,es  ESP,AM,18-034,88,0,0,0,0,1,0,0,0,39,9,1,0,1,0.1,0.1,0.6,4,0,28,31,90.3,8,29,4,1,2
2,Riqui Puig,12.0,es  ESP,AM,21-138,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0
3,Antoine Griezmann,7.0,fr  FRA,AM,29-283,65,0,0,0,0,2,1,0,0,41,9,0,0,2,0.1,0.1,0.0,1,0,26,30,86.7,5,23,5,1,2
4,Francisco Trincão,17.0,pt  POR,AM,21-000,25,0,0,0,0,1,0,0,0,19,1,0,0,0,0.2,0.2,0.0,1,0,14,14,100.0,2,14,0,2,3
5,Frenkie de Jong,21.0,nl  NED,DM,23-231,90,0,0,0,0,1,1,0,0,98,5,1,0,0,0.1,0.1,0.0,1,0,85,90,94.4,9,61,5,1,3
6,Miralem Pjanić,8.0,ba  BIH,DM,30-271,65,0,0,0,0,1,0,0,0,80,8,2,3,1,0.0,0.0,0.0,3,0,64,72,88.9,4,53,2,3,3
7,Philippe Coutinho,14.0,br  BRA,DM,28-200,25,0,0,0,0,1,0,0,0,21,0,0,0,0,0.4,0.4,0.2,4,1,14,17,82.4,1,14,2,1,1
8,Junior Firpo,24.0,es  ESP,WB,24-129,90,0,1,0,0,0,0,0,0,89,14,1,2,5,0.0,0.0,0.3,4,1,61,75,81.3,7,58,7,1,3
9,Sergiño Dest,2.0,us  USA,WB,20-056,45,0,0,0,0,0,0,0,0,52,13,4,1,3,0.0,0.0,0.0,0,0,28,39,71.8,1,30,4,1,2
10,Ousmane Dembélé,11.0,fr  FRA,WB,23-228,45,1,0,0,0,3,2,0,0,38,7,1,0,0,0.7,0.7,0.3,5,0,22,29,75.9,4,28,10,2,3
11,Clément Lenglet,15.0,fr  FRA,CB,25-195,81,0,0,0,0,1,0,0,0,85,3,1,1,2,0.0,0.0,0.0,0,0,68,78,87.2,6,62,4,0,1
12,Sergio Busquets,5.0,es  ESP,CB,32-166,9,0,0,0,0,0,0,0,0,9,2,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,6,0,0,0
13,Ronald Araújo,4.0,uy  URU,CB,21-297,90,0,0,0,0,1,1,0,0,120,12,2,0,3,0.0,0.0,0.0,1,0,94,108,87.0,4,76,4,1,1
14,Óscar Mingueza,28.0,es  ESP,CB,21-230,90,0,0,0,0,2,0,0,0,95,11,5,0,2,0.1,0.1,0.0,1,0,75,85,88.2,4,67,3,0,0
15,Marc-André ter Stegen,1.0,de  GER,GK,28-243,90,0,0,0,0,0,0,0,0,41,0,0,0,0,0.0,0.0,0.0,0,0,35,39,89.7,0,30,0,0,0
16,16 Players,,,,,990,1,1,0,1,15,5,0,0,850,103,18,7,19,2.6,1.9,1.7,26,2,631,727,86.8,55,561,51,14,24
