,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Kike,17.0,es  ESP,FW,31-034,72,24,22,2,0,0,10,0,0,0,0,0,0,15,4,5,3,14,0,0,2,15,0,0,1,4
1,Yoshinori Mutō,12.0,jp  JPN,FW,28-167,18,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,1,0,0,0,0
2,Takashi Inui,14.0,jp  JPN,LW,32-210,90,22,20,2,0,0,2,1,2,0,0,0,0,13,3,6,2,15,2,2,0,13,0,1,0,2
3,Damian Kądzior,19.0,pl  POL,RW,28-196,80,26,17,9,2,0,3,3,3,7,2,4,1,9,4,13,22,2,1,0,1,14,0,0,0,2
4,Recio,18.0,es  ESP,RW,29-353,10,4,4,0,0,0,2,0,0,0,0,0,0,0,0,4,0,3,0,0,0,2,0,1,0,0
5,Papakouli Diop,8.0,sn  SEN,AM,34-285,89,17,17,0,0,0,5,0,0,0,0,0,0,11,4,2,1,13,2,0,0,12,0,0,1,1
6,Sergio Cubero Ezcurra,31.0,es  ESP,AM,21-115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Sergio Álvarez,6.0,es  ESP,DM,28-341,90,20,20,0,0,0,5,1,1,0,0,0,0,13,1,6,1,17,2,0,0,15,0,1,0,0
8,Edu Expósito,10.0,es  ESP,DM,24-150,90,26,26,0,0,0,5,0,2,0,0,0,0,11,6,9,7,17,1,0,0,12,0,1,1,3
9,Rafa Soares,11.0,pt  POR,LB,25-234,90,41,27,14,1,0,4,1,3,0,0,0,0,13,14,14,27,0,1,13,0,28,0,3,1,1
10,Pedro Bigas,3.0,es  ESP,CB,30-105,90,15,14,1,1,0,2,1,0,0,0,0,0,6,1,8,6,6,3,0,0,10,0,1,1,0
11,Esteban Burgos,2.0,ar  ARG,CB,28-355,72,23,19,4,4,0,3,1,0,0,0,0,0,8,3,12,5,13,4,0,0,16,0,1,0,0
12,Paulo Oliveira,4.0,pt  POR,CB,28-356,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,2,0,0,0,0
13,Alejandro Pozo Pozo,22.0,es  ESP,RB,21-311,90,34,26,8,0,0,1,1,0,0,0,0,0,17,8,9,4,21,1,8,0,24,0,2,2,1
14,Marko Dmitrović,1.0,rs  SRB,GK,28-340,90,25,10,15,3,0,1,0,0,0,0,0,0,2,0,23,19,4,0,0,1,9,0,1,0,0
15,15 Players,,,,,990,283,228,55,11,0,43,9,11,7,2,4,1,120,48,115,98,128,19,23,4,173,0,12,7,14
