,Possession_Barcelona,Possession_Eibar
0,72%,28%
1,Passing Accuracy,Passing Accuracy
2,631 of 727 —  87%,61%  — 173 of 283
3,Shots on Target,Shots on Target
4,5 of 15 —  33%,33%  — 3 of 9
5,Saves,Saves
6,2 of 3 —  66%,80%  — 4 of 5
7,Cards,Cards
8,,
