,#,team,M,W,D,L,G,GA,PTS,xG,xG_diff,NPxG,xGA,xGA_diff,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,xPTS_diff
0,1,Atletico Madrid,38,26,8,4,67,25,86,57.663944,-9.336056,52.30798800000001,35.668988999999996,10.668988999999996,32.696000000000005,19.611987999999997,10.889852035801786,13.225480498459024,310,165,66.41199999999999,-19.588000000000008
1,2,Real Madrid,38,25,9,4,67,28,84,65.07079700000001,-1.929202999999987,62.840967,38.70060819999999,10.70060819999999,32.7545122,30.0864548,10.541902650731103,15.192098283584903,326,171,69.9803,-14.0197
2,3,Barcelona,38,24,7,7,85,38,79,83.95857500000001,-1.0414249999999896,78.01249500000002,40.931473999999994,2.9314739999999944,37.215215,40.79728,9.913447715286152,17.83674710717827,499,166,78.184,-0.8160000000000025
3,4,Sevilla,38,24,5,9,53,33,77,55.861949999999986,2.861949999999986,50.65938299999999,34.334298,1.3342979999999969,29.844868399999996,20.8145146,8.476009232512006,15.878212618282104,240,139,66.9561,-10.043899999999994
4,5,Real Sociedad,38,17,11,10,59,38,62,63.145208,4.145207999999997,54.218641000000005,38.795144,0.7951440000000005,35.0793888,19.1392522,8.321595771607335,13.356801237150421,285,160,67.60880000000002,5.608800000000016
5,6,Real Betis,38,17,10,11,50,50,61,49.769453,-0.2305470000000014,41.429241999999995,47.51278800000001,-2.4872119999999924,40.080258,1.3489840000000002,9.63603212818138,11.176083505574159,224,180,55.36739999999999,-5.632600000000011
6,7,Villarreal,38,15,13,10,60,44,58,57.85546749999999,-2.144532500000011,48.1930165,43.67057530000001,-0.3294246999999899,36.981200300000005,11.211816199999998,10.32719022215674,12.11871638082011,291,182,63.772,5.7719999999999985
7,8,Celta Vigo,38,14,11,13,55,57,53,51.322761,-3.677239,46.120193099999995,50.31209899999999,-6.687901000000011,44.36587399999999,1.7543191000000005,7.595220507006397,12.053200759059925,217,187,52.833099999999995,-0.16690000000000538
8,9,Athletic Club,38,11,13,14,46,42,46,43.064086,-2.935913999999997,39.347949,38.463427499999995,-3.5365725000000054,34.00389150000001,5.344057500000002,10.288113864729661,10.426069458460507,202,197,54.77139999999999,8.771399999999993
9,10,Granada,38,13,7,18,47,65,46,41.051086,-5.948914000000002,37.33508080000001,59.815116,-5.184883999999997,50.605704,-13.270623200000003,11.991113332502502,7.385974783408835,128,234,40.577099999999994,-5.422900000000006
10,11,Osasuna,38,11,11,16,37,48,44,39.607773200000004,2.607773200000004,35.1480982,49.829737,1.8297370000000015,43.883767000000006,-8.735668800000001,11.372808645371943,9.161317585116796,172,243,45.1012,1.1011999999999986
11,12,Cadiz,38,11,11,16,36,58,44,36.699661799999994,0.6996617999999941,33.7266818,58.911565200000005,0.9115652000000054,51.478929699999995,-17.7522479,18.54599662884301,6.106691057088894,77,274,39.0109,-4.9891000000000005
12,13,Valencia,38,10,13,15,50,53,43,41.8892554,-8.110744599999997,34.4567274,55.687673,2.6876729999999966,49.74145899999999,-15.284731600000002,11.587900963424913,9.497927061492161,162,262,42.3776,-0.622399999999999
13,14,Levante,38,9,14,15,46,57,41,40.92699599999999,-5.073004000000012,36.467456999999996,55.128249999999994,-1.8717500000000058,52.15515699999999,-15.687699999999996,10.112809767851747,11.666750896945791,221,245,43.5272,2.5272000000000006
14,15,Getafe,38,9,11,18,28,43,38,35.6225876,7.622587600000003,31.9064676,40.402782,-2.597217999999998,34.3222751,-2.4158075,9.18389981264001,6.920553710345786,134,155,48.3871,10.387099999999997
15,16,Alaves,38,9,11,18,36,57,38,39.113484,3.1134839999999997,33.167519500000004,51.54706420000001,-5.452935799999992,49.31722420000001,-16.149704699999994,12.630768755041833,8.616113203382548,119,212,43.227500000000006,5.227500000000006
16,17,Elche,38,8,12,18,34,55,36,30.404304699999997,-3.5956953000000027,28.1744727,61.633158,6.633158000000002,54.200897,-26.026424300000002,14.650073397094319,9.33891657336837,78,280,30.311599999999995,-5.688400000000005
17,18,SD Huesca,38,7,13,18,34,53,34,37.975832,3.975831999999997,35.00272199999999,48.6355,-4.3645,44.919126999999996,-9.916405,12.567547411075157,8.891344124944634,98,215,45.2275,11.2275
18,19,Real Valladolid,38,5,16,17,34,57,31,37.917143200000005,3.9171432000000053,31.9710486,52.558762,-4.4412379999999985,47.356086000000005,-15.385037399999998,11.192845987963516,8.495311384570394,134,243,41.5329,10.532899999999998
19,20,Eibar,38,6,12,20,29,52,30,42.454483,13.454483000000003,35.63513,48.83583800000001,-3.1641619999999904,45.11944600000001,-9.484316,9.044682634059816,11.52550123464769,149,156,48.6234,18.623399999999997
