,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2020-09-26,18:15,Segunda División,Matchweek 3,Sat,Away,L,0,2,Sporting Gijón,63.0,,Juanpe,4-2-3-1,Alejandro Muñíz,Match Report,
1,2020-10-04,12:00,Segunda División,Matchweek 4,Sun,Home,L,0,1,Fuenlabrada,57.0,,Cristhian Stuani,4-4-2,Oliver De La Fuente,Match Report,
2,2020-10-11,16:00,Segunda División,Matchweek 5,Sun,Away,W,1,0,Leganés,40.0,,Aday,4-2-3-1,Juan Pulido,Match Report,
3,2020-10-18,20:30,Segunda División,Matchweek 6,Sun,Home,W,1,0,Oviedo,48.0,,Aday,4-2-3-1,Daniel Trujillo,Match Report,
4,2020-10-21,19:00,Segunda División,Matchweek 7,Wed,Away,L,0,3,Lugo,47.0,,Jonás Ramalho,4-2-3-1,Iosu Galech,Match Report,
5,2020-10-24,20:30,Segunda División,Matchweek 8,Sat,Away,W,1,0,Castellón,35.0,,Jonás Ramalho,3-1-4-2,Miguel Ángel Ortiz Arias,Match Report,
6,2020-10-27,19:00,Segunda División,Matchweek 9,Tue,Home,W,2,1,Cartagena,61.0,,Jonás Ramalho,4-4-2,Javier Villanueva,Match Report,
7,2020-11-01,21:00,Segunda División,Matchweek 10,Sun,Away,D,0,0,Almería,26.0,,Aday,4-5-1,Dámaso Arcediano,Match Report,
8,2020-11-04,19:00,Segunda División,Matchweek 1,Wed,Away,D,2,2,Zaragoza,32.0,,Aday,4-4-2,Francisco Hernández,Match Report,
9,2020-11-09,21:00,Segunda División,Matchweek 11,Mon,Home,D,1,1,Las Palmas,60.0,,Aday,4-3-3,Luis Milla,Match Report,
10,2020-11-14,18:30,Segunda División,Matchweek 12,Sat,Home,L,0,1,Mallorca,46.0,,Aday,4-4-2,Jon González,Match Report,
11,2020-11-20,21:00,Segunda División,Matchweek 13,Fri,Away,W,2,1,Espanyol,48.0,,Bernardo Espinosa,4-4-2,José López,Match Report,
12,2020-11-24,19:00,Segunda División,Matchweek 14,Tue,Home,L,0,1,Málaga,56.0,,Bernardo Espinosa,4-4-2,Miguel Ángel Ortiz Arias,Match Report,
13,2020-11-27,19:00,Segunda División,Matchweek 15,Fri,Away,L,0,1,Alcorcón,56.0,,Bernardo Espinosa,4-3-3,Iñaki Bikandi,Match Report,
