,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Deyverson,14.0,br  BRA,FW,29-176,56,0,0,0,0,0,0,1,0,24,12,0,1,0,0.0,0.0,0.0,1,0,10,19,52.6,1,11,1,0,0
1,Joselu,9.0,es  ESP,FW,30-218,34,0,0,0,0,1,1,0,0,24,11,2,0,2,0.0,0.0,0.0,0,0,8,13,61.5,0,7,0,0,1
2,Luis Rioja,11.0,es  ESP,LM,27-015,71,1,0,0,0,1,1,0,0,20,11,2,0,0,1.0,1.0,0.1,4,1,8,10,80.0,0,20,5,3,5
3,Manu García,19.0,es  ESP,LM,34-188,19,0,0,0,0,0,0,0,0,12,15,3,2,1,0.0,0.0,0.0,0,0,2,4,50.0,0,7,0,0,0
4,Jota,24.0,es  ESP,CM,29-137,61,0,0,0,0,0,0,2,1,30,25,2,0,1,0.0,0.0,0.0,0,0,13,20,65.0,0,20,6,0,1
5,Tomás Pina Isla,8.0,es  ESP,CM,33-017,71,0,0,0,0,0,0,0,0,30,25,1,1,3,0.0,0.0,0.0,0,0,13,18,72.2,1,14,3,0,0
6,Adrián Marín,17.0,es  ESP,CM,23-296,19,0,0,0,0,0,0,0,0,4,5,0,0,1,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,0,0
7,Édgar Méndez,16.0,es  ESP,RM,30-303,57,0,0,0,0,1,1,0,0,23,16,1,0,0,0.1,0.1,0.0,1,0,9,13,69.2,2,15,1,1,1
8,Tomás Tavares,37.0,pt  POR,RM,19-238,33,0,0,0,0,0,0,0,0,4,11,1,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0
9,Rodrigo Battaglia,6.0,ar  ARG,DM,29-111,90,0,0,0,0,0,0,0,0,35,34,3,1,4,0.0,0.0,0.0,0,0,17,23,73.9,0,17,1,0,1
10,Rubén Duarte,3.0,es  ESP,LB,25-013,90,0,0,0,0,0,0,1,0,38,22,3,3,4,0.0,0.0,0.0,1,0,15,25,60.0,2,14,1,0,0
11,Florian Lejeune,22.0,fr  FRA,CB,29-164,90,0,0,0,0,1,0,0,0,30,22,1,0,7,0.0,0.0,0.0,0,0,9,15,60.0,0,10,0,0,0
12,Víctor Laguardia,5.0,es  ESP,CB,30-361,90,0,0,0,0,0,0,0,0,26,4,1,0,2,0.0,0.0,0.0,0,0,11,18,61.1,0,13,0,0,0
13,Ximo Navarro,23.0,es  ESP,RB,30-282,40,0,0,0,0,0,0,0,0,26,5,4,0,0,0.0,0.0,0.0,0,0,15,22,68.2,1,11,0,0,0
14,Martin Agirregabiria,21.0,es  ESP,RB,24-174,50,0,0,0,0,0,0,0,0,14,4,0,2,0,0.0,0.0,0.0,0,0,6,9,66.7,0,6,0,0,0
15,Fernando Pacheco,1.0,es  ESP,GK,28-166,90,0,0,0,0,0,0,0,0,33,0,0,0,0,0.0,0.0,0.0,0,0,16,25,64.0,0,4,0,0,0
16,16 Players,,,,,961,1,0,0,0,4,3,4,1,373,222,24,10,25,1.1,1.1,0.2,7,1,154,238,64.7,7,173,18,4,9
