,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Memphis Depay,9.0,nl  NED,"FW,LW",27-197,90,1,0,0,3,3,0,0,0,0,0,0,0,6,1,1,50.0
1,Martin Braithwaite,12.0,dk  DEN,"LW,FW",30-085,73,0,0,0,3,0,1,0,0,0,0,0,0,3,1,2,33.3
2,Nicolás González,28.0,es  ESP,CM,19-238,17,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0
3,Antoine Griezmann,7.0,fr  FRA,RW,30-161,83,0,0,0,0,0,0,0,4,3,0,0,0,2,2,0,100.0
4,Óscar Mingueza,29.0,es  ESP,"RB,RW",22-108,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
5,Frenkie de Jong,21.0,nl  NED,CM,24-109,90,0,0,0,1,5,0,0,1,3,0,0,0,9,0,1,0.0
6,Sergi Roberto,20.0,es  ESP,CM,29-203,73,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,
7,Gavi Paez,30.0,es  ESP,FW,17-024,17,0,0,0,0,2,0,0,0,1,0,0,0,3,2,1,66.7
8,Sergio Busquets,5.0,es  ESP,DM,33-044,90,0,0,0,2,1,1,0,1,2,0,0,0,9,1,0,100.0
9,Jordi Alba,18.0,es  ESP,LB,32-161,90,0,0,0,2,1,1,4,2,1,0,0,0,7,0,2,0.0
10,Clément Lenglet,15.0,fr  FRA,CB,26-073,90,1,0,0,3,2,0,0,2,2,0,0,0,12,4,4,50.0
11,Ronald Araújo,4.0,uy  URU,CB,22-175,90,1,0,0,1,2,0,0,3,1,0,0,0,11,1,2,33.3
12,Emerson,22.0,br  BRA,RB,22-227,62,0,0,0,1,1,0,1,2,3,0,0,0,4,0,1,0.0
13,Sergiño Dest,2.0,us  USA,"RB,RW",20-299,28,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,
14,Marc-André ter Stegen,1.0,de  GER,GK,29-121,90,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,
15,15 Players,,,,,990,3,0,0,18,20,3,7,15,17,0,0,0,80,12,15,44.4
