,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Sandro Ramírez,12.0,es  ESP,FW,26-051,60,20,17,3,0,0,8,0,2,0,0,0,0,14,3,3,0,16,1,0,1,16,0,0,2,0
1,Jaime Mata,7.0,es  ESP,FW,32-309,30,8,8,0,0,0,4,1,1,0,0,0,0,5,1,2,1,5,0,0,0,6,0,0,0,0
2,Enes Ünal,10.0,tr  TUR,FW,24-111,75,12,12,0,0,0,5,0,1,0,0,0,0,9,2,1,0,9,2,0,1,8,0,0,1,1
3,José Juan Macías,9.0,mx  MEX,FW,21-341,15,4,4,0,0,0,1,0,1,0,0,0,0,2,0,2,0,3,0,0,0,3,0,0,0,0
4,Jakub Jankto,16.0,cz  CZE,LM,25-222,90,29,25,4,1,0,9,1,2,0,0,0,0,18,4,7,17,6,2,3,0,22,1,0,1,2
5,Carles Aleñá,11.0,es  ESP,RM,23-236,60,23,22,1,0,0,4,0,0,1,1,0,0,20,1,2,19,3,1,0,0,22,0,0,1,0
6,David Timor,24.0,es  ESP,RM,31-316,30,9,8,1,1,0,5,1,0,0,0,0,0,6,0,3,7,0,0,0,0,8,0,0,0,0
7,Mauro Arambarri,18.0,uy  URU,DM,25-333,90,31,27,4,4,0,7,2,0,0,0,0,0,26,1,4,3,26,1,0,0,25,0,0,2,0
8,Nemanja Maksimović,20.0,rs  SRB,DM,26-215,90,32,31,1,0,0,6,1,0,1,0,0,0,21,1,10,4,23,5,0,0,22,0,0,0,0
9,Mathías Olivera,17.0,uy  URU,LB,23-302,90,37,31,6,1,0,14,1,0,0,0,0,0,27,1,9,29,1,1,5,1,29,0,0,3,2
10,Stefan Mitrović,23.0,rs  SRB,CB,31-099,90,39,36,3,3,0,11,1,0,0,0,0,0,27,2,10,20,14,2,0,1,35,0,1,1,0
11,Djené,2.0,tg  TOG,CB,29-241,83,36,32,4,4,0,5,1,0,0,0,0,0,27,1,8,5,27,4,0,0,28,0,0,1,0
12,Emmanuel Amankwaa Akurugu,28.0,gh  GHA,CB,19-282,7,4,3,1,0,0,0,0,0,0,0,0,0,2,1,1,2,0,1,1,0,2,0,1,0,0
13,Iglesias,21.0,es  ESP,RB,23-057,45,16,13,3,0,0,3,0,0,0,0,0,0,8,2,6,1,10,1,3,0,10,0,1,1,2
14,Damián Suárez,22.0,uy  URU,RB,33-124,45,23,17,6,3,0,10,2,1,0,0,0,0,9,6,8,0,17,1,3,0,12,0,0,0,4
15,David Soria,13.0,es  ESP,GK,28-147,90,35,30,5,2,0,3,4,0,0,0,0,0,11,0,24,1,32,0,0,1,23,0,1,1,0
16,16 Players,,,,,990,358,316,42,19,0,95,15,8,2,1,0,0,232,26,100,109,192,22,15,5,271,1,4,14,11
