,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Sandro Ramírez,12.0,es  ESP,FW,26-051,60,16,20,80.0,270,42,9,10,90.0,4,6,66.7,2,3,66.7,0,0.0,0,1,0,0,1
1,Jaime Mata,7.0,es  ESP,FW,32-309,30,6,8,75.0,74,39,3,4,75.0,2,2,100.0,0,1,0.0,0,0.0,0,1,0,0,1
2,Enes Ünal,10.0,tr  TUR,FW,24-111,75,8,12,66.7,79,38,4,6,66.7,2,3,66.7,0,0,,0,0.1,2,2,1,1,1
3,José Juan Macías,9.0,mx  MEX,FW,21-341,15,3,4,75.0,44,16,2,2,100.0,1,1,100.0,0,1,0.0,0,0.0,0,1,0,0,1
4,Jakub Jankto,16.0,cz  CZE,LM,25-222,90,22,29,75.9,420,155,7,9,77.8,10,11,90.9,4,8,50.0,0,0.0,1,2,1,1,2
5,Carles Aleñá,11.0,es  ESP,RM,23-236,60,22,23,95.7,365,140,11,12,91.7,9,9,100.0,2,2,100.0,1,0.1,1,1,1,0,4
6,David Timor,24.0,es  ESP,RM,31-316,30,8,9,88.9,214,93,2,2,100.0,3,4,75.0,3,3,100.0,0,0.0,0,2,2,0,4
7,Mauro Arambarri,18.0,uy  URU,DM,25-333,90,25,31,80.6,482,117,8,11,72.7,11,13,84.6,4,5,80.0,0,0.0,0,0,0,0,0
8,Nemanja Maksimović,20.0,rs  SRB,DM,26-215,90,22,32,68.8,327,65,11,12,91.7,8,14,57.1,1,4,25.0,0,0.1,2,0,0,0,0
9,Mathías Olivera,17.0,uy  URU,LB,23-302,90,29,37,78.4,527,186,12,13,92.3,14,16,87.5,3,5,60.0,0,0.1,1,2,1,0,3
10,Stefan Mitrović,23.0,rs  SRB,CB,31-099,90,35,39,89.7,807,252,8,8,100.0,19,20,95.0,7,10,70.0,0,0.0,0,1,0,0,2
11,Djené,2.0,tg  TOG,CB,29-241,83,28,36,77.8,678,95,4,5,80.0,17,20,85.0,7,11,63.6,0,0.0,0,1,0,0,1
12,Emmanuel Amankwaa Akurugu,28.0,gh  GHA,CB,19-282,7,2,4,50.0,41,5,1,2,50.0,0,0,,1,2,50.0,0,0.0,0,0,0,0,0
13,Iglesias,21.0,es  ESP,RB,23-057,45,10,16,62.5,206,90,3,4,75.0,6,6,100.0,1,3,33.3,0,0.0,1,0,0,0,1
14,Damián Suárez,22.0,uy  URU,RB,33-124,45,12,23,52.2,314,131,5,8,62.5,2,4,50.0,5,8,62.5,0,0.0,0,1,1,1,2
15,David Soria,13.0,es  ESP,GK,28-147,90,23,35,65.7,906,574,2,2,100.0,6,6,100.0,15,27,55.6,0,0.0,0,0,0,0,0
16,16 Players,,,,,990,271,358,75.7,5754,2038,92,110,83.6,114,135,84.4,55,93,59.1,1,0.4,8,15,7,3,23
