,Possession_Barcelona,Possession_Getafe
0,67%,33%
1,Passing Accuracy,Passing Accuracy
2,617 of 716 —  86%,76%  — 271 of 358
3,Shots on Target,Shots on Target
4,3 of 7 —  43%,38%  — 3 of 8
5,Saves,Saves
6,2 of 3 —  66%,33%  — 1 of 3
7,Cards,Cards
8,,
