,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2021-08-13,21:00,La Liga,Matchweek 1,Fri,Home,W,1,0,Getafe,1.2,1.4,27,9868.0,José Luis Gayà,4-4-2,Jesús Gil,Match Report,
1,2021-08-21,19:30,La Liga,Matchweek 2,Sat,Away,D,1,1,Granada,1.9,1.0,53,6267.0,José Luis Gayà,4-4-2,Carlos del Cerro,Match Report,
2,2021-08-27,22:15,La Liga,Matchweek 3,Fri,Home,W,3,0,Alavés,1.7,0.5,49,10627.0,José Luis Gayà,4-4-2,Miguel Ángel Ortiz Arias,Match Report,
3,2021-09-12,16:15,La Liga,Matchweek 4,Sun,Away,W,4,1,Osasuna,0.9,0.7,42,13940.0,José Luis Gayà,4-4-2,Ricardo de Burgos,Match Report,
4,2021-09-19,21:00,La Liga,Matchweek 5,Sun,Home,L,1,2,Real Madrid,1.4,1.4,39,26689.0,Carlos Soler,4-4-2,Pablo González,Match Report,
5,2021-09-22,19:30,La Liga,Matchweek 6,Wed,Away,L,1,3,Sevilla,0.4,1.1,42,23654.0,Gabriel Paulista,4-4-2,José Sánchez,Match Report,
6,2021-09-25,16:15,La Liga,Matchweek 7,Sat,Home,D,1,1,Athletic Club,1.0,1.0,52,13680.0,Gabriel Paulista,4-4-2,Alejandro Hernández,Match Report,
7,2021-10-02,18:30,La Liga,Matchweek 8,Sat,Away,D,0,0,Cádiz,1.4,0.2,67,14794.0,Gabriel Paulista,4-4-2,Valentín Pizarro,Match Report,
8,2021-10-17,21:00,La Liga,Matchweek 9,Sun,Away,L,1,3,Barcelona,0.5,2.1,40,47317.0,José Luis Gayà,4-1-4-1,Jesús Gil,Match Report,
9,2021-10-23,14:00,La Liga,Matchweek 10,Sat,Home,D,2,2,Mallorca,2.2,0.7,73,29139.0,José Luis Gayà,4-4-2,Carlos del Cerro,Match Report,
10,2021-10-27,20:00,La Liga,Matchweek 11,Wed,Away,L,1,4,Betis,2.0,1.9,40,43123.0,José Luis Gayà,4-4-2,Isidro Díaz de Mera,Match Report,
