,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-08-14,19:30,La Liga,Matchweek 1,Sun,Home,W,1.0,0.0,Girona,1.6,0.1,46.0,39359.0,Carlos Soler,4-3-3,Jorge Figueroa,Match Report,
1,2022-08-21,17:30,La Liga,Matchweek 2,Sun,Away,L,0.0,1.0,Athletic Club,0.7,1.0,62.0,43333.0,Carlos Soler,4-3-3,César Soto,Match Report,
2,2022-08-29,22:00,La Liga,Matchweek 3,Mon,Home,L,0.0,1.0,Atlético Madrid,0.5,1.5,69.0,43910.0,Carlos Soler,4-2-3-1,Guillermo Cuadra,Match Report,
3,2022-09-04,21:00,La Liga,Matchweek 4,Sun,Home,W,5.0,1.0,Getafe,2.3,0.2,69.0,38725.0,Toni Lato,4-3-3,José Luis Munuera,Match Report,
4,2022-09-10,14:00,La Liga,Matchweek 5,Sat,Away,L,1.0,2.0,Rayo Vallecano,1.7,1.7,54.0,12085.0,José Luis Gayà,4-2-3-1,Jesús Gil,Match Report,
5,2022-09-17,18:30,La Liga,Matchweek 6,Sat,Home,W,3.0,0.0,Celta Vigo,1.7,0.5,65.0,40965.0,José Luis Gayà,4-3-3,Pablo González,Match Report,
6,2022-10-02,14:00,La Liga,Matchweek 7,Sun,Away,D,2.0,2.0,Espanyol,1.1,0.8,62.0,19766.0,José Luis Gayà,4-3-3,Valentín Pizarro,Match Report,
7,2022-10-07,21:00,La Liga,Matchweek 8,Fri,Away,W,2.0,1.0,Osasuna,2.1,1.6,56.0,20260.0,José Luis Gayà,4-4-2,Miguel Ángel Ortiz Arias,Match Report,
8,2022-10-15,16:15,La Liga,Matchweek 9,Sat,Home,D,2.0,2.0,Elche,2.7,1.7,60.0,41805.0,José Luis Gayà,4-3-3,Juan Pulido,Match Report,
9,2022-10-18,19:00,La Liga,Matchweek 10,Tue,Away,D,1.0,1.0,Sevilla,1.8,1.1,36.0,37353.0,José Luis Gayà,5-4-1,César Soto,Match Report,
10,2022-10-22,18:30,La Liga,Matchweek 11,Sat,Home,L,1.0,2.0,Mallorca,1.2,1.5,67.0,41199.0,José Luis Gayà,4-3-3,José Sánchez,Match Report,
11,2022-10-29,21:00,La Liga,Matchweek 12,Sat,Home,L,0.0,1.0,Barcelona,0.2,1.6,33.0,46007.0,José Luis Gayà,4-3-3,Ricardo de Burgos,Match Report,
12,2022-11-06,16:15,La Liga,Matchweek 13,Sun,Away,D,1.0,1.0,Real Sociedad,0.9,1.1,71.0,32773.0,José Luis Gayà,4-3-3,José Luis Munuera,Match Report,
13,2022-11-10,20:00,La Liga,Matchweek 14,Thu,Home,W,3.0,0.0,Betis,2.0,0.2,62.0,39876.0,José Luis Gayà,4-3-3,Miguel Ángel Ortiz Arias,Match Report,
14,2022-12-31,16:15,La Liga,Matchweek 15,Sat,Away,L,1.0,2.0,Villarreal,1.4,2.5,48.0,19247.0,José Luis Gayà,4-3-3,José Sánchez,Match Report,
15,2023-01-03,19:00,Copa del Rey,Round of 32,Tue,Away,W,3.0,0.0,CF La Nucía,,,58.0,7000.0,Gabriel Paulista,3-4-3,Mario Melero,Match Report,
16,2023-01-06,21:00,La Liga,Matchweek 16,Fri,Home,L,0.0,1.0,Cádiz,0.4,0.4,73.0,39003.0,José Luis Gayà,4-3-3,Pablo González,Match Report,
17,2023-01-11,22:00,Supercopa de España,Semi-finals,Wed,Away,,,,Real Madrid,,,,,,,,Head-to-Head,
18,2023-01-18,,Copa del Rey,Round of 16,Wed,Away,,,,Sporting Gijón,,,,,,,,Head-to-Head,
19,2023-01-22,,La Liga,Matchweek 18,Sun,Home,,,,Almería,,,,,,,,Head-to-Head,
20,2023-01-29,,La Liga,Matchweek 19,Sun,Away,,,,Valladolid,,,,,,,,Head-to-Head,
21,2023-02-02,21:00,La Liga,Matchweek 17,Thu,Away,,,,Real Madrid,,,,,,,,Head-to-Head,
22,2023-02-05,,La Liga,Matchweek 20,Sun,Away,,,,Girona,,,,,,,,Head-to-Head,
23,2023-02-12,,La Liga,Matchweek 21,Sun,Home,,,,Athletic Club,,,,,,,,Head-to-Head,
24,2023-02-19,,La Liga,Matchweek 22,Sun,Away,,,,Getafe,,,,,,,,Head-to-Head,
25,2023-02-26,,La Liga,Matchweek 23,Sun,Home,,,,Real Sociedad,,,,,,,,Head-to-Head,
26,2023-03-05,,La Liga,Matchweek 24,Sun,Away,,,,Barcelona,,,,,,,,Head-to-Head,
27,2023-03-12,,La Liga,Matchweek 25,Sun,Home,,,,Osasuna,,,,,,,,Head-to-Head,
28,2023-03-19,,La Liga,Matchweek 26,Sun,Away,,,,Atlético Madrid,,,,,,,,Head-to-Head,
29,2023-04-02,,La Liga,Matchweek 27,Sun,Home,,,,Rayo Vallecano,,,,,,,,Head-to-Head,
30,2023-04-09,,La Liga,Matchweek 28,Sun,Away,,,,Almería,,,,,,,,Head-to-Head,
31,2023-04-16,,La Liga,Matchweek 29,Sun,Home,,,,Sevilla,,,,,,,,Head-to-Head,
