,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
0,Sabit Abdulai,gh  GHA,MF,Getafe,21-357,1999,2,0,51,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1,Marcos Acuña,ar  ARG,DF,Sevilla,29-187,1991,26,23,2028,22.5,1,2,1,0,0,4,0,0.04,0.09,0.13,0.04,0.13,1.0,1.0,2.4,3.4,0.04,0.11,0.15,0.04,0.15
2,Bobby Adekanye,nl  NED,"FW,MF",Cádiz,22-078,1999,3,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.43,0.00,0.43,0.43,0.43
3,Martin Agirregabiria,es  ESP,"DF,MF",Alavés,24-358,1996,23,14,1374,15.3,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.9,1.1,0.01,0.06,0.07,0.01,0.07
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,25-216,1995,23,13,1176,13.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,1.2,0.05,0.04,0.09,0.05,0.09
5,Carlos Akapo,gq  EQG,DF,Cádiz,28-052,1993,10,7,666,7.4,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.04,0.04,0.00,0.04
6,Paul Akouokou,ci  CIV,MF,Betis,23-134,1997,10,4,378,4.2,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.08,0.08,0.00,0.08
7,Jony Álamo,es  ESP,MF,Elche,19-220,2001,1,1,73,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02
8,Jordi Alba,es  ESP,DF,Barcelona,32-043,1989,31,31,2710,30.1,3,5,3,0,0,8,0,0.10,0.17,0.27,0.10,0.27,2.0,2.0,6.6,8.6,0.07,0.23,0.30,0.07,0.30
9,Raúl Albiol,es  ESP,DF,Villarreal,35-241,1985,31,31,2755,30.6,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.02,0.00,0.02,0.02,0.02
10,Paco Alcácer,es  ESP,FW,Villarreal,27-246,1993,24,18,1449,16.1,6,4,5,1,2,0,0,0.37,0.25,0.62,0.31,0.56,8.3,6.7,3.1,9.8,0.51,0.19,0.71,0.42,0.61
11,Pedro Alcalá,es  ESP,DF,Cádiz,32-045,1989,10,6,723,8.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01
12,Rubén Alcaraz,es  ESP,MF,Valladolid,30-002,1991,27,23,2020,22.4,1,0,1,0,0,9,0,0.04,0.00,0.04,0.04,0.04,1.5,1.5,0.6,2.1,0.07,0.03,0.09,0.07,0.09
13,Iván Alejo,es  ESP,"MF,FW",Cádiz,26-082,1995,20,4,682,7.6,1,1,1,0,0,4,0,0.13,0.13,0.26,0.13,0.26,0.9,0.9,0.5,1.4,0.13,0.08,0.21,0.13,0.21
14,Alfon,es  ESP,MF,Celta Vigo,21-364,1999,2,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.13,0.22,0.35,0.13,0.35
15,Sergio Álvarez,es  ESP,"MF,DF",Eibar,29-100,1992,26,17,1539,17.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.2,0.02,0.05,0.07,0.02,0.07
16,Yeray Álvarez,es  ESP,DF,Athletic Club,26-099,1995,20,19,1678,18.6,1,0,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05,0.5,0.5,0.4,0.9,0.03,0.02,0.05,0.03,0.05
17,Emmanuel Amankwaa Akurugu,gh  GHA,DF,Getafe,19-164,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
18,Jon Ander Garrido,es  ESP,MF,Cádiz,31-206,1989,20,6,688,7.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.4,0.05,0.01,0.05,0.05,0.05
19,Ángel,es  ESP,GK,Granada,18-315,2002,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
20,Miguel Ángel Rubio,es  ESP,DF,Valladolid,23-053,1998,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02
21,José Ángel,es  ESP,DF,Eibar,31-240,1989,11,8,642,7.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.07,0.07,0.00,0.07
22,José Antonio Miranda,gq  EQG,"MF,DF",Getafe,22-285,1998,3,0,23,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.78,0.00,0.78,0.78,0.78
23,Aritz Arambarri,es  ESP,DF,Real Sociedad,23-092,1998,1,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.50,0.00,0.50,0.50,0.50
24,Mauro Arambarri,uy  URU,MF,Getafe,25-215,1995,32,31,2803,31.1,3,0,3,0,0,10,0,0.10,0.00,0.10,0.10,0.10,2.2,2.2,2.1,4.3,0.07,0.07,0.14,0.07,0.14
25,Néstor Araujo,mx  MEX,DF,Celta Vigo,29-247,1991,30,23,2156,24.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,1.0,0.01,0.03,0.04,0.01,0.04
26,Ronald Araújo,uy  URU,DF,Barcelona,22-057,1999,20,13,1240,13.8,2,1,2,0,0,2,0,0.15,0.07,0.22,0.15,0.22,0.7,0.7,0.1,0.7,0.05,0.00,0.06,0.05,0.06
27,Anaitz Arbilla,es  ESP,DF,Eibar,33-353,1987,30,26,2447,27.2,0,1,0,0,0,8,0,0.00,0.04,0.04,0.00,0.04,1.1,1.1,0.9,2.0,0.04,0.03,0.07,0.04,0.07
28,Unai Arietaleanizbeaskoa,es  ESP,"FW,MF",Eibar,22-122,1999,4,0,47,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04
29,Sergio Arribas,es  ESP,"FW,DF",Real Madrid,19-215,2001,8,0,135,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.03,0.05,0.02,0.05
30,Sergio Asenjo,es  ESP,GK,Villarreal,31-309,1989,33,33,2970,33.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
31,Marco Asensio,es  ESP,"FW,MF",Real Madrid,25-102,1996,31,20,1728,19.2,4,2,4,0,0,1,0,0.21,0.10,0.31,0.21,0.31,4.6,4.6,3.0,7.7,0.24,0.16,0.40,0.24,0.40
32,Iago Aspas,es  ESP,FW,Celta Vigo,33-275,1987,30,30,2607,29.0,13,11,9,4,4,8,0,0.45,0.38,0.83,0.31,0.69,11.5,8.4,8.2,16.6,0.40,0.28,0.68,0.29,0.57
33,Miguel Atienza,es  ESP,MF,Eibar,21-341,1999,8,5,492,5.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02
34,Ezequiel Ávila,ar  ARG,"FW,MF",Osasuna,27-086,1994,5,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.26,0.00,0.26,0.26,0.26
35,Ramon Azeez,ng  NGA,"MF,DF",Granada,28-142,1992,2,1,101,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.15,0.00,0.15,0.15,0.15
36,Carlos Bacca,co  COL,FW,Villarreal,34-237,1986,21,7,641,7.1,2,0,2,0,0,1,0,0.28,0.00,0.28,0.28,0.28,2.6,2.6,0.9,3.6,0.37,0.13,0.50,0.37,0.50
37,Édgar Badía,es  ESP,GK,Elche,29-080,1992,30,30,2700,30.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
38,Alex Baena,es  ESP,MF,Villarreal,19-287,2001,4,2,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.05,0.05,0.10,0.05,0.10
39,Miguel Baeza,es  ESP,"MF,FW",Celta Vigo,21-037,2000,20,4,521,5.8,1,0,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,1.5,1.5,0.6,2.2,0.27,0.11,0.37,0.27,0.37
40,Mikel Balenziaga,es  ESP,DF,Athletic Club,33-063,1988,18,12,1239,13.8,0,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,0.0,0.0,0.3,0.4,0.00,0.02,0.03,0.00,0.03
41,Barcia,es  ESP,DF,Granada,20-123,2000,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
42,Enis Bardhi,mk  MKD,"MF,FW",Levante,25-305,1995,23,17,1521,16.9,1,2,1,0,0,4,0,0.06,0.12,0.18,0.06,0.18,2.6,2.6,1.0,3.6,0.15,0.06,0.21,0.15,0.21
43,Kike Barja,es  ESP,"MF,FW",Osasuna,24-032,1997,30,14,1191,13.2,2,3,2,0,0,2,0,0.15,0.23,0.38,0.15,0.38,1.6,1.6,1.9,3.4,0.12,0.14,0.26,0.12,0.26
44,Marc Baró Ortiz,es  ESP,DF,Cádiz,21-253,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.02,0.33,0.35,0.02,0.35
45,Antonio Barragán,es  ESP,DF,Elche,33-325,1987,24,23,1965,21.8,0,3,0,0,0,7,0,0.00,0.14,0.14,0.00,0.14,0.6,0.6,1.0,1.6,0.03,0.04,0.07,0.03,0.07
46,Ander Barrenetxea,es  ESP,"MF,FW",Real Sociedad,19-127,2001,28,12,1163,12.9,3,0,3,0,0,7,0,0.23,0.00,0.23,0.23,0.23,1.5,1.5,1.9,3.4,0.12,0.15,0.26,0.12,0.26
47,Marc Bartra,es  ESP,DF,Betis,30-108,1991,15,15,1334,14.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.5,0.03,0.00,0.03,0.03,0.03
48,Rodrigo Battaglia,ar  ARG,MF,Alavés,29-295,1991,29,27,2299,25.5,1,0,1,0,0,9,1,0.04,0.00,0.04,0.04,0.04,0.8,0.8,0.2,0.9,0.03,0.01,0.04,0.03,0.04
49,Jon Bautista,es  ESP,"FW,MF",Real Sociedad,25-304,1995,18,0,286,3.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.7,0.18,0.05,0.23,0.18,0.23
50,Fran Beltrán,es  ESP,MF,Celta Vigo,22-089,1999,28,9,1049,11.7,3,0,3,0,0,3,0,0.26,0.00,0.26,0.26,0.26,1.4,1.4,0.3,1.6,0.12,0.02,0.14,0.12,0.14
51,Sergio Benito,es  ESP,FW,Valladolid,22-041,1999,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
52,Karim Benzema,fr  FRA,FW,Real Madrid,33-135,1987,30,29,2548,28.3,21,8,20,1,1,2,0,0.74,0.28,1.02,0.71,0.99,16.7,16.0,5.8,21.8,0.59,0.21,0.80,0.56,0.77
53,Yuri Berchiche,es  ESP,DF,Athletic Club,31-082,1990,23,21,1682,18.7,1,3,1,0,0,3,0,0.05,0.16,0.21,0.05,0.21,0.8,0.8,1.9,2.7,0.04,0.10,0.14,0.04,0.14
54,Álex Berenguer,es  ESP,"MF,FW",Athletic Club,25-303,1995,30,23,1932,21.5,8,3,8,0,0,3,0,0.37,0.14,0.51,0.37,0.51,5.9,5.9,3.1,9.0,0.27,0.14,0.42,0.27,0.42
55,Pedro Bigas,es  ESP,DF,Eibar,30-230,1990,20,19,1514,16.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.0,0.9,0.05,0.00,0.05,0.05,0.05
56,Blanco,es  ESP,"MF,DF",Real Madrid,20-284,2000,4,2,220,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.03,0.04,0.02,0.04
57,Alejandro Blanco,es  ESP,MF,Valencia,22-138,1998,13,6,580,6.4,1,0,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,0.8,0.8,0.5,1.3,0.12,0.08,0.20,0.12,0.20
58,Rubén Blanco,es  ESP,GK,Celta Vigo,25-282,1995,19,19,1637,18.2,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
59,Yann Bodiger,fr  FRA,MF,Cádiz,26-083,1995,9,2,251,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05
60,Yassine Bounou,ma  MAR,GK,Sevilla,30-028,1991,29,29,2610,29.0,1,0,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,0.3,0.3,0.0,0.4,0.01,0.00,0.01,0.01,0.01
61,Lucas Boyé,ar  ARG,FW,Elche,25-064,1996,30,28,2366,26.3,6,1,6,0,0,9,1,0.23,0.04,0.27,0.23,0.27,4.4,4.4,0.9,5.3,0.17,0.04,0.20,0.17,0.20
62,Martin Braithwaite,dk  DEN,FW,Barcelona,29-332,1991,26,11,1099,12.2,2,2,2,0,1,3,0,0.16,0.16,0.33,0.16,0.33,4.9,4.1,2.0,6.1,0.40,0.17,0.57,0.34,0.50
63,Darko Brašanac,rs  SRB,MF,Osasuna,29-080,1992,14,7,730,8.1,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.9,0.9,0.1,1.0,0.11,0.02,0.13,0.11,0.13
64,Álvaro Bravo,es  ESP,MF,Granada,23-088,1998,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
65,Claudio Bravo,cl  CHI,GK,Betis,38-020,1983,16,16,1440,16.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01
66,Yan Brice Eteki,cm  CMR,MF,Granada,23-250,1997,21,13,1054,11.7,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.02,0.00,0.02,0.02,0.02
67,Juan Brunet,ar  ARG,MF,Granada,23-099,1998,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
68,Ante Budimir,hr  CRO,FW,Osasuna,29-285,1991,26,15,1346,15.0,7,0,7,0,0,2,0,0.47,0.00,0.47,0.47,0.47,6.5,6.5,0.6,7.1,0.43,0.04,0.47,0.43,0.47
69,Esteban Burgos,ar  ARG,DF,Eibar,29-114,1992,14,12,1111,12.3,3,1,1,2,3,5,0,0.24,0.08,0.32,0.08,0.16,3.3,1.1,0.1,1.2,0.27,0.01,0.28,0.09,0.10
70,Burgui,es  ESP,MF,Alavés,27-186,1993,1,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
71,Sergio Busquets,es  ESP,MF,Barcelona,32-291,1988,32,28,2243,24.9,0,4,0,0,0,8,0,0.00,0.16,0.16,0.00,0.16,0.1,0.1,3.2,3.3,0.00,0.13,0.14,0.00,0.14
72,Erick Cabaco,uy  URU,DF,Getafe,26-014,1995,19,15,1323,14.7,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02
73,Cala,es  ESP,DF,Cádiz,31-158,1989,28,26,2272,25.2,3,0,3,0,0,8,0,0.12,0.00,0.12,0.12,0.12,1.4,1.4,0.3,1.7,0.06,0.01,0.07,0.06,0.07
74,Jonathan Calleri,ar  ARG,FW,Osasuna,27-222,1993,25,20,1544,17.2,5,2,5,0,0,4,0,0.29,0.12,0.41,0.29,0.41,5.9,5.9,1.3,7.2,0.34,0.08,0.42,0.34,0.42
75,Dani Calvo,es  ESP,DF,Elche,27-032,1994,20,16,1509,16.8,2,0,2,0,0,3,0,0.12,0.00,0.12,0.12,0.12,0.9,0.9,0.0,0.9,0.05,0.00,0.05,0.05,0.05
76,José Campaña,es  ESP,MF,Levante,27-337,1993,9,8,748,8.3,1,2,0,1,1,0,0,0.12,0.24,0.36,0.00,0.24,1.4,0.7,1.4,2.0,0.17,0.16,0.34,0.08,0.25
77,Sergio Canales,es  ESP,"MF,FW",Betis,30-076,1991,28,26,2316,25.7,8,6,6,2,3,4,0,0.31,0.23,0.54,0.23,0.47,5.1,2.7,4.5,7.2,0.21,0.18,0.39,0.11,0.29
78,Ander Capa,es  ESP,DF,Athletic Club,29-084,1992,28,25,2131,23.7,2,1,2,0,0,5,0,0.08,0.04,0.13,0.08,0.13,1.1,1.1,1.6,2.7,0.05,0.07,0.11,0.05,0.11
79,Étienne Capoue,fr  FRA,MF,Villarreal,32-296,1988,13,12,977,10.9,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.03,0.01,0.04,0.03,0.04
80,Isaac Carcelen,es  ESP,DF,Cádiz,28-010,1993,29,28,2311,25.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.9,0.01,0.02,0.03,0.01,0.03
81,Cárdenas,es  ESP,GK,Levante,24-036,1997,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
82,Marc Cardona,es  ESP,"FW,MF",Osasuna,25-299,1995,3,0,53,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.30,0.00,0.30,0.30,0.30
83,Diego Carlos,br  BRA,DF,Sevilla,28-049,1993,29,28,2473,27.5,1,0,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,0.9,0.9,0.6,1.5,0.03,0.02,0.05,0.03,0.05
84,Juan Carlos,es  ESP,"MF,FW",Huesca,30-049,1991,15,3,291,3.2,0,1,0,0,0,0,0,0.00,0.31,0.31,0.00,0.31,0.5,0.5,0.3,0.8,0.14,0.10,0.24,0.14,0.24
85,Yannick Carrasco,be  BEL,"DF,MF",Atlético Madrid,27-241,1993,26,21,1819,20.2,5,8,5,0,0,6,0,0.25,0.40,0.64,0.25,0.64,5.1,5.1,5.0,10.1,0.25,0.25,0.50,0.25,0.50
86,Sergio Carreira,es  ESP,DF,Celta Vigo,20-202,2000,3,3,259,2.9,1,0,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,0.4,0.4,0.0,0.4,0.13,0.00,0.13,0.13,0.13
87,Guido Carrillo,ar  ARG,FW,Elche,29-343,1991,18,10,856,9.5,3,1,3,0,0,3,0,0.32,0.11,0.42,0.32,0.42,2.4,2.4,1.0,3.3,0.25,0.10,0.35,0.25,0.35
